NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,253440000,327400600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.02112E+11,NaN,NaN,8.38624E+11,67727917460,41930860379,2.93026E+11,17854000000,17828002064,1281000000,2602000000,6513000000,NaN,NaN,7.174862776,20.3931892,8168358931,1284801897,3749265015,3743805557,269004619.9,495590088.2,1337675157,NaN,NaN,6.772787573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1170,NaN,NaN,35044390,9944300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7227512,6382000000,1995000000,NaN,NaN,2.072064778,NaN,NaN,NaN,40.61834883,NaN,NaN,NaN,NaN,185.3,352756,44988690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.55742726,NaN,NaN,827000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.312662619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,246350000,261302470,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.993079102,5.987346419,NaN,7.44149E+11,NaN,NaN,8.49513E+11,79805458110,47288830396,3.10267E+11,19613000000,19587002036,1219000000,3070000000,7095000000,NaN,NaN,6.215265385,20.23147912,8571111127,1323257034,4118647627,4113188164,255984880.3,577278454.4,1456322827,NaN,NaN,6.14462542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1270,6729680,NaN,35700093,10365138,NaN,NaN,NaN,NaN,30580000,770880,NaN,NaN,NaN,NaN,NaN,22.85724006,6838490493,1799409507,NaN,NaN,2.106055342,3.646461287,NaN,NaN,35.50859124,NaN,NaN,NaN,NaN,179.1,350031,46065231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.28459,NaN,NaN,594000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.097890641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,298970000,269316859,NaN,NaN,NaN,NaN,NaN,NaN,4324498038,3.076538524,4.482858627,NaN,7.77509E+11,NaN,NaN,8.90886E+11,87247949865,53519851136,3.11949E+11,20525000000,20499999094,1375000000,3413000000,7510000000,NaN,NaN,6.699147381,21.09135201,8639365801,1363967546,4310163797,4304913711,288744225.1,620327593.4,1542631583,NaN,NaN,8.822244393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1360,6941600,NaN,36460661,10738217,NaN,NaN,NaN,NaN,30690000,770880,NaN,NaN,NaN,NaN,NaN,21.60872347,7523990493,1789509507,NaN,NaN,2.095178361,0.159948178,NaN,NaN,37.01047503,NaN,NaN,NaN,NaN,173.1,347179,47198878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.86379928,5.86E-05,0.344802426,834000000,14.34195564,8.426314778,2.20514254,NaN,NaN,NaN,NaN,NaN,NaN,3.655872773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,260810000,307832196,NaN,NaN,NaN,NaN,NaN,NaN,4727139272,38.9665181,8.688831518,NaN,8.45065E+11,NaN,NaN,9.87437E+11,98075034913,59516383011,3.46953E+11,22052000000,21993998908,1803000000,3993000000,7931000000,NaN,NaN,8.176129149,23.98875385,10169648470,1895458207,4630827383,4618647398,378622427.6,732255354.9,1630619803,NaN,NaN,10.5177979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1470,7208300,NaN,37257254,11130047,NaN,NaN,NaN,NaN,30730000,770880,NaN,NaN,NaN,NaN,NaN,22.38013216,8776966743,1988433257,NaN,NaN,2.125694392,-1.149266054,NaN,NaN,40.24805006,NaN,NaN,NaN,NaN,167.5,344754,48387301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.1577802,0.022368691,0.414723741,985000000,21.9603852,7.044596185,1.82349422,NaN,NaN,NaN,NaN,NaN,NaN,3.648412975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,246290000,254226648,NaN,NaN,NaN,NaN,NaN,NaN,5141615335,-2.522624695,7.569757449,NaN,9.09034E+11,NaN,NaN,1.06203E+12,1.1272E+11,66281185984,3.70054E+11,24786000000,24719997648,1914000000,4645000000,8801000000,NaN,NaN,7.722101186,23.1259582,10840828721,1847642910,5204955901,5191095684,401931961.4,801763964.7,1819196220,NaN,NaN,9.830680041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1580,7565300,NaN,38086223,11541400,NaN,NaN,NaN,NaN,31200000,770880,NaN,NaN,NaN,NaN,NaN,22.69151587,11011719124,1730780876,NaN,NaN,2.214539636,4.488446478,NaN,NaN,43.48987332,NaN,NaN,NaN,NaN,162.4,342742,49627623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.12374719,0.811845164,0.858020531,1070000000,20.40838507,5.583301703,2.332209379,NaN,NaN,NaN,NaN,NaN,NaN,3.865890131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,211000000,230344688,NaN,NaN,NaN,NaN,NaN,NaN,5833045597,0.555478642,10.41936582,NaN,1.00375E+12,NaN,NaN,1.13921E+12,1.25344E+11,72861460419,4.18092E+11,28235000000,28116001200,1992000000,5209000000,10555000000,NaN,NaN,7.05507349,24.04108376,12195218932,1857906172,5929231415,5904242167,418311633.8,1007139857,2164846745,NaN,NaN,8.449178933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1700,7866500,NaN,38946650,11971325,NaN,NaN,NaN,NaN,32080000,770880,NaN,NaN,NaN,NaN,NaN,22.34099796,12776980774,1429519226,NaN,NaN,2.337859276,3.165882653,NaN,NaN,42.70586152,NaN,NaN,NaN,NaN,157.8,341244,50917975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.0003819,0.937735203,0.8366178,968000000,20.16226597,3.319163745,1.892901223,NaN,NaN,NaN,NaN,NaN,NaN,5.904667889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,111640000,208453006,NaN,NaN,NaN,NaN,NaN,NaN,6465448997,10.71320315,5.789951801,NaN,1.06187E+12,NaN,NaN,1.24683E+12,1.35399E+11,79123316074,4.78498E+11,31244000000,31098998960,2158000000,5898000000,12499000000,NaN,NaN,6.90692613,19.19408526,11328897761,2056947434,6561108778,6530659168,453170936.6,806173876.5,2534859324,NaN,NaN,5.755314673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1840,7281250,NaN,39838465,12421724,NaN,NaN,NaN,NaN,32260000,770880,NaN,NaN,NaN,NaN,NaN,24.80806925,15830933155,1192766845,NaN,NaN,2.506830898,4.60065831,NaN,NaN,46.74497504,NaN,NaN,NaN,NaN,153.8,340555,52260189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.0033557,0.560288346,0.960315109,916000000,15.7490105,5.983767677,2.192913226,NaN,NaN,NaN,NaN,NaN,NaN,6.730521985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,152490000,165486080,NaN,NaN,NaN,NaN,NaN,NaN,7162027321,4.841004934,5.400612597,NaN,1.11921E+12,NaN,NaN,1.30839E+12,1.40219E+11,83601994388,4.82024E+11,35546000000,35307905008,2460000000,6362000000,13800000000,NaN,NaN,6.920609914,20.49457042,12893307681,2156524361,7464510710,7414511761,516589668.2,1013229735,2815203948,NaN,NaN,6.541495983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1980,8166500,NaN,40763376,12892413,NaN,NaN,NaN,NaN,32310000,770880,NaN,NaN,NaN,NaN,NaN,21.55369386,16927576020,853223980,NaN,NaN,2.677581168,7.939641766,NaN,NaN,42.42783998,NaN,NaN,NaN,NaN,150.3,340561,53655789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.32758332,0.596638872,0.645672769,1112000000,21.54925998,5.701545448,3.31113072,NaN,NaN,NaN,NaN,NaN,NaN,5.404603702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,22780000,258389140,NaN,NaN,NaN,NaN,NaN,NaN,8085621281,6.72488983,7.233220925,NaN,1.20017E+12,NaN,NaN,1.49002E+12,1.47371E+11,88930792173,4.969E+11,38296000000,37981714592,2885000000,6937000000,14611000000,NaN,NaN,7.533423856,19.13254648,13744970883,2301548249,8041999160,7976000544,605837883.2,932801344,2990970454,NaN,NaN,4.897943543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2130,10791900,NaN,41718793,13383891,NaN,NaN,NaN,NaN,32010000,770880,NaN,NaN,NaN,NaN,NaN,22.44245251,18401661614,1342538386,NaN,NaN,2.682149854,0.469288568,NaN,NaN,44.2858262,NaN,NaN,NaN,NaN,147.2,341123,55102684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.35788325,1.228918926,0.492955477,533000000,19.00931863,6.575019551,2.275825113,NaN,NaN,NaN,NaN,NaN,NaN,5.103905995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,26000000,332933120,NaN,NaN,NaN,NaN,NaN,NaN,8880010650,9.059728258,5.507899634,NaN,1.26627E+12,NaN,NaN,1.48105E+12,1.65018E+11,96602602137,5.24842E+11,41349000000,40991857504,2862000000,8245000000,15702000000,NaN,NaN,6.92157005,17.48047111,11492536015,2510062266,8683116338,8608117913,601007979.8,916841663.2,3212935468,NaN,NaN,3.809311245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2300,11569500,NaN,42702168,13895976,NaN,NaN,NaN,NaN,30540000,770880,NaN,NaN,NaN,NaN,NaN,22.33042912,19799009136,1599390864,NaN,NaN,2.767629616,2.335571407,NaN,NaN,44.93482309,NaN,NaN,NaN,NaN,144.4,342404,56598144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.32459085,1.247790509,0.657793495,713000000,8.355440365,6.273209502,1.872542121,NaN,NaN,NaN,NaN,NaN,NaN,5.512041885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
