NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,5000000,7430000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2063788244,1838869364,2034849171,2016944589,NaN,NaN,NaN,537147100,476969600,245950200,NaN,NaN,NaN,NaN,45.78823939,100.1681476,1638593485,1477035881,537147100,476969600,245950200,292100100,NaN,NaN,NaN,2.790534327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,665647,467350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.364343026,83100000,-3500000,NaN,NaN,25.70696894,NaN,NaN,NaN,13.08766258,NaN,NaN,NaN,NaN,65.7,3022,1132997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.96907216,NaN,NaN,120000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.97999954,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,7000000,4930000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.92536827,10.92659484,11.63006882,2289290024,2052731137,2270319010,2269214970,NaN,NaN,NaN,599026300,535851800,282659200,NaN,NaN,NaN,NaN,47.1864424,100.8546035,1844104561,1697488926,599026300,535851800,282659200,321486400,NaN,NaN,NaN,1.894180372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,182887,NaN,678641,488472,NaN,NaN,NaN,NaN,438000,74340,NaN,NaN,NaN,NaN,NaN,-1.452356933,88200000,-6500000,NaN,NaN,25.86476108,0.53492852,NaN,NaN,12.57039966,NaN,NaN,NaN,NaN,64.1,3023,1167113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.53488372,NaN,NaN,136000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,8000000,4730000,NaN,NaN,NaN,NaN,NaN,NaN,593049085.7,20.23240218,8.244736818,8.612927404,2478035961,2229531379,2447872937,2493593483,NaN,NaN,NaN,652120900,585984500,346803300,NaN,NaN,NaN,NaN,53.18082889,110.3503813,2140831792,2040931713,652120900,585984500,346803300,372814600,NaN,NaN,NaN,1.977868041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,181590,NaN,691480,510969,NaN,NaN,NaN,NaN,438000,74340,NaN,NaN,NaN,NaN,NaN,-1.472119664,97000000,-7700000,NaN,NaN,26.06857592,0.571618683,NaN,NaN,13.32574987,NaN,NaN,NaN,NaN,62.4,3015,1202449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.45533141,35.02987684,0.68516407,160000000,13.74501955,18.65933537,0.548695496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,11000000,7430000,NaN,NaN,NaN,NaN,NaN,NaN,651467250.9,11.14269116,8.538788802,8.790747235,2689630218,2425523847,2720925493,2698520437,NaN,NaN,NaN,722784500,651251500,380614200,NaN,NaN,NaN,NaN,52.6594303,112.7506331,2515587201,2268346430,722784500,651251500,380614200,434329900,NaN,NaN,NaN,2.856039546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,186997,NaN,704469,534420,NaN,NaN,NaN,NaN,438000,74340,NaN,NaN,NaN,NaN,NaN,-1.259019805,114400000,-300000,NaN,NaN,26.18585519,2.116457514,NaN,NaN,15.31576839,NaN,NaN,NaN,NaN,60.8,3006,1238889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.1031941,48.62026712,0.426369436,181000000,11.79249699,23.19646093,0.648916725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,7050000,5030000,NaN,NaN,NaN,NaN,NaN,NaN,697217923.1,0.255756,4.432130369,5.035690333,2808838136,2547665717,2785286399,2890096828,NaN,NaN,NaN,776137500,703985400,407276600,NaN,NaN,NaN,NaN,52.47479989,109.4196582,2481518507,2274147862,776137500,703985400,407276600,441970400,NaN,NaN,NaN,1.549748027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,209645,NaN,717502,558829,NaN,NaN,NaN,NaN,438000,74340,NaN,NaN,NaN,NaN,NaN,-1.185356976,133600000,-16100000,NaN,NaN,26.81786016,2.824285236,NaN,NaN,13.51564639,NaN,NaN,NaN,NaN,59.2,2996,1276331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.5828877,40.89740864,0.442156093,181000000,13.95610367,20.8730465,0.645100629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,10050000,5730000,NaN,NaN,NaN,NaN,NaN,NaN,769174526.2,13.97959131,9.16003626,7.434723126,3066128728,2737077609,3052697817,3184965180,NaN,NaN,NaN,852485300,761567000,464078900,NaN,NaN,NaN,NaN,54.43834633,112.6719604,2817809340,2592064439,852485300,761567000,464078900,496433000,NaN,NaN,NaN,4.304282982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,235846,NaN,730553,584124,NaN,NaN,NaN,NaN,438000,74340,NaN,NaN,NaN,NaN,NaN,-1.337266461,160100000,-24700000,NaN,NaN,26.94165494,0.620057283,NaN,NaN,14.62781822,NaN,NaN,NaN,NaN,57.8,2983,1314677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.13375796,33.80159884,0.830600123,208000000,11.51112305,20.68508673,0.84396217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,4590000,5930000,NaN,NaN,NaN,NaN,NaN,NaN,847392654.7,9.713519565,7.581401884,7.715103031,3298584269,2948245967,3358641045,3405458672,NaN,NaN,NaN,928833000,830854100,518176300,NaN,NaN,NaN,NaN,55.78788652,116.1108186,3098051737,2843845126,928833000,830854100,518176300,560299300,NaN,NaN,NaN,2.385497008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,224475,NaN,743530,610312,NaN,NaN,NaN,NaN,438000,74340,NaN,NaN,NaN,NaN,NaN,-1.324242356,184200000,-27200000,NaN,NaN,26.99377906,1.27763206,NaN,NaN,16.03086884,NaN,NaN,NaN,NaN,56.4,2968,1353842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.51303155,32.96998643,1.107909617,235000000,11.13138298,21.64344917,0.97184188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,4740000,6730000,NaN,NaN,NaN,NaN,NaN,NaN,929373632.2,9.914322352,8.552931177,7.801002381,3580709911,3178238705,3610439117,3766063420,NaN,NaN,NaN,1034376400,919886800,582900100,NaN,NaN,NaN,NaN,56.35280349,114.725278,3336532482,3125793099,1034376400,919886800,582900100,603791100,NaN,NaN,NaN,1.838269649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,239809,NaN,756401,637424,NaN,NaN,NaN,NaN,434000,74340,NaN,NaN,NaN,NaN,NaN,-1.295466525,221500000,-36300000,NaN,NaN,27.36516342,2.58867285,NaN,NaN,17.46946276,NaN,NaN,NaN,NaN,55,2949,1393825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.03225806,26.89327541,0.965607037,251000000,10.01060959,20.19089081,1.160214656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,3110000,11100000,NaN,NaN,NaN,NaN,NaN,NaN,1018643566,7.535263464,6.977388626,6.828005782,3830549957,3395249028,3830963806,4046191883,NaN,NaN,NaN,1112791100,988582800,637577200,NaN,NaN,NaN,NaN,57.29531805,113.9839903,3444233470,3361329844,1112791100,988582800,637577200,630826500,NaN,NaN,NaN,1.304898246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,246777,NaN,769198,665471,NaN,NaN,NaN,NaN,434000,74340,NaN,NaN,NaN,NaN,NaN,-0.934586914,253200000,-39200000,NaN,NaN,27.80821845,0.564117766,NaN,NaN,18.55694209,NaN,NaN,NaN,NaN,53.6,2923,1434669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.67049369,20.10349038,1.266115751,266000000,9.970632624,21.26671071,0.901220224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,2010000,14100000,NaN,NaN,NaN,NaN,NaN,NaN,1130094396,6.834655446,8.441389169,8.608536288,4153901587,3687530272,4291975315,4467139451,NaN,NaN,NaN,1221305700,1087902200,701141700,NaN,NaN,NaN,NaN,57.4091892,117.2900036,3970649461,3591065158,1221305700,1087902200,701141700,731327800,NaN,NaN,NaN,1.516680452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,252747,NaN,781974,694507,NaN,NaN,NaN,NaN,432000,74340,NaN,NaN,NaN,NaN,NaN,2.104305253,307300000,-76599999.99,NaN,NaN,28.31642863,1.208192338,NaN,NaN,16.08933783,NaN,NaN,NaN,NaN,52,2884,1476481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.02988153,22.11660157,1.342300486,294000000,9.631559566,22.0726749,1.067051649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
