NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6961486091,NaN,NaN,NaN,NaN,NaN,NaN,205800000,203600200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230496033,228032256.6,NaN,NaN,NaN,NaN,NaN,0.004385344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,2171828,84031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132.8,12359,2255859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.18111172,NaN,7391783324,7367837710,2341110500,7533320690,NaN,NaN,NaN,218600000,216100200,35200000,29400000,NaN,NaN,NaN,16.10247027,44.23604758,NaN,NaN,244832035,242032258.6,39424005.64,68880009.86,NaN,NaN,NaN,0.004131681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1850,NaN,2204625,92434,NaN,NaN,NaN,NaN,75000,452860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036276687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.9,12181,2297059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,263103675.6,10.06037326,6.374099317,6.472234546,7862942934,7844701448,2497426400,8022183521,NaN,NaN,NaN,233200000,231300200,37800000,33200000,NaN,NaN,NaN,16.20926244,44.12521441,NaN,NaN,261184037.4,259056261.1,42336006.06,72912010.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1891,NaN,2238617,101735,NaN,NaN,NaN,NaN,75000,452860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.286504133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125.1,12020,2340352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,275136334.8,7.404012666,4.07252177,4.072474931,8183162997,8164174947,2659542300,8374803314,NaN,NaN,NaN,246400000,244400200,42900000,37900000,NaN,NaN,NaN,17.41071429,48.37662338,NaN,NaN,275968039.5,273728263.2,48048006.88,85456012.23,NaN,NaN,NaN,0.003653258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1871,NaN,2273950,111996,NaN,NaN,NaN,NaN,75000,452860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.525720297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121.5,11866,2385946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,301780820.5,5.957453286,8.570281528,8.512424226,8884483104,8859144153,2973103500,9127837352,NaN,NaN,NaN,272600000,269900000,49900000,42800000,NaN,NaN,NaN,18.3052091,52.60454879,NaN,NaN,305312043.7,302288043.3,55888008,104720015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1788,NaN,2310832,123391,NaN,NaN,NaN,NaN,75000,452860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.900000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.9,11718,2434223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.92626728,NaN,NaN,96000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,82510000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,341850542.7,8.835321112,10.26851981,10.29259049,9796788011,9770979582,3395651900,10069853889,NaN,NaN,NaN,307300000,304500000,55400000,55000000,NaN,NaN,NaN,18.02798568,56.00390498,NaN,NaN,344159480.3,341023630.9,62045021.84,130697726.5,NaN,NaN,NaN,24.20946529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1886,NaN,2349484,135953,NaN,NaN,NaN,NaN,75000,452860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.231601419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114.6,11587,2485437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.62288931,NaN,NaN,123000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,85560000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,379445073.1,9.667921869,5.813757985,5.926016759,10366349556,10350009469,3702319700,10627773741,NaN,NaN,NaN,349100000,347200000,58600000,71000000,NaN,NaN,NaN,16.7860212,56.9177886,NaN,NaN,390973233.3,388845335.4,65628849.82,156904468.6,NaN,NaN,NaN,22.01132135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1847,NaN,2389782,149892,NaN,NaN,NaN,NaN,80000,452860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.360654371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111.3,11461,2539674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.35164835,NaN,NaN,149000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.5,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,98230000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,419401612.1,12.18034962,4.070461474,4.102516092,10788307821,10774620273,3886002100,11096832834,NaN,NaN,NaN,394400100,392699900,68500000,78300000,NaN,NaN,NaN,17.36814975,56.99795715,NaN,NaN,441706910.1,439802777.5,76716317.62,175047597.7,NaN,NaN,NaN,22.34183301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1927,NaN,2422521,174299,NaN,NaN,NaN,NaN,85000,452860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.557463494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108.1,11351,2596820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.30639731,NaN,NaN,179000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,110220000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,472247551.3,13.85720936,4.35959025,4.25427059,11258633837,11233001775,4086778100,11640069531,NaN,NaN,NaN,433200100,429899800,81700000,80300000,NaN,NaN,NaN,18.85964477,58.9335044,NaN,NaN,485160824.3,481464665.7,91499608.02,194422667.7,NaN,NaN,NaN,22.89264594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1977,NaN,2454065,202568,NaN,NaN,NaN,NaN,85000,452860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.249288003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104.9,11243,2656633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.70992366,NaN,NaN,177000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,118200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,543783410.6,11.64383944,8.273457947,8.099254422,12190112173,12142791168,4695293800,12618537473,NaN,NaN,NaN,492199800,485899800,93100000,90900000,NaN,NaN,NaN,18.91508286,64.81107875,NaN,NaN,551237316.6,544181655.3,104266995.2,252995856.2,NaN,NaN,NaN,21.84748388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2251,NaN,2483661,235150,NaN,NaN,NaN,NaN,91000,452860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.937539645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.8,11136,2718811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.58236025,NaN,NaN,221000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
