NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,4010000,1011709.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.45519E+13,NaN,NaN,NaN,NaN,NaN,NaN,35580934868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1226755,677227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.646949419,4108000000,-665080000,NaN,NaN,0.410927393,NaN,NaN,NaN,8.518606977,NaN,NaN,NaN,NaN,60.7,4766,1903982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.10289866,NaN,NaN,38000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.528964466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,10020000,2520352.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.900285514,NaN,1.5556E+13,NaN,NaN,NaN,NaN,NaN,NaN,40578767858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,139700,NaN,1257361,697187,NaN,NaN,NaN,NaN,700000,397300,NaN,NaN,NaN,NaN,NaN,1.653574111,4909000000,-629540000,NaN,NaN,0.486897163,6.684821774,NaN,NaN,9.692260775,NaN,NaN,NaN,NaN,60.2,4823,1954548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.85868892,NaN,NaN,41000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.279149681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,3030000,2140170.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.300258518,NaN,1.60694E+13,NaN,1.61217E+13,1.60523E+13,5.3905E+12,4.81464E+12,8.08524E+12,45448000000,NaN,5740000000,8206140000,17688860000,NaN,NaN,12.62981869,27.30593205,90107423.61,82279971.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150800,NaN,1288864,717806,NaN,NaN,NaN,NaN,711000,397300,NaN,NaN,NaN,NaN,NaN,1.181570146,5365000000,-403340000,NaN,NaN,0.493803506,8.421275462,NaN,NaN,9.100510474,NaN,NaN,NaN,NaN,59.9,4891,2006670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.11500881,NaN,0.004482215,40000000,21.35060103,15.29950045,1.343779388,NaN,NaN,NaN,NaN,NaN,NaN,2.297392114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.22999954,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,7660000,3220192.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.189126371,4.710291337,NaN,1.68263E+13,NaN,1.68607E+13,1.68095E+13,5.65555E+12,4.96737E+12,8.50555E+12,48372000000,NaN,5592000000,8704590000,18394410000,NaN,NaN,11.56040685,24.53485487,85104492.41,80478758.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147800,NaN,1320348,739991,NaN,NaN,NaN,NaN,729000,397300,NaN,NaN,NaN,NaN,NaN,1.784089969,6448000000,-178940000,NaN,NaN,0.50416302,1.645908055,NaN,NaN,10.18977921,NaN,NaN,NaN,NaN,59.5,4959,2060339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.48145015,NaN,0.00198818,39000000,23.02905766,18.0306447,1.77713024,NaN,NaN,NaN,NaN,NaN,NaN,2.39885422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,6110000,5470284.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.46120684,4.212477358,NaN,1.75351E+13,NaN,1.75961E+13,1.75162E+13,5.90826E+12,5.21037E+12,8.94624E+12,51452000000,NaN,6306000000,9470870000,19938130000,NaN,NaN,12.25608334,26.59177486,99752935.98,90507383.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,236680,NaN,1352292,763275,NaN,NaN,NaN,NaN,761000,397300,NaN,NaN,NaN,NaN,NaN,2.464432869,7820000000,153660000,NaN,NaN,0.511069363,2.06773952,NaN,NaN,12.11614709,NaN,NaN,NaN,NaN,59.3,5032,2115567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.51055836,NaN,0.225729091,40000000,19.07129736,16.68128834,1.512263381,NaN,NaN,NaN,NaN,NaN,NaN,2.403765761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,5710000,10270284.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.48695523,6.167974759,NaN,1.86167E+13,NaN,1.86247E+13,1.85916E+13,6.22931E+12,5.45837E+12,9.44204E+12,55892000000,NaN,8360000000,10132970000,22073030000,NaN,NaN,14.95741788,30.70922493,118985496.3,119910476.8,443587301.6,NaN,66349206.35,69873015.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,242600,NaN,1384997,787309,NaN,NaN,NaN,NaN,784000,397300,NaN,NaN,NaN,NaN,NaN,2.411794174,9065000000,317600000,NaN,NaN,0.530793054,2.318427386,NaN,NaN,13.02154154,NaN,NaN,NaN,NaN,59,5104,2172306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.88789989,NaN,0.061134718,55000000,13.63201638,14.18263812,1.660591346,NaN,NaN,NaN,NaN,NaN,NaN,2.63308768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,890000,11540444.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.930759466,1.991503333,NaN,1.89874E+13,NaN,1.909E+13,1.89643E+13,6.49616E+12,5.57518E+12,9.52494E+12,58702000000,NaN,7776000000,10980290000,23239710000,NaN,NaN,13.24656741,29.38911792,126771153.1,110400665.3,465888888.9,NaN,61714285.71,75206349.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188660,NaN,1418595,812146,NaN,NaN,NaN,NaN,809000,397300,NaN,NaN,NaN,NaN,NaN,2.214575313,10618000000,-145900000,NaN,NaN,0.546043769,2.976767383,NaN,NaN,13.38284897,NaN,NaN,NaN,NaN,58.8,5164,2230741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.51980238,NaN,0.014587999,59000000,12.94504186,13.25484049,1.272368435,NaN,NaN,NaN,NaN,NaN,NaN,2.91684506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,1230000,12260467.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.129121139,9.150367204,NaN,2.07249E+13,NaN,2.08591E+13,2.07022E+13,7.28765E+12,6.25962E+12,1.0111E+13,62077000000,NaN,7585000000,12076350000,25091650000,NaN,NaN,12.21869614,27.84606215,130215835.5,108050101.4,492674603.2,NaN,60198412.7,76992063.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,272370,NaN,1453030,837768,NaN,NaN,NaN,NaN,809000,397300,NaN,NaN,NaN,NaN,NaN,3.084717367,15595100000,-2425180000,NaN,NaN,0.553498727,-3.115874986,NaN,NaN,16.65512186,NaN,NaN,NaN,NaN,58.6,5210,2290798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.92706175,0.172243458,0.005181813,71000000,15.05157154,9.455708785,1.478586972,NaN,NaN,NaN,NaN,NaN,NaN,3.031558995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,11290000,12235783.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.529557961,4.527073841,NaN,2.16631E+13,NaN,2.18532E+13,2.1639E+13,7.4074E+12,6.50076E+12,1.07973E+13,65224000000,NaN,8058000000,12251800000,26711200000,NaN,NaN,12.35434809,29.12578192,147240572.9,115105295.4,517650793.7,NaN,63952380.95,86817460.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,238802,NaN,1487945,863980,NaN,NaN,NaN,NaN,805000,397300,NaN,NaN,NaN,NaN,NaN,3.10483871,16417600000,-3599080000,NaN,NaN,0.557417906,0.518943643,NaN,NaN,15.50211579,NaN,NaN,NaN,NaN,58.4,5241,2351925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.9386974,0.446976893,0.002102431,73000000,17.45434428,11.98985909,1.824851604,NaN,NaN,NaN,NaN,NaN,NaN,3.211049587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,2350000,10330467.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.05767082,4.701151408,NaN,2.26815E+13,NaN,2.2894E+13,2.26531E+13,7.8015E+12,6.796E+12,1.13511E+13,70093000000,NaN,9517000000,13402200000,28595800000,NaN,NaN,13.57767537,31.77920762,171662422,135890630.7,556293650.8,NaN,75531746.03,101253968.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,217533,NaN,1522853,890543,NaN,NaN,NaN,NaN,805000,397300,NaN,NaN,NaN,NaN,NaN,2.750345969,19553900000,-4980780000,NaN,NaN,0.569942236,2.639791537,NaN,NaN,16.91595452,NaN,NaN,NaN,NaN,58.1,5257,2413396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.11228235,NaN,0.005691907,82000000,22.17144733,9.899642285,3.284590825,NaN,NaN,NaN,NaN,NaN,NaN,3.161486049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
