NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,10060000,76811600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69946000000,66691730724,64306000000,64281494671,24906000000,12162000000,NaN,70.21309009,66.43772814,14.19056526,19.81239319,31.11148787,NaN,NaN,20.21071177,40.48130752,2840439556,5275553666,2571908062,2433616415,519800925.4,521341086.3,1139614940,NaN,NaN,-0.401460164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5401351,4753664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.557554718,11.1,1.5007,NaN,NaN,4.08E-08,NaN,NaN,NaN,16.37871227,NaN,NaN,NaN,NaN,136,62837,10155015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.31996086,NaN,NaN,379000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.508001273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,3110000,110623100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.00502332,7.347096331,7.750875567,75085000000,71860923786,68729000000,68096386330,27414000000,13108000000,NaN,77.71074972,73.81929527,16.17006277,21.50919533,34.24781466,NaN,NaN,20.80801282,43.00818805,3454412807,6225418334,2899654840,2754451316,603360551,643728455.5,1277903532,NaN,NaN,-0.615730581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1070135,NaN,5495131,4951489,NaN,NaN,NaN,NaN,1796000,1280000,NaN,NaN,NaN,NaN,NaN,3.603105117,12.4,2.6179653,NaN,NaN,4.32E-08,3.103334332,NaN,NaN,17.62947861,NaN,NaN,NaN,NaN,132.8,62767,10446620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.02498425,NaN,NaN,469000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.644757433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.54000092,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,15070000,116734780,NaN,NaN,NaN,NaN,NaN,NaN,3089653111,6.756263683,10.03529333,10.80560213,82620000000,79625929299,76445000000,75411868825,28244000000,14185000000,NaN,88.08552144,84.36960417,17.5874197,24.39935112,39.82805443,NaN,NaN,19.96630026,41.92622851,3896829674,6646024012,3286773188,3148119559,656247003.6,721773033.7,1486121434,NaN,NaN,0.234425662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1130621,NaN,5534470,5214996,NaN,NaN,NaN,NaN,1929000,1280000,NaN,NaN,NaN,NaN,NaN,2.838150878,13.6,3.134675,NaN,NaN,4.61E-08,3.012855316,NaN,NaN,17.71006148,NaN,NaN,NaN,NaN,129.4,62540,10749466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.18143781,2.349946294,40.19189324,537000000,16.43815288,3.312590101,1.130368239,NaN,NaN,NaN,NaN,NaN,NaN,2.42506812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,19180000,135311200,NaN,NaN,NaN,NaN,NaN,NaN,3367368922,-1.800056964,4.328249818,4.425164753,86196000000,83149507856,81542000000,79715281275,29287000000,14985000000,NaN,96.50566827,92.66654822,17.80247355,25.1028347,45.86240864,NaN,NaN,18.44707556,40.02640036,4309455311,6526391794,3600957771,3457707023,664271400.9,777062373.4,1711283904,NaN,NaN,0.274459337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1014480,NaN,5571859,5490441,NaN,NaN,NaN,NaN,2200000,1280000,NaN,NaN,NaN,NaN,NaN,2.694142268,15,3.9515716,NaN,NaN,4.88E-08,5.013799273,NaN,NaN,18.75537502,NaN,NaN,NaN,NaN,126,62160,11062300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.9743208,1.820570814,36.92642478,557000000,16.09178592,3.125143985,1.106455994,NaN,NaN,NaN,NaN,NaN,NaN,3.31639136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,27490000,160421120,NaN,NaN,NaN,NaN,NaN,NaN,3829553025,6.897151807,6.54786765,6.265770807,91840000000,88359465446,86853000000,86647965050,31220000000,16037000000,NaN,116.7652917,111.9658299,21.6164317,31.2586441,54.53982067,NaN,NaN,18.51272016,37.31221613,4602573607,6976526944,4356913870,4177829472,806583272.4,819077847.6,2035067935,NaN,NaN,0.482786581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1203288,NaN,5606084,5777289,NaN,NaN,NaN,NaN,2419000,1280000,NaN,NaN,NaN,NaN,NaN,3.511317395,19,5.1515716,NaN,NaN,5.36E-08,13.55759436,NaN,NaN,19.44070851,NaN,NaN,NaN,NaN,122.4,61617,11383373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.74640288,1.439904565,40.55486207,579000000,17.38553707,3.511554127,1.190442941,NaN,NaN,NaN,NaN,NaN,NaN,3.340227508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,23930000,174910400,NaN,NaN,NaN,NaN,NaN,NaN,4504558533,2.897764272,5.621733449,6.059576995,97003000000,93713675287,93754000000,91005392007,32893000000,17092000000,NaN,138.4718766,133.3572264,21.69945268,36.51928855,65.219586,NaN,NaN,15.67065689,34.66368268,5380569830,7178690249,5166861068,4976015912,809681070,981343255.1,2433566642,NaN,NaN,1.11695788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1205808,NaN,5636927,6074465,NaN,NaN,NaN,NaN,2511000,1280000,NaN,NaN,NaN,NaN,NaN,4.260792981,25.1,4.3515716,NaN,NaN,6.24E-08,12.27796136,NaN,NaN,20.22071245,NaN,NaN,NaN,NaN,119,61007,11711392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.18573996,1.417948002,43.94886465,730000000,17.2946931,3.182668328,1.351720975,NaN,NaN,NaN,NaN,NaN,NaN,3.098346388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,11390000,155236310,NaN,NaN,NaN,NaN,NaN,NaN,5471306448,4.683050311,8.238920446,7.806472456,1.04995E+11,1.01029E+11,1.02955E+11,99608169895,35728000000,18415000000,NaN,163.8446871,157.1746024,25.49935593,43.32620631,76.30175673,NaN,NaN,15.56312651,34.72761708,6098641168,7514871925,6113607728,5864723969,951468505,1171641777,2847080475,NaN,NaN,0.740017804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1272463,NaN,5663568,6382219,NaN,NaN,NaN,NaN,2417000,1280000,NaN,NaN,NaN,NaN,NaN,5.370940099,28.8,5.2156714,NaN,NaN,6.79E-08,9.316906498,NaN,NaN,19.46965786,NaN,NaN,NaN,NaN,115.7,60369,12045787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.96995428,0.969949599,47.88733009,829000000,16.46920132,3.359816265,1.118377792,NaN,NaN,NaN,NaN,NaN,NaN,2.843567251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,10430000,125860400,NaN,NaN,NaN,NaN,NaN,NaN,6037979797,5.889168766,3.852564408,3.614174725,1.0904E+11,1.04681E+11,1.07769E+11,1.03119E+11,36634000000,19141000000,NaN,187.3684635,179.2835555,28.89926968,51.97883834,85.18239624,NaN,NaN,15.42376403,35.59791635,6762266467,7957435415,6204253759,5936541574,956929459.5,1251655604,2820609147,NaN,NaN,0.741846079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1396739,NaN,5686073,6700806,NaN,NaN,NaN,NaN,2426000,1280000,NaN,NaN,NaN,NaN,NaN,5.924155961,32.9,4.101935,NaN,NaN,7.46E-08,10.11510751,NaN,NaN,18.51965872,NaN,NaN,NaN,NaN,112.5,59715,12386879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.38242894,1.129530027,51.51165227,825000000,16.78240357,3.250343968,1.296354139,NaN,NaN,NaN,NaN,NaN,NaN,4.703632887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,21430000,115115400,NaN,NaN,NaN,NaN,NaN,NaN,6038480113,9.867262953,0.152237711,-0.376086965,1.09206E+11,1.04287E+11,1.04066E+11,1.03337E+11,37287000000,19505000000,NaN,221.9864444,211.3415587,40.19898541,61.45321461,100.8534074,NaN,NaN,18.10875683,36.98378392,6147608360,8742616492,5736083835,5461022190,1038733473,1082687378,2606031199,NaN,NaN,0.609409697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1079371,NaN,5704606,7030880,NaN,NaN,NaN,NaN,2450000,1280000,NaN,NaN,NaN,NaN,NaN,5.766117852,36.7,4.054875,NaN,NaN,8.88E-08,18.2957937,NaN,NaN,16.71273221,NaN,NaN,NaN,NaN,109.6,59117,12735486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.86567855,1.284214756,51.28585449,646000000,21.78646767,4.036650051,1.454286111,NaN,NaN,NaN,NaN,NaN,NaN,2.35737352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,4990000,167156800,NaN,NaN,NaN,NaN,NaN,NaN,6245469244,-1.771099467,3.514458913,3.41725705,1.13044E+11,1.07851E+11,1.08202E+11,1.08884E+11,37660000000,19725000000,NaN,248.4892089,236.5658594,43.39890535,70.21992566,110.6191774,NaN,NaN,17.46510665,34.28676238,6109598861,8587776058,6420909790,6112812905,1121418743,1080103339,2858376677,NaN,NaN,0.541321985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,1346787,NaN,5720398,7372454,NaN,NaN,NaN,NaN,2461000,1280000,NaN,NaN,NaN,NaN,NaN,5.070642728,40.1,5.404403001,NaN,NaN,9.44E-08,8.138430474,NaN,NaN,16.90214243,NaN,NaN,NaN,NaN,106.9,58564,13092852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.4069192,0.719165857,54.72463935,613000000,21.72323039,3.496550511,1.341202328,NaN,NaN,NaN,NaN,NaN,NaN,2.387559809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
