NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,42930000,126942400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.55101E+12,1.52858E+12,1.53228E+12,1.59364E+12,4.51225E+11,3.49431E+11,7.66423E+11,13504165900,13312974800,1613390000,4222510300,5643555400,NaN,NaN,11.94735026,23.42250401,3717404334,3440797012,6684568805,6589929116,798628848.6,767064548.1,2793562717,NaN,NaN,0.784985675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60769,NaN,NaN,18310793,7958941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.132058241,2736000000,424000000,NaN,NaN,1.128957074,NaN,NaN,NaN,20.1389706,NaN,NaN,NaN,NaN,66.4,75894,26269734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.2886406,NaN,NaN,715000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.778458907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.26000023,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,37680000,53690650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.308351754,5.616579319,6.397505669,1.63813E+12,1.62637E+12,1.63614E+12,1.65255E+12,4.74881E+11,3.64038E+11,8.07857E+11,14696809500,14591047700,1850685200,4651321300,6110194000,NaN,NaN,12.59242831,26.61732194,3784628775,3554630680,7256966966,7204744075,913828362.6,1017781898,3017081770,NaN,NaN,0.263715127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61575,5176370,NaN,18861989,8299058,NaN,NaN,NaN,NaN,4901000,298260,NaN,NaN,NaN,NaN,NaN,4.592833567,3728000000,186000000,NaN,NaN,1.146971086,3.044117141,NaN,NaN,22.95055944,NaN,NaN,NaN,NaN,64.6,75363,27161047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.51794872,NaN,NaN,1006000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.702908043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,38440000,75066970,NaN,NaN,NaN,NaN,NaN,NaN,6139537080,15.89158599,4.773121848,5.178442985,1.71632E+12,1.71059E+12,1.70786E+12,1.70458E+12,4.9386E+11,3.83583E+11,8.51256E+11,16443916300,16389792800,2786863100,5110677000,6916773400,NaN,NaN,16.94768478,36.18234058,3814910765,4119517871,4399827768,4385346176,745668941,846291726.9,1850691229,NaN,NaN,0.695726153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62314,5239880,NaN,19425026,8652313,NaN,NaN,NaN,NaN,4880000,298260,NaN,NaN,NaN,NaN,NaN,3.247401594,4084000000,292000000,NaN,NaN,1.213457011,6.790423352,NaN,NaN,24.57078914,NaN,NaN,NaN,NaN,63.1,75135,28077339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.41503977,0.384914015,9.249925582,661000000,15.83468743,10.19595558,2.261670227,NaN,NaN,NaN,NaN,NaN,NaN,1.808815782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,24170000,109064000,NaN,NaN,NaN,NaN,NaN,NaN,5608123529,19.09174838,7.060487423,7.054619229,1.8375E+12,1.83126E+12,1.84622E+12,1.82298E+12,5.41334E+11,4.12352E+11,8.97384E+11,19113164800,19048912900,3558343200,6034613200,7839242300,NaN,NaN,18.61723706,35.57105885,3635387367,4906005858,4875309866,4858920748,907647995.1,826551346.8,1999602668,NaN,NaN,0.451952197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63070,5135570,NaN,19996372,9016253,NaN,NaN,NaN,NaN,4860000,298260,NaN,NaN,NaN,NaN,NaN,3.290287121,5117278000,307922000.1,NaN,NaN,1.281720634,8.567073332,NaN,NaN,24.01957001,NaN,NaN,NaN,NaN,61.7,75064,29012625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.51178173,0.395867257,9.176070056,687000000,14.40964359,11.28884027,2.577923237,NaN,NaN,NaN,NaN,NaN,NaN,1.855862208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,70500000,123073840,NaN,NaN,NaN,NaN,NaN,NaN,5119025290,5.997128672,3.446982145,3.380724483,1.90084E+12,1.89317E+12,1.94211E+12,1.88941E+12,5.66521E+11,4.2633E+11,9.33197E+11,20663906300,20579149800,3757714200,6474315800,8706662900,NaN,NaN,18.18491695,36.676049,4384459897,5200225342,5271404668,5249783112,958600561.2,974742398,2221087474,NaN,NaN,1.393962355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63885,5305080,NaN,20569635,9389053,NaN,NaN,NaN,NaN,4840000,298260,NaN,NaN,NaN,NaN,NaN,3.231917965,5905140500,158459500,NaN,NaN,1.386604847,4.510997748,NaN,NaN,22.94483885,NaN,NaN,NaN,NaN,60.6,75077,29958688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.34126445,0.483403335,8.251736114,869000000,16.72625071,10.66852916,2.553424379,NaN,NaN,NaN,NaN,NaN,NaN,1.70494247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,69040000,193590320,NaN,NaN,NaN,NaN,NaN,NaN,5643905170,13.59558217,5.265810464,5.133588834,2.00093E+12,1.99036E+12,2.04104E+12,1.98074E+12,5.96322E+11,4.44111E+11,9.74256E+11,22617000000,22495790000,4384000000,7036000000,9440000000,NaN,NaN,19.38364947,38.34283946,4647858988,5907226251,5784398977,5753398977,1121227621,1096675192,2414322251,NaN,NaN,1.606007195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65613,5452464,NaN,21141195,9768793,NaN,NaN,NaN,NaN,4820000,298260,NaN,NaN,NaN,NaN,NaN,2.270615024,6271945000,364955000,NaN,NaN,1.422158817,3.976509879,NaN,NaN,22.30357696,NaN,NaN,NaN,NaN,59.5,75131,30909988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.96474905,0.739800468,9.911752889,894000000,20.3542131,9.97004957,2.674765105,NaN,NaN,NaN,NaN,NaN,NaN,1.549199864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,34120000,193733830,NaN,NaN,NaN,NaN,NaN,NaN,6228947416,6.098224013,4.425994174,4.620390719,2.08949E+12,2.08232E+12,2.11808E+12,2.08782E+12,6.26554E+11,4.75996E+11,1.01562E+12,24878000000,24792099200,5087000000,7698000000,10428000000,NaN,NaN,20.44778519,38.74909559,4870752997,6267462141,6371459304,6349459407,1302822312,1166060544,2670696102,NaN,NaN,0.716911434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66323,5583972,NaN,21709386,10154796,NaN,NaN,NaN,NaN,4800000,298260,NaN,NaN,NaN,NaN,NaN,3.037020661,7111650000,522550000,NaN,NaN,1.498955393,5.334793174,NaN,NaN,23.4038106,NaN,NaN,NaN,NaN,58.4,75216,31864182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.68524042,1.101673317,13.72264398,959000000,15.84219192,10.56529895,2.888455221,NaN,NaN,NaN,NaN,NaN,NaN,1.651727069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,67400000,180332800,NaN,NaN,NaN,NaN,NaN,NaN,6812689737,-14.42053123,5.324150188,5.325841466,2.20074E+12,2.19322E+12,2.25494E+12,2.25569E+12,6.78003E+11,5.17457E+11,1.06224E+12,26717000000,26622830000,5334000000,8417000000,10988000000,NaN,NaN,19.96481641,40.56967474,5986074966,5363660806,6809134236,6785133930,1359431149,1403012463,2800417973,NaN,NaN,1.274256337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66880,6179853,NaN,22275986,10547982,NaN,NaN,NaN,NaN,4760000,298260,NaN,NaN,NaN,NaN,NaN,3.212935584,8756100000,94400000,NaN,NaN,1.592699362,1.963389333,NaN,NaN,26.44308867,NaN,NaN,NaN,NaN,57.5,75280,32823968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.82251885,1.616358745,13.03928141,1180000000,16.14503228,9.665306972,2.660060449,NaN,NaN,NaN,NaN,NaN,NaN,1.739939361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,39830000,173204900,NaN,NaN,NaN,NaN,NaN,NaN,7473928315,-11.27521911,4.94541808,3.982781206,2.30957E+12,2.28058E+12,2.34604E+12,2.37674E+12,7.07706E+11,5.50024E+11,1.11192E+12,29835000000,29453790000,5043000000,9129000000,11994000000,NaN,NaN,16.90296631,36.39349757,6364328732,4758896298,7591603053,7494603053,1283206107,1479643766,3051908397,NaN,NaN,0.870092767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100035,6177456,NaN,22844537,10950657,NaN,NaN,NaN,NaN,4730000,298260,NaN,NaN,NaN,NaN,NaN,3.89609519,9772400000,-131199999.9,NaN,NaN,1.630268058,6.408144373,NaN,NaN,26.17529747,NaN,NaN,NaN,NaN,56.6,75484,33795194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.14961561,1.856983217,14.09777317,1290000000,13.24866538,10.13149132,3.038723793,NaN,NaN,NaN,NaN,NaN,NaN,1.867471754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,45290000,121267200,NaN,NaN,NaN,NaN,NaN,NaN,8251280733,-4.371625683,4.656358578,5.007911792,2.41712E+12,2.39479E+12,2.44488E+12,2.48995E+12,7.41436E+11,5.69926E+11,1.16664E+12,33062000000,32755297500,4869000000,9985000000,13185000000,NaN,NaN,14.72687678,32.50257093,6581491625,4550855165,8408229699,8330230030,1238269627,1494621195,3353170062,NaN,NaN,0.967560298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99251,7472275,NaN,23420923,11365382,NaN,NaN,NaN,NaN,4700000,298260,NaN,NaN,NaN,NaN,NaN,5.947916036,11394700000,-636399999.9,NaN,NaN,1.662148118,5.885735972,NaN,NaN,26.3036114,NaN,NaN,NaN,NaN,55.9,75820,34786305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.43366913,1.525000366,20.55007828,1265000000,12.79122904,10.19782847,3.168035863,NaN,NaN,NaN,NaN,NaN,NaN,2.090888486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
