NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,801276000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31414347013,NaN,NaN,NaN,NaN,NaN,NaN,453971392,450892640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3193200404,3171544696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,5761501,3096215,1.0978957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.182810075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.7,17636,8857716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.83645393,NaN,NaN,544000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.38405785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.90999985,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,693999000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.534903476,NaN,33153100798,NaN,NaN,NaN,NaN,NaN,NaN,485862016,481945856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3417516639,3389970666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1483275,NaN,5773339,3155977,1.894563427,NaN,NaN,NaN,2507000,91500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.201131768,1.411765824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.3,17148,8929316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.39841121,NaN,NaN,655000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.147584345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,808042200,NaN,NaN,NaN,NaN,NaN,NaN,3665313748,NaN,6.614447769,NaN,35345995334,NaN,NaN,NaN,NaN,NaN,NaN,521504384,516725376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3668222358,3634607177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1764009,NaN,5781154,3212831,6.740702479,NaN,NaN,NaN,2503000,91500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.233106666,0.676695903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.8,16383,8993985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.77020545,1.528052689,3.512870988,601000000,14.49449206,10.64141753,4.134658365,NaN,NaN,NaN,NaN,NaN,NaN,5.596694296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,843136000,NaN,NaN,NaN,NaN,NaN,NaN,3914398641,NaN,5.873702116,NaN,37422113810,NaN,NaN,NaN,NaN,NaN,NaN,555271040,550884160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3905734460,3874877478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1665281,NaN,5770307,3260048,4.809019788,NaN,NaN,NaN,2499000,91500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.258034938,0.567802493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.5,15427,9030355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.95311745,1.90879567,2.618286638,660000000,15.85177718,10.47216801,3.736613719,NaN,NaN,NaN,NaN,NaN,NaN,5.238006244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,955702800,NaN,NaN,NaN,NaN,NaN,NaN,4236344676,NaN,6.310747383,NaN,39783728878,NaN,NaN,NaN,NaN,NaN,NaN,602168576,601811456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4235608178,4233096223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1537996,NaN,5738993,3296372,10.30906451,NaN,NaN,NaN,2495000,91500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.301372964,2.008390048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.1,14393,9035365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.33268596,1.766513637,2.685178456,778000000,15.99904515,9.170768845,3.655940639,NaN,NaN,NaN,NaN,NaN,NaN,5.444184996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1011085200,NaN,NaN,NaN,NaN,NaN,NaN,4677174574,NaN,7.46898853,NaN,42755171024,NaN,NaN,NaN,NaN,NaN,NaN,672202944,672612672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4687464055,4690321206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1595082,NaN,5681173,3317422,8.276157804,NaN,NaN,NaN,2491000,91500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.345944048,3.872159461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.2,13446,8998595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.71507992,1.469546188,2.779387426,897000000,16.48166858,8.373220323,4.062783482,NaN,NaN,NaN,NaN,NaN,NaN,5.049745669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1080200300,NaN,NaN,NaN,NaN,NaN,NaN,5046435619,NaN,4.077909434,NaN,44498688177,NaN,NaN,NaN,NaN,NaN,NaN,736437184,733629440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5135387846,5115808641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,1347319,NaN,5604196,3326794,1.379681061,NaN,NaN,NaN,2487000,91500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.413769765,5.263241178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.4,12696,8930990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.40063847,1.654219742,2.777357567,1013000000,17.32169215,7.535496396,3.746265045,NaN,NaN,NaN,NaN,NaN,NaN,5.101761199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1237714000,NaN,NaN,NaN,NaN,NaN,NaN,5666847595,NaN,7.544482529,NaN,47855883932,NaN,NaN,NaN,NaN,NaN,NaN,823175808,821896000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5740241166,5731316697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1790402,NaN,5534506,3340014,1.681802893,NaN,NaN,NaN,2483000,91500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.491901412,3.936659776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.5,12104,8874520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.35651666,1.409138752,2.69057791,1015000000,18.95545663,8.562239566,3.432560963,NaN,NaN,NaN,NaN,NaN,NaN,5.91066904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1531644000,NaN,NaN,NaN,NaN,NaN,NaN,6459785418,NaN,8.875509234,NaN,52103337329,NaN,NaN,NaN,NaN,NaN,NaN,911229184,909440704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6354262628,6341791044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,1941496,NaN,5476514,3360136,7.941082293,NaN,NaN,NaN,2479000,91500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.582629333,1.672809046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.9,11572,8836650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.21361889,1.204319181,2.671080717,1043000000,15.70087725,8.40991431,3.365332086,NaN,NaN,NaN,NaN,NaN,NaN,5.962344003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1449770000,NaN,NaN,NaN,NaN,NaN,NaN,6937445251,NaN,2.120741162,NaN,53208314251,NaN,NaN,NaN,NaN,NaN,NaN,999388928,999588160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6969025826,6970415128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,1555225,NaN,5393520,3364185,2.27537923,NaN,NaN,NaN,2475000,91500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.721628044,7.397199076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.2,11010,8757705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.20237299,1.12555207,2.529385632,1232000000,14.91869478,8.46581094,3.774004016,NaN,NaN,NaN,NaN,NaN,NaN,5.480624392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
