NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,7500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.28606E+11,NaN,6.48416E+11,7.93305E+11,NaN,NaN,NaN,5950001200,5950001200,740000000,NaN,NaN,NaN,NaN,12.43697228,22.52100386,28936304.39,71084460.42,119000024,119000024,14800000,12000000,NaN,NaN,NaN,6.327729993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2859257,76325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,130.6,19154,2935582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,6700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.69653863,-4.297526048,NaN,7.92997E+11,NaN,6.23534E+11,7.61824E+11,NaN,NaN,NaN,6100000800,6100000800,700000000,NaN,NaN,NaN,NaN,11.47540833,21.31147261,27011882.39,62770039.05,122000016,122000016,14000000,12000000,NaN,NaN,NaN,5.885244989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133290,NaN,2918749,79576,NaN,NaN,NaN,NaN,485000,24670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.124713645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.1,19043,2998325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,10060000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131295150,-9.966069898,11.33379837,NaN,8.82874E+11,NaN,7.27116E+11,8.54807E+11,NaN,NaN,NaN,6250000400,6250000400,580000000,NaN,NaN,NaN,NaN,9.279999406,22.07999859,39135038.9,56514333.08,125000008,125000008,11600000,16000000,NaN,NaN,NaN,8.847999769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,241286,NaN,2970201,82735,NaN,NaN,NaN,NaN,490000,24670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.97133394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126.3,18994,3052936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,5520000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122716381.8,-42.30114734,-9.820444414,NaN,7.96171E+11,NaN,6.77231E+11,7.79978E+11,NaN,NaN,NaN,6400000000,6400000000,380000000,NaN,NaN,NaN,NaN,5.9375,18.59375156,34895724.15,32608121.78,128000000,128000000,7600000,16200002,NaN,NaN,NaN,5.249999836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,138927,NaN,3019523,85896,NaN,NaN,NaN,NaN,495000,24670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.55122875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125.1,19047,3105419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,4200000,4150000,NaN,NaN,NaN,NaN,NaN,NaN,114092736.1,76.90867176,-12.46499268,NaN,6.96929E+11,NaN,5.54744E+11,6.68281E+11,NaN,NaN,NaN,6499999700,6499999700,780000000,NaN,NaN,NaN,NaN,12.00000055,24.61538575,30447136.99,57686595.12,129999994,129999994,15600000,16400000,NaN,NaN,NaN,5.56923085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,171009,NaN,3074904,89359,NaN,NaN,NaN,NaN,500000,24670,NaN,NaN,NaN,NaN,NaN,5.076923311,391000000,264000000,NaN,NaN,NaN,16.02500351,NaN,NaN,15.73846226,NaN,NaN,NaN,NaN,124.5,19218,3164263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.89655172,NaN,NaN,12000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,5690000,3690000,NaN,NaN,NaN,NaN,NaN,NaN,138215711.3,7.874624116,7.009529255,NaN,7.4578E+11,NaN,6.05269E+11,7.14876E+11,1.56421E+11,NaN,2.22974E+11,7439999000,7439999000,900000000,509899800,1365597200,NaN,NaN,12.09677582,29.03226197,43738263.57,62229197.65,148799980,148799980,18000000,25200000,27311944,NaN,NaN,5.490592187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,177702,NaN,3142283,93248,NaN,NaN,NaN,NaN,505000,24670,NaN,NaN,NaN,NaN,NaN,8.682796866,728000000,131000000,NaN,NaN,NaN,6.963864954,NaN,NaN,17.79435723,NaN,NaN,NaN,NaN,124.5,19531,3235531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.14285714,NaN,NaN,18000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,5680000,5130000,NaN,NaN,NaN,NaN,NaN,NaN,146734495.8,-0.224056387,7.008910823,NaN,7.98051E+11,NaN,6.60121E+11,7.67216E+11,1.59906E+11,NaN,2.57432E+11,10895999000,10895999000,1228999900,737699800,2000800300,NaN,NaN,11.27936869,31.27753591,55268001.07,62089769.16,124525702.9,124525702.9,14045713.14,24902858.29,22866289.14,NaN,NaN,9.564290403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,195570,NaN,3223955,97724,NaN,NaN,NaN,NaN,510000,24670,NaN,NaN,NaN,NaN,NaN,8.149780484,1103900000,-253000000,NaN,NaN,2.300628999,36.85927463,NaN,NaN,13.14152103,NaN,NaN,NaN,NaN,125,19999,3321679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.237288136,NaN,NaN,21000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,4910000,6690000,NaN,NaN,NaN,NaN,NaN,NaN,157400472.3,-0.269324041,6.91601751,NaN,8.53245E+11,NaN,7.01017E+11,8.22493E+11,1.62887E+11,NaN,2.95018E+11,15956001800,15956001800,1677300000,1555200000,3893601300,NaN,NaN,10.51203191,25.92504157,45582209.55,61922546.49,159560018,159560018,16773000,24593001,38936013,NaN,NaN,8.416895707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,202304,NaN,3318166,102729,NaN,NaN,NaN,NaN,515000,24670,NaN,NaN,NaN,NaN,NaN,6.655802709,1296200000,-78000000,NaN,NaN,2.334055466,36.96646543,NaN,NaN,10.77650919,NaN,NaN,NaN,NaN,126,20629,3420895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.571428571,NaN,NaN,20000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,9470000,5780000,NaN,NaN,NaN,NaN,NaN,NaN,167856010.8,-11.03209531,7.013780928,NaN,9.13089E+11,NaN,7.55777E+11,8.8573E+11,1.66542E+11,NaN,3.35716E+11,17220001800,17220001800,1504999900,1635000100,4343202000,NaN,NaN,8.739835904,23.87920772,47911113.36,55091192.14,172200018,172200018,15049999,26070001,43432020,NaN,NaN,9.337978074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,167606,NaN,3421618,108225,NaN,NaN,NaN,NaN,521000,24670,NaN,NaN,NaN,NaN,NaN,7.727641469,1591300000,-134600000,NaN,NaN,2.407856828,0.848491736,NaN,NaN,10.5348421,NaN,NaN,NaN,NaN,127.4,21438,3529843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.163265306,NaN,NaN,22000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,8020000,3010000,NaN,NaN,NaN,NaN,NaN,NaN,199047175.8,-2.474447633,11.00737015,NaN,1.0136E+12,NaN,8.47351E+11,9.86914E+11,1.70292E+11,NaN,4.18247E+11,18870003700,18870003700,1448999900,1771200000,4684104200,NaN,NaN,7.67885329,22.03497077,50429646.15,53727989.44,188700037,188700037,14489999,27089999,46841042,NaN,NaN,9.353469082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,170692,NaN,3529240,113997,NaN,NaN,NaN,NaN,528000,24670,NaN,NaN,NaN,NaN,NaN,8.11181611,1887700000,-334500000,NaN,NaN,2.419533479,-1.284129678,NaN,NaN,11.23317215,NaN,NaN,NaN,NaN,129,22400,3643237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.22535211,NaN,NaN,24000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970 [YR1970],NaN,NaN,NaN,NaN,NaN,NaN,10140000,7700000,1948977.4,0.611341347,1344951,-89220.6,NaN,NaN,218140408.1,58.81802634,6.001425245,NaN,1.07443E+12,1.07481E+12,8.74896E+11,1.03205E+12,1.75008E+11,NaN,4.4055E+11,21990000600,22000000600,2529999900,1890000000,6550000500,NaN,NaN,11.50522888,26.73942628,56724957.35,85329732.42,219900006,220000006,25299999,33500001,65500005,NaN,NaN,9.881817808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224801,NaN,3637348,120010,NaN,NaN,NaN,NaN,522000,24670,NaN,NaN,8.509225791,NaN,NaN,6.12778519,1976500000,320900000,NaN,NaN,2.431991313,9.936410101,NaN,NaN,11.67985416,NaN,NaN,NaN,NaN,130.8,23508,3757358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.39676113,NaN,NaN,29000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971 [YR1971],NaN,NaN,NaN,NaN,NaN,NaN,11470000,5778576.083,1998751.4,1.533688283,3419393,-135865.5,NaN,NaN,227911412.2,-10.17349373,1.206640702,1.170419735,1.08739E+12,1.08739E+12,8.94491E+11,1.04933E+12,1.79845E+11,NaN,4.3556E+11,22229999600,22229969900,2270000100,1930000000,6699999600,NaN,NaN,10.21142663,27.0805232,63570292.91,76648717.44,222952578.2,222952280.3,22766638.95,37610085.72,67196680.68,NaN,NaN,11.2714699,NaN,NaN,NaN,NaN,NaN,66.41253,NaN,39.59862137,NaN,NaN,NaN,419059,NaN,202435,NaN,3742288,129151,NaN,NaN,NaN,NaN,560000,24670,NaN,NaN,7.162881873,NaN,NaN,7.176338411,2465400000,269600000,NaN,NaN,2.443873538,-0.11386614,NaN,NaN,13.1412508,NaN,NaN,NaN,NaN,133,24817,3871439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.33183857,NaN,NaN,33000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972 [YR1972],NaN,NaN,NaN,NaN,NaN,NaN,12870000,6373429.782,3384478.7,1.075442508,2651587.8,-219511.7,NaN,NaN,248411595.6,7.55563819,0.263068272,0.294280382,1.09025E+12,1.09059E+12,9.00179E+11,1.04871E+12,1.84842E+11,NaN,5.63692E+11,22699999200,22709209700,1880000000,2140000000,7039999200,NaN,NaN,8.281938618,24.53744536,79401856.94,82440017.2,246457838.3,246557838.3,20411486.89,40062970.52,76434495.41,NaN,NaN,12.20403308,NaN,NaN,NaN,NaN,NaN,57.84474,NaN,41.69218063,NaN,NaN,NaN,404357,NaN,200886,NaN,3848030,139194,NaN,NaN,NaN,NaN,621000,24670,NaN,NaN,7.461146477,NaN,NaN,9.586784479,2887900000,305900000,NaN,NaN,2.519442844,1.84633286,NaN,NaN,13.09559518,NaN,NaN,NaN,NaN,135.5,26326,3987224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.62176166,NaN,NaN,35000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973 [YR1973],NaN,NaN,NaN,NaN,NaN,NaN,17270000,15181419.27,7914015.3,0.048849782,140749,0,NaN,NaN,290136998,44.85766053,3.438088136,2.685458943,1.12774E+12,1.11988E+12,8.88121E+11,1.06756E+12,1.9148E+11,NaN,4.62925E+11,24399999000,24180123400,2830000100,2130000000,7379998600,NaN,NaN,11.59836154,25.04098504,67918119.06,119420680.3,290746157.1,288126157.6,33721790.47,39083911.25,87938783.63,NaN,NaN,13.47326463,NaN,NaN,NaN,NaN,NaN,64.04575,6.85493,44.18751907,NaN,NaN,55.11011,399450,NaN,204248,NaN,3956441,149966,NaN,NaN,NaN,NaN,610000,24670,NaN,NaN,11.25420185,NaN,NaN,9.665984003,3554800000,901900000,NaN,NaN,2.755607205,3.916253775,NaN,NaN,16.51188592,NaN,NaN,NaN,NaN,138.6,28069,4106407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.56647923,NaN,NaN,34000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.884892086,NaN,NaN,8.631147895,NaN,9.913934833,105000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1974 [YR1974],NaN,NaN,NaN,NaN,NaN,NaN,17290000,13107759.59,12310096.7,0.154295682,471540.6,-259606,NaN,NaN,336606641.4,5.767568696,1.409823571,1.417585132,1.14363E+12,1.13575E+12,9.31313E+11,1.07999E+12,1.96183E+11,NaN,3.95197E+11,28680001500,28415012800,3489999900,2640000000,9080001500,NaN,NaN,12.16875773,33.50767572,108686548.4,126308350,308458423.2,305608423.5,37535558.22,65821689.96,97657001.35,NaN,NaN,15.21554919,NaN,NaN,NaN,NaN,NaN,63.43811,8.42133,47.98617172,NaN,NaN,53.02749,397752,NaN,191488,NaN,4069889,161689,NaN,NaN,NaN,NaN,668000,24670,NaN,NaN,12.86323817,NaN,NaN,10.90202175,5169100000,816198261.7,NaN,NaN,3.612278622,15.90691161,NaN,NaN,18.65515941,NaN,NaN,NaN,NaN,142.1,29998,4231578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.21640968,NaN,NaN,58000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.471544715,NaN,NaN,10.18131049,NaN,11.74686131,170000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1975 [YR1975],NaN,NaN,NaN,NaN,NaN,NaN,47960000,24916031.44,24074478.2,0.072797724,413915.7,4268253.5,NaN,NaN,429043041.2,-22.56539026,-2.113825423,-1.85785412,1.11946E+12,1.11465E+12,9.09799E+11,1.07018E+12,2.01655E+11,NaN,3.90641E+11,52770000900,52467331500,4840002000,10010000400,16790000600,NaN,NaN,9.171881595,26.87132833,92617098.48,97806377.92,571863295.7,568583297.3,52450624.37,101216639.4,181951580.7,NaN,NaN,15.89388981,NaN,NaN,NaN,NaN,NaN,55.52826,8.63676,NaN,NaN,NaN,50.6319,386719,NaN,219392,NaN,4190205,174501,NaN,NaN,NaN,NaN,686000,24670,NaN,NaN,9.104725721,NaN,NaN,4.668372102,4729200000,1931554938,NaN,NaN,4.704127641,87.96914908,NaN,NaN,11.36516941,NaN,NaN,NaN,NaN,145.6,32013,4364706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.03347241,NaN,NaN,99000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.628787879,NaN,NaN,7.521318803,NaN,8.601477966,248000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1976 [YR1976],NaN,NaN,NaN,NaN,NaN,NaN,31840000,62103139.71,47672064.8,0.528009372,3348503.5,13704464.9,NaN,NaN,588069787.5,70.02187048,19.50457717,19.51743721,1.33781E+12,1.3322E+12,1.04641E+12,1.25401E+12,2.08234E+11,NaN,4.72889E+11,61869998100,61522776500,9019998200,11690000400,19729997800,NaN,NaN,14.57895341,33.97446072,108558988.6,166292233.2,637754162.1,634175011.8,92977882.19,123695655.1,203376250.2,NaN,NaN,12.419285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.26906967,NaN,NaN,NaN,401521,NaN,234042,NaN,4317664,188445,NaN,NaN,NaN,NaN,700000,24670,NaN,NaN,7.517067784,NaN,NaN,2.593502585,4334300000,4543674765,NaN,NaN,5.041218913,-1.891087559,NaN,NaN,13.00549579,NaN,NaN,NaN,NaN,148.1,33921,4506109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.38146212,NaN,NaN,106000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.613893376,NaN,NaN,9.906255355,NaN,10.90835657,224000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977 [YR1977],NaN,NaN,NaN,NaN,NaN,NaN,33530000,84079011.09,78490587.8,0.177901077,1321602.3,12277492.7,NaN,NaN,744241385.2,-35.84146779,1.99410948,2.017150481,1.36448E+12,1.35908E+12,1.10891E+12,1.33104E+12,2.25168E+11,NaN,4.70422E+11,71629996000,71268848400,10220000300,15189999600,23159996400,NaN,NaN,14.26776612,31.9279659,104035695.3,106690656,746650558.6,742886059.4,106530355.4,131859980.3,241413167.9,NaN,NaN,12.78257922,NaN,NaN,NaN,NaN,NaN,78.77024,8.79212,56.33343887,NaN,NaN,54.07666,434150,NaN,251013,NaN,4451757,203626,NaN,NaN,NaN,NaN,715000,24670,NaN,NaN,12.72147074,NaN,NaN,0.455954235,4677300000,6632559650,NaN,NaN,5.729604742,13.5114663,NaN,NaN,14.15384694,NaN,NaN,NaN,NaN,148.3,35357,4655383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.01727039,NaN,NaN,123000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.152234637,NaN,NaN,10.90185737,NaN,12.14993786,354000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1978 [YR1978],NaN,NaN,NaN,NaN,NaN,NaN,60510000,94967184.03,109802922,0.196993208,1775070.5,5133501.1,NaN,NaN,872534719,43.65917777,9.150840818,9.170658651,1.48935E+12,1.48371E+12,1.20206E+12,1.41685E+12,2.36403E+11,NaN,5.67577E+11,81050009600,80635943200,11980000300,17930000400,28740007900,NaN,NaN,14.780998,38.58111782,133009185.4,153270919.2,905709147.3,901082081.5,133872851,215559862.3,321160826.2,NaN,NaN,13.78786688,NaN,NaN,NaN,NaN,NaN,78.226,8.33804,NaN,NaN,NaN,56.30217,463442,18,268321,NaN,4592683,220189,NaN,NaN,NaN,NaN,730000,24670,NaN,NaN,10.95565189,NaN,NaN,-0.000370142,5134300000,6320919445,NaN,NaN,6.489953875,3.664738901,NaN,NaN,13.794693,NaN,NaN,NaN,NaN,144.8,35909,4812872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.566167409,NaN,NaN,188000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.588162762,NaN,NaN,9.71992482,NaN,11.32634042,421000000,NaN,NaN,91.75,NaN,NaN,NaN,NaN,NaN
