NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24938E+12,NaN,NaN,2.45125E+12,2.95529E+11,NaN,NaN,2.461E+11,NaN,41327665463,29448678976,NaN,NaN,NaN,16.79300672,31.08957118,1262621560,971779503.6,1003692375,NaN,168550127.9,143493527.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2469197,737552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.3,20051,3206749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.14336918,NaN,NaN,172000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,30000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.20079945,2.993448255,NaN,2.31671E+12,NaN,NaN,2.54123E+12,3.14136E+11,NaN,NaN,2.59724E+11,NaN,54992456466,33146884891,NaN,NaN,NaN,21.17339025,39.91815044,1674847419,1294418068,1058975266,NaN,224220965.7,198502373.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,528113,NaN,2516110,779168,NaN,NaN,NaN,NaN,2933000,192530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.468577471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.2,20573,3295278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.66666667,NaN,NaN,163000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,5020000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.925371174,-0.136235361,NaN,2.31355E+12,NaN,NaN,2.49192E+12,3.3663E+11,NaN,NaN,2.65957E+11,NaN,53992594673,35201444225,NaN,NaN,NaN,20.30127996,38.41450429,1674847419,1358172962,1085475573,NaN,220365435.1,196614625.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,537800,NaN,2563711,823095,NaN,NaN,NaN,NaN,2933000,192530,NaN,NaN,NaN,NaN,NaN,-4.045772827,23540000000,15350000000,NaN,NaN,NaN,2.539247691,NaN,NaN,13.72404351,NaN,NaN,NaN,NaN,128.3,21154,3386806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.22672065,0.041067727,5.520834165,162000000,32.33583073,5.447105683,0.332911103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,3130000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21.19488089,1.864478568,NaN,2.35669E+12,NaN,NaN,2.57438E+12,3.30824E+11,NaN,NaN,2.74943E+11,NaN,48437803348,35338414341,NaN,NaN,NaN,17.617423,35.62225085,1660433882,1070309821,1122139637,NaN,197692086.5,202039309.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620300,NaN,2612181,869473,NaN,NaN,NaN,NaN,3033000,192530,NaN,NaN,NaN,NaN,NaN,-3.88080983,23600000000,11401000000,NaN,NaN,NaN,1.48655562,NaN,NaN,11.60969539,NaN,NaN,NaN,NaN,128.6,21784,3481654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.01270417,0.015773484,6.186491614,171000000,34.26202669,5.375932157,0.381106747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,36800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.747296118,3.883927104,NaN,2.44822E+12,NaN,NaN,2.67057E+12,3.5568E+11,NaN,NaN,2.9132E+11,NaN,50881911809,39173590245,NaN,NaN,NaN,17.46596681,35.68738657,1827630357,1174636088,1188930568,NaN,207658218.4,216640029.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,686000,NaN,2661657,918582,NaN,NaN,NaN,NaN,3033000,192530,NaN,NaN,NaN,NaN,NaN,-3.061921583,26250000000,9081000000,NaN,NaN,NaN,1.995350265,NaN,NaN,10.62404406,NaN,NaN,NaN,NaN,128.8,22435,3580239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.99669967,0.032870052,8.446517756,177000000,37.59422667,4.643724648,0.432388801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,32060000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.94736584,1.33218949,NaN,2.48084E+12,NaN,2.49057E+12,2.65131E+12,3.67986E+11,NaN,NaN,2.96538E+11,NaN,51992869695,41091179463,NaN,NaN,NaN,17.53329076,34.50284372,1651785806,1221003272,1210058396,NaN,212163057,205341500.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,723168,NaN,2712401,970475,NaN,NaN,NaN,NaN,3132000,192530,NaN,NaN,NaN,NaN,NaN,-2.242545646,27890000000,7090000000,NaN,NaN,NaN,0.45282082,NaN,NaN,10.11674728,NaN,NaN,NaN,NaN,128.9,23080,3682876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.01412873,0.014663875,8.657930044,163000000,36.89197676,6.247232202,0.441436117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,8840000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.32396764,2.876760975,NaN,2.55221E+12,NaN,2.51564E+12,2.68419E+12,3.75573E+11,NaN,NaN,3.06338E+11,NaN,56875448873,42817699612,NaN,NaN,NaN,18.56621266,36.6995374,1749216244,1359269287,1246908374,NaN,231503660.4,226105944.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,595250,NaN,2764090,1025293,NaN,NaN,NaN,NaN,3132000,192530,NaN,NaN,NaN,NaN,NaN,-2.85958223,22050000000,9514000000,NaN,NaN,NaN,0.416222711,NaN,NaN,9.078194271,NaN,NaN,NaN,NaN,128.6,23692,3789383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.18737408,0.169966833,7.574964418,160000000,36.02733246,6.17522882,0.434382555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,31860000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.665391956,-1.219792865,NaN,2.52107E+12,NaN,2.56139E+12,2.64461E+12,3.92472E+11,NaN,NaN,3.06635E+11,NaN,52388754496,45752783941,NaN,NaN,NaN,17.08502934,35.45654348,1831352370,1295854047,1246480959,NaN,212961637.5,228997425.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,855300,NaN,2816479,1083165,NaN,NaN,NaN,NaN,3232000,192530,NaN,NaN,NaN,NaN,NaN,-1.474063153,22560000000,7951000000,NaN,NaN,10.95361825,1.332998867,NaN,NaN,8.49543034,NaN,NaN,NaN,NaN,128.2,24296,3899644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.61209888,0.034432342,8.023392721,165000000,38.42239501,0.730649503,0.401836795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,24230000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1356704839,5.334937824,6.290773533,NaN,2.67967E+12,2.65287E+12,2.59639E+12,2.57752E+12,4.07302E+11,NaN,NaN,3.24157E+11,3.2085E+11,64001375177,45925435930,NaN,NaN,NaN,19.7439154,44.82373369,1722592811,1364987055,1309384830,1296023515,258523833.1,328391336.1,NaN,NaN,NaN,3.798542154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,537200,NaN,2869803,1144300,NaN,NaN,NaN,NaN,3401000,192530,NaN,NaN,NaN,NaN,NaN,-0.736679014,30244000000,2927000000,NaN,NaN,10.96000786,-0.542368625,NaN,NaN,9.143704345,NaN,NaN,NaN,NaN,127.7,24876,4014103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.6356383,0.014956948,7.301673196,186000000,37.20806917,3.408393694,0.446605505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,19050000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1285196345,-1.485148517,-6.554142921,-6.354814065,2.50404E+12,2.48428E+12,2.36491E+12,2.34099E+12,4.16614E+11,NaN,NaN,3.23712E+11,3.21011E+11,69411800716,50759692397,NaN,NaN,NaN,21.44245607,48.97939225,1564551576,1344714970,1245234807,1234844832,267008926.4,342899514,NaN,NaN,NaN,4.47343668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,843910,NaN,2924449,1208873,NaN,NaN,NaN,NaN,3187000,192530,NaN,NaN,NaN,NaN,NaN,0.052824735,34905000000,-225000000,NaN,NaN,11.400891,6.866775677,NaN,NaN,9.182854248,NaN,NaN,NaN,NaN,126.7,25392,4133322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.17340876,2.453715339,9.87352118,194000000,34.80214658,7.471789363,0.486610675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
