NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,10530000,101260000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.20761E+11,NaN,1.32781E+11,NaN,2.9309E+11,6711000000,6694619600,2010162600,1388315246,3168172098,NaN,NaN,29.95324989,62.86589331,1974575222,1839182929,1409873950,1406432689,422303067.2,464026785.7,665582373.5,NaN,NaN,0.788519795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,8252001,1622475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11116078,1435000000,323000000,NaN,NaN,1.487669034,NaN,NaN,NaN,23.15601252,NaN,NaN,NaN,NaN,68.1,24572,9874476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.34460548,NaN,NaN,413000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.183052365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,11990000,90000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.890403244,NaN,NaN,6.6985E+11,6.54585E+11,6.09057E+11,6.48306E+11,1.33692E+11,86423014000,2.90491E+11,6875000000,6697446900,1893206128,1413124251,3199315713,NaN,NaN,27.53754368,56.02297322,1779402937,1910734561,1444327731,1407026660,397732379.9,411422958.1,672125149.7,NaN,NaN,0.798136941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,951868,NaN,8433914,1677723,NaN,NaN,NaN,NaN,595000,62710,NaN,NaN,NaN,NaN,NaN,16.32,1626000000,248000000,NaN,NaN,1.504545801,NaN,NaN,NaN,23.59272727,NaN,NaN,NaN,NaN,65.5,23780,10111637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.17563739,NaN,NaN,358000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.183272727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,10780000,85000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.564754948,3.818019558,6.548033035,6.95425E+11,6.97448E+11,6.44599E+11,6.81155E+11,1.41819E+11,91709419500,3.04788E+11,6970000000,6992409600,1937149353,1469709326,3333141853,NaN,NaN,27.79267364,56.99396926,1986686169,2017062257,1434156379,1438767407,398590401.8,418792243.7,685831657,NaN,NaN,0.909111498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1061828,NaN,8617878,1734301,NaN,NaN,NaN,NaN,577000,62710,NaN,NaN,NaN,NaN,NaN,18.57962697,1799000000,163000000,NaN,NaN,1.52716785,-2.346607445,NaN,NaN,24.80631277,NaN,NaN,NaN,NaN,63.6,23258,10352179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.38208311,0,0.321843582,349000000,38.73925785,8.174521732,1.698565964,NaN,NaN,NaN,NaN,NaN,NaN,1.082855093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,6270000,75000000,NaN,NaN,NaN,NaN,NaN,NaN,1405747999,-3.437402912,2.516748594,1.02681014,7.12927E+11,7.04609E+11,6.37502E+11,6.79576E+11,1.46806E+11,94717547100,3.06043E+11,7382000000,7281718300,1901367533,1527540045,3466402042,NaN,NaN,25.75680754,53.24937922,1764134279,1947727700,1240672269,1223818202,319557568.5,341092712.8,582588578.5,NaN,NaN,0.881666897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1076631,NaN,8804836,1792675,NaN,NaN,NaN,NaN,792000,62710,NaN,NaN,NaN,NaN,NaN,19.33080466,2064000000,109000000,NaN,NaN,1.561878931,3.310969962,NaN,NaN,29.56651314,NaN,NaN,NaN,NaN,62.3,22904,10597511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.58291457,0,0.326650629,313000000,43.24837486,8.626305805,1.739152666,NaN,NaN,NaN,NaN,NaN,NaN,0.897791926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.20000076,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,6020000,52000000,NaN,NaN,NaN,NaN,NaN,NaN,1385023820,0.047356567,3.906433837,4.921139146,7.40777E+11,7.39284E+11,6.54095E+11,7.04992E+11,1.54444E+11,99903161100,3.34567E+11,7793000000,7774579700,1918287640,1589099136,3791003100,NaN,NaN,24.61552213,51.33726182,1771805415,1948650077,1309747899,1306652050,322401284,349987424.2,637143378.1,NaN,NaN,0.679599447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1100142,NaN,9003960,1846015,NaN,NaN,NaN,NaN,790000,62710,NaN,NaN,NaN,NaN,NaN,19.95784037,2285314500,126352438,NaN,NaN,1.611791071,1.598710454,NaN,NaN,28.6154241,NaN,NaN,NaN,NaN,61,22605,10849975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.81186573,0,0.4149466,415000000,51.82305964,5.384120608,1.393893349,NaN,NaN,NaN,NaN,NaN,NaN,0.851725908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,8890000,73000000,NaN,NaN,NaN,NaN,NaN,NaN,1458976866,6.037934941,2.536953535,1.993204061,7.5957E+11,7.5402E+11,6.44663E+11,7.24889E+11,1.55321E+11,1.01134E+11,3.651E+11,8084000000,8013000000,2094000000,1742306246,4032508299,NaN,NaN,25.90301831,51.39782286,1731842508,2066308301,1698319328,1683403361,439915966.4,432983193.3,847165609.1,NaN,NaN,0.888081856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,795199,NaN,9209759,1901061,NaN,NaN,NaN,NaN,793000,62710,NaN,NaN,NaN,NaN,NaN,20.24074963,2378262200,220733446,NaN,NaN,1.615381872,1.167546712,NaN,NaN,28.59104404,NaN,NaN,NaN,NaN,59.7,22268,11110820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.39255085,0,0.376451138,310000000,41.40725864,8.128769455,2.142340281,NaN,NaN,NaN,NaN,NaN,NaN,0.852610094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,10430000,43000000,NaN,NaN,NaN,NaN,NaN,NaN,1682425483,-5.909313362,5.023789439,5.753315785,7.97729E+11,7.97401E+11,7.07276E+11,7.55449E+11,1.68008E+11,1.09332E+11,3.7679E+11,8337000000,8333000000,1865000000,1693938898,4251788334,NaN,NaN,22.37015713,48.21878374,1814426074,1944203669,1751470588,1750630252,391806722.7,452731092.4,893232843.2,NaN,NaN,1.706813825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1011504,NaN,9422398,1958272,NaN,NaN,NaN,NaN,792000,62710,NaN,NaN,NaN,NaN,NaN,20.0752285,2488671800,-13528384,NaN,NaN,1.612868311,-1.803544374,NaN,NaN,27.16324817,NaN,NaN,NaN,NaN,58.1,21804,11380670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.41171453,0,0.476731887,400000000,47.86286982,6.692114364,1.455756935,NaN,NaN,NaN,NaN,NaN,NaN,0.872915917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,8530000,55000000,NaN,NaN,NaN,NaN,NaN,NaN,1928908399,6.207862357,6.43902442,6.300201955,8.49095E+11,8.47639E+11,7.19956E+11,7.87873E+11,1.83012E+11,1.18636E+11,3.81176E+11,9037000000,9018000000,1849000000,1806832402,4512088160,NaN,NaN,20.46032976,43.76452363,1735162782,2064897156,1859465021,1855555556,380452674.9,433333333.3,928413201.7,NaN,NaN,2.51461077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1190706,NaN,9640410,2017240,NaN,NaN,NaN,NaN,792000,62710,NaN,NaN,NaN,NaN,NaN,22.13251234,2935115140,-209635032.5,NaN,NaN,1.648177859,1.838875559,NaN,NaN,27.85437645,NaN,NaN,NaN,NaN,56.3,21261,11657650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.47980998,0,0.543300826,365000000,45.65212976,7.057769635,2.260365498,NaN,NaN,NaN,NaN,NaN,NaN,0.84513666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,7390000,52000000,NaN,NaN,NaN,NaN,NaN,NaN,1956250906,0.074869461,5.801094167,4.464911521,8.98352E+11,8.85485E+11,8.00027E+11,8.551E+11,2.11705E+11,1.36978E+11,4.04486E+11,10718000000,10539000000,2210206214,2299785748,5028341996,NaN,NaN,20.62144257,44.21013343,1926203511,2066443134,1801344538,1771260504,371463229.3,424913594.4,845099495.2,NaN,NaN,2.936891572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1385641,NaN,9860219,2077381,NaN,NaN,NaN,NaN,798000,62710,NaN,NaN,NaN,NaN,NaN,19.79861112,3333015140,-339560902.4,NaN,NaN,1.744770417,12.09837353,NaN,NaN,25.58033215,NaN,NaN,NaN,NaN,54.9,20758,11937600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.9673913,0,0.564739962,359000000,46.10159924,9.228314935,1.407266732,NaN,NaN,NaN,NaN,NaN,NaN,0.794532052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,8070000,40000000,NaN,NaN,NaN,NaN,NaN,NaN,2088010885,-0.582862753,7.716819662,8.71990595,9.67676E+11,9.62698E+11,8.74036E+11,9.09667E+11,2.33491E+11,1.51002E+11,4.21687E+11,11695000000,11624000000,2151000000,2722078477,5543572904,NaN,NaN,18.39247542,43.00983326,2062991121,2054398606,1965546218,1953613445,361512605,483865546.2,931692925.1,NaN,NaN,2.552193768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1412377,NaN,10077339,2137617,NaN,NaN,NaN,NaN,804000,62710,NaN,NaN,NaN,NaN,NaN,19.70513159,3749515140,-628551362.6,NaN,NaN,1.874877123,1.298485201,NaN,NaN,24.67892262,NaN,NaN,NaN,NaN,53.8,20347,12214956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.70634493,0,0.674696346,420000000,37.81350708,6.355035452,1.917258016,NaN,NaN,NaN,NaN,NaN,NaN,0.807396323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
