NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,1730000,27200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.31624E+12,NaN,NaN,NaN,NaN,NaN,NaN,197156700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,322009471.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1915480,402156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.028843047,9460000,10270000,NaN,NaN,NaN,NaN,NaN,NaN,10.94053613,NaN,NaN,NaN,NaN,221.2,23002,2317636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.62258953,NaN,NaN,74000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,10480000,27800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.80904355,NaN,2.35814E+12,NaN,NaN,NaN,NaN,NaN,NaN,200723300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,327834680.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,297619,NaN,1931219,421144,NaN,NaN,NaN,NaN,355000,72180,NaN,NaN,NaN,NaN,NaN,1.992793064,11020000,9510000,NaN,NaN,NaN,-2.52E-05,NaN,NaN,11.65783942,NaN,NaN,NaN,NaN,218.3,23150,2352363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.0070922,NaN,NaN,91000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.726554268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,5240000,31800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.540967064,NaN,2.46523E+12,NaN,NaN,NaN,NaN,NaN,NaN,209838100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,342721579.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,348855,NaN,1947635,441134,NaN,NaN,NaN,NaN,360000,72180,NaN,NaN,NaN,NaN,NaN,1.448735954,13020000,10560000,NaN,NaN,NaN,1.00E-05,NaN,NaN,12.19988172,NaN,NaN,NaN,NaN,215,23258,2388769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.71244635,NaN,NaN,85000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.71421371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,4670000,32500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.699715173,NaN,2.50713E+12,NaN,NaN,NaN,NaN,NaN,NaN,213404800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,348546952.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,364887,NaN,1964298,462559,NaN,NaN,NaN,NaN,365000,72180,NaN,NaN,NaN,NaN,NaN,1.424522785,17040000,5790000,NaN,NaN,NaN,2.34E-05,NaN,NaN,12.02409693,NaN,NaN,NaN,NaN,211.9,23377,2426857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.4374121,NaN,19.99284538,84000000,21.75443214,12.42144368,0.842528924,NaN,NaN,NaN,NaN,NaN,NaN,0.763131814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.04999924,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,4630000,20444000,NaN,NaN,NaN,NaN,NaN,NaN,379372595.5,NaN,6.685238791,NaN,2.67474E+12,NaN,NaN,NaN,2.09018E+11,NaN,NaN,227671400,228628700,66200000,60393800,76434100,NaN,NaN,29.0769943,58.59321812,NaN,NaN,371848114.7,373411641,108122255.1,109755521.8,124837269.8,NaN,NaN,2.69407788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,406627,NaN,1980438,486229,NaN,NaN,NaN,NaN,370000,72180,NaN,NaN,NaN,NaN,NaN,1.225450364,18390000,8260000.383,NaN,NaN,NaN,-8.99E-06,NaN,NaN,12.40823397,NaN,NaN,NaN,NaN,208.8,23488,2466667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.62170706,NaN,17.84714437,99000000,18.08991571,10.24210926,0.755619092,NaN,NaN,NaN,NaN,NaN,NaN,0.780771017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,4670000,22640000,NaN,NaN,NaN,NaN,NaN,NaN,394473233.7,NaN,7.180155792,NaN,2.86679E+12,NaN,NaN,NaN,2.30361E+11,NaN,NaN,256700000,257474900,74100000,68900000,93000000,NaN,NaN,28.86638099,60.14803272,NaN,NaN,359379856.2,360464715.8,103739958.5,112419955,130199947.9,NaN,NaN,4.860392624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433450,NaN,1997069,511150,NaN,NaN,NaN,NaN,375000,72180,NaN,NaN,NaN,NaN,NaN,1.912738605,20260000,9697143.239,NaN,NaN,NaN,5.196915646,NaN,2.664606977,11.50370082,NaN,NaN,NaN,NaN,205.6,23570,2508219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.49939099,NaN,NaN,108000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.722648365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,1160000,20000000,NaN,NaN,NaN,NaN,NaN,NaN,393918526.4,NaN,1.699999998,NaN,2.91552E+12,NaN,NaN,NaN,2.27827E+11,NaN,NaN,268200000,269005000,74500000,66900000,96300000,NaN,NaN,27.77777778,59.39597315,NaN,NaN,375479849.8,376606849.4,104299958.3,118719952.5,134819946.1,NaN,NaN,2.713705363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,465000,NaN,2014114,537464,NaN,NaN,NaN,NaN,380000,72180,NaN,NaN,NaN,NaN,NaN,3.128262491,24030000,8051428.799,NaN,NaN,NaN,2.733468705,NaN,5.126402683,11.50260999,NaN,NaN,NaN,NaN,202.5,23650,2551578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.6464891,NaN,NaN,100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.692630775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,1900000,15900000,NaN,NaN,NaN,NaN,NaN,NaN,375679899.1,NaN,0.036281553,NaN,2.91658E+12,NaN,NaN,2.98229E+12,2.17391E+11,NaN,NaN,252600000,253505300,68400000,66050000,101700000,NaN,NaN,27.0783848,58.39271576,438842750.9,407307379.2,348795303,350045360,94448134.3,109222915.5,140429462.8,NaN,NaN,2.139722627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,496450,NaN,2031610,565195,NaN,NaN,NaN,NaN,385000,72180,NaN,NaN,NaN,NaN,NaN,3.040380048,23140000,4481668.198,NaN,NaN,NaN,-5.850713633,NaN,14.71143773,12.4861441,NaN,NaN,NaN,NaN,199.2,23706,2596805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.12034384,NaN,NaN,90000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.796946565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,1510000,27500000,NaN,NaN,NaN,NaN,NaN,NaN,371951397.4,38.44119252,2.019923833,NaN,2.97549E+12,NaN,NaN,2.86646E+12,2.10502E+11,NaN,NaN,274883300,276758300,65100000,76300000,114800000,NaN,NaN,23.68277738,50.53053423,512411112.3,563881192.9,329860091.9,332110092.8,78120031.25,88560035.42,137760055.1,NaN,NaN,3.230856205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,453550,NaN,2049539,594481,NaN,NaN,NaN,NaN,390000,72180,NaN,NaN,NaN,NaN,NaN,1.811677901,21100000,15826668.19,NaN,NaN,NaN,6.666983786,NaN,1.249698985,14.19875271,NaN,NaN,NaN,NaN,196.1,23770,2644020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.06820567,NaN,NaN,90000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.804869186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,1120000,35400000,NaN,NaN,NaN,NaN,NaN,NaN,405281257.4,6.922241032,8.525446802,NaN,3.22917E+12,NaN,NaN,3.50056E+12,2.27793E+11,NaN,NaN,340575000,343158300,94100000,89400000,127450000,NaN,NaN,27.62974382,52.82243265,570402886.2,602914408.2,408690163.5,411790124.7,112920045.2,102960041.2,152940061.2,NaN,NaN,2.13943946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,532110,NaN,2068006,625342,NaN,NaN,NaN,NaN,395000,72180,NaN,NaN,NaN,NaN,NaN,0.64303017,19110000,24926667.69,NaN,NaN,NaN,14.16495948,NaN,-5.400045256,13.45078177,NaN,NaN,NaN,NaN,193.1,23844,2693348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.5110664,NaN,NaN,112000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.872657987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
