NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,200000,115000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8170200000,8390959892,13089828898,8019874502,1506594415,1019300000,5301800000,2157400000,2196800000,3512800000,352900000,1607600000,NaN,NaN,162.8256234,339.3065727,4258393963,4062349018,704756304.7,717627074.3,1147523847,1243760617,525153534.6,NaN,NaN,-0.032050073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,1646400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.51917493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.4,2183,1646400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.08523059,NaN,NaN,1333000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,240000,123000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.438408271,8.136887714,8.144209551,8835000000,9074337248,13926100747,8709678756,1694907877,1073800000,5749600000,2340700000,2385300000,3333700000,394700000,1745000000,NaN,NaN,142.4232067,299.4018883,4109565324,3841421893,764634783.7,779204233.6,1089017379,1200313603,570037893.6,NaN,NaN,0.001283361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,1702400,NaN,NaN,NaN,NaN,3000,670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.62925163,0.332403196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.9,2002,1702400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1295000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,1200000,165000000,NaN,NaN,NaN,NaN,NaN,NaN,853588861.8,4.701198507,7.554046406,7.490370182,9502400000,9754038700,14521756742,9375785506,1859058202,1170200000,6166600000,2529300000,2578400000,3493500000,445000000,1868400000,NaN,NaN,138.1212193,286.6445262,4201704858,4022014762,826244610,842284071.6,1141219130,1227165817,610348882.8,NaN,NaN,0.121099284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,1750200,NaN,NaN,NaN,NaN,4000,670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.74517856,0.468018016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.7,1836,1750200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.35114598,17.10346392,1.43040032,1319000000,21.68751645,14.91326036,0.997314582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,1320000,433200000,NaN,NaN,NaN,NaN,NaN,NaN,947665256.5,14.00031523,10.04062132,10.68155856,10456500000,10795922055,15593300652,10297384057,2167387826,1365300000,6762000000,2809000000,2876500000,3965000000,527500000,2062900000,NaN,NaN,141.1534354,296.8814525,4901554753,4585109507,917614007.6,939664184,1295243695,1428982099,673886057.8,NaN,NaN,0.065981019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,1795000,NaN,NaN,NaN,NaN,4000,670,NaN,NaN,NaN,NaN,NaN,-26.52189391,201000000,1501000000,NaN,NaN,28.35701514,0.924907797,NaN,NaN,52.83018868,NaN,NaN,NaN,NaN,29.2,1701,1795000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.93101824,16.85475328,1.647547523,1398000000,23.48943652,13.68117289,1.201026485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,480000,431000000,NaN,NaN,NaN,NaN,NaN,NaN,930854018.3,-17.93577823,-3.103332855,-2.22903283,10132000000,10555277409,15024392912,10044807758,2338464368,1407700000,6350900000,2737200000,2823800000,3341700000,581700000,1929800000,NaN,NaN,122.084612,255.0306883,4007635471,3762734434,894159153.3,922448712.9,1091630733,1188749510,630406376.6,NaN,NaN,0.048783199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,1841600,NaN,NaN,NaN,NaN,4000,670,NaN,NaN,NaN,NaN,NaN,-26.37731989,316000000,1424000000,NaN,NaN,28.8464844,0.564790406,NaN,NaN,56.91947976,NaN,NaN,NaN,NaN,28.2,1597,1841600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.23190781,1.460921268,1137000000,23.80844503,13.5142172,1.173191755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,2660000,430100000,NaN,NaN,NaN,NaN,NaN,NaN,1020494246,10.40561031,7.834583498,7.856096078,10925800000,11384510143,15796144396,10839915740,2613401996,1573600000,6758500000,2983600000,3079700000,3676900000,660900000,2064800000,NaN,NaN,123.2370291,257.5412254,4436988329,4154269916,974650463.9,1006043382,1201130276,1308996472,674506729.4,NaN,NaN,0.226630383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,1886900,NaN,NaN,NaN,NaN,4000,670,NaN,NaN,NaN,NaN,NaN,-20.71323234,494000000,1392000000,NaN,NaN,28.89800748,1.082506387,NaN,NaN,55.26880279,NaN,NaN,NaN,NaN,27.4,1502,1886900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.92171881,1.498563437,1243000000,23.73222419,13.36527064,1.354094215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,250000,394300000,NaN,NaN,NaN,NaN,NaN,NaN,1145754952,17.69766333,10.17957495,10.01460267,12038000000,12524623600,16735819556,11923907552,2863203140,1794600000,7402200000,3356400000,3462600000,4137700000,746300000,2311300000,NaN,NaN,123.2779168,253.7778572,5061752794,4889478620,1096432771,1131125049,1351659480,1430844113,755030706.9,NaN,NaN,0.208641821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,1934400,NaN,NaN,NaN,NaN,4000,670,NaN,NaN,NaN,NaN,NaN,-19.24681206,612000000,1563000000,NaN,NaN,29.47764213,2.101476219,NaN,NaN,56.36992015,NaN,NaN,NaN,NaN,26.4,1402,1934400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.98783323,1.780616246,1328000000,22.5770149,15.28327216,1.478091104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,3890000,495600000,NaN,NaN,NaN,NaN,NaN,NaN,1298390301,3.904186182,12.50872238,11.58371504,13543800000,13975440308,18030913220,13436679530,3282003895,2061600000,8363100000,3789900000,3887700000,4331600000,870000000,2613600000,NaN,NaN,114.2932531,235.9349851,5297352082,5080372969,1238043904,1269992160,1415000653,1505978048,853782830.3,NaN,NaN,0.581893345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,1977600,NaN,NaN,NaN,NaN,4000,670,NaN,NaN,NaN,NaN,NaN,-19.2089501,628000000,1861000000,NaN,NaN,30.46302103,0.361662185,NaN,NaN,58.36565609,NaN,NaN,NaN,NaN,25.2,1301,1977600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.7123704,1.769105115,1439000000,22.02973416,16.76612098,1.436060994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,1450000,712420000,NaN,NaN,NaN,NaN,NaN,NaN,1500623504,34.46156726,13.52722279,12.6507529,15375900000,15743438728,19909893202,15207743213,3910373683,2459600000,9458400000,4364400000,4451600000,5484300000,1041500000,2971800000,NaN,NaN,125.6598845,256.8004766,6964627604,6831149116,1425715406,1454200967,1791552332,1869691624,970795766.4,NaN,NaN,0.317012589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,2012000,NaN,NaN,NaN,NaN,3000,670,NaN,NaN,NaN,NaN,NaN,-19.04041793,840000000,2267000000,NaN,NaN,30.66267297,1.437090139,NaN,NaN,63.19310787,NaN,NaN,NaN,NaN,23.9,1209,2012000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.21456421,27.32804474,1.998121494,1660000000,20.64359768,17.21930706,1.293993936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,2720000,826630000,NaN,NaN,NaN,NaN,NaN,NaN,1736156458,17.52430225,13.83333659,13.34917407,17502900000,17845057767,22062914531,17301925439,4643805548,3019700000,10637100000,5081300000,5166000000,6713700000,1253500000,3419800000,NaN,NaN,132.1256371,273.6976758,8400962136,8028260334,1659904613,1687573501,2193159545,2349960800,1117143604,NaN,NaN,0.906627189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,2042500,NaN,NaN,NaN,NaN,3000,670,NaN,NaN,NaN,NaN,NaN,-22.75008364,968000000,2770000000,NaN,NaN,30.57894796,2.277669496,NaN,NaN,65.57377049,NaN,NaN,NaN,NaN,22.8,1130,2042500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.37652149,24.40819856,1.444764927,2039000000,18.05117061,15.75146348,1.190473625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
