NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,21410000,9300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48905793536,48827607410,52598896896,46783423969,NaN,NaN,NaN,1289000064,1286999168,163899664,89800000,NaN,NaN,NaN,12.71525647,29.86031318,NaN,NaN,180459936.8,180179811.4,22945943.78,30939958.5,NaN,NaN,NaN,11.915874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2278858,477114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.186190836,34800000,66440000,NaN,NaN,NaN,NaN,NaN,NaN,8.301008122,NaN,NaN,NaN,NaN,NaN,NaN,2755972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.08695652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,20600000,16500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.80423105,-3.261981202,-3.258929953,47310495744,47236349886,51734498304,44726534976,NaN,NaN,NaN,1368999936,1366898944,218999616,89800000,NaN,NaN,NaN,15.99705086,39.07957524,NaN,NaN,191659914.4,191365775.6,30659933.98,44239946.46,NaN,NaN,NaN,12.12860503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,255000,NaN,2312220,501898,NaN,NaN,NaN,NaN,891000,627340,NaN,NaN,NaN,NaN,NaN,-0.160701249,40400000,113770000,NaN,NaN,NaN,9.787602229,NaN,NaN,12.30825478,NaN,NaN,NaN,NaN,NaN,NaN,2814118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.89353612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23082542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,22530000,17900000,NaN,NaN,NaN,NaN,NaN,NaN,201595282.6,-14.47649136,7.076655434,7.138175527,50658496512,50608163454,59927696384,48448624137,NaN,NaN,NaN,1453800064,1452399232,185999632,89800000,NaN,NaN,NaN,12.79403108,40.30810883,NaN,NaN,203531927.5,203335811.1,26039938.06,55999932.8,NaN,NaN,NaN,11.69002171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250000,NaN,2346167,528051,NaN,NaN,NaN,NaN,896000,627340,NaN,NaN,NaN,NaN,NaN,0.343926247,81500000,106330000,NaN,NaN,NaN,-0.824029645,NaN,NaN,12.86284164,NaN,NaN,NaN,NaN,NaN,NaN,2874218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003000594,0.099272485,NaN,32.23793822,5.026447819,0.274103132,NaN,NaN,NaN,NaN,NaN,NaN,0.254470426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,21550000,18770000,NaN,NaN,NaN,NaN,NaN,NaN,215558361.8,27.61041548,2.80880257,2.911056376,52081393664,52081395623,58643495936,49259451939,NaN,NaN,NaN,1543900160,1543900160,244999520,89800000,NaN,NaN,NaN,15.86887069,41.84202792,NaN,NaN,216145935.9,216145935.9,34299919.08,56139923.78,NaN,NaN,NaN,14.08770451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,243000,NaN,2380896,555581,NaN,NaN,NaN,NaN,901000,627340,NaN,NaN,NaN,NaN,NaN,2.22229396,125110000,94700000,NaN,NaN,NaN,3.29617204,NaN,NaN,14.39212235,NaN,NaN,NaN,NaN,NaN,NaN,2936477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.1875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.29015544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,14470000,10200000,NaN,NaN,NaN,NaN,NaN,NaN,211934458.2,-5.476046237,-6.11062333,-6.233211222,48898895872,48835052227,57013096704,46233666394,NaN,NaN,NaN,1639500032,1637398656,261999520,95400000,NaN,NaN,NaN,15.98045227,46.41654072,NaN,NaN,229529912.7,229235720.1,36679918.13,69859927.26,NaN,NaN,NaN,9.488050111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,237000,NaN,2417343,583815,NaN,NaN,NaN,NaN,906000,627340,NaN,NaN,NaN,NaN,NaN,2.611771831,204620000,29930000,NaN,NaN,NaN,13.10342631,NaN,NaN,13.6688012,NaN,NaN,NaN,NaN,NaN,NaN,3001158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.76601671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.330487805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,22830000,8600000,NaN,NaN,NaN,NaN,NaN,NaN,219937974.1,0.95472549,-5.943681493,-5.896514279,45992501248,45955486399,47635000832,43299742887,NaN,NaN,NaN,1740899968,1739500032,298600192,89800000,NaN,NaN,NaN,17.15205914,37.7908151,NaN,NaN,243724533.2,243528543.3,41803776.06,50301711.63,NaN,NaN,NaN,11.77274733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235000,NaN,2455872,612587,NaN,NaN,NaN,NaN,911000,627340,NaN,NaN,NaN,NaN,NaN,2.119018937,214690000,5800000,NaN,NaN,NaN,12.89492307,NaN,NaN,12.60842116,NaN,NaN,NaN,NaN,NaN,NaN,3068459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.296955773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,11420000,12300000,NaN,NaN,NaN,NaN,NaN,NaN,259385420.7,-4.846547591,9.098654708,8.846762444,50177200128,50021059111,54185200384,47614494652,NaN,NaN,NaN,1838400000,1832699008,275000096,134300000,NaN,NaN,NaN,14.95866493,37.53264752,NaN,NaN,257374455.8,256576321.7,38499782.44,58099664.84,NaN,NaN,NaN,19.57702068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235000,NaN,2499609,644039,NaN,NaN,NaN,NaN,916000,627340,NaN,NaN,NaN,NaN,NaN,2.589751958,228510000,16700000,NaN,NaN,NaN,-3.206365227,NaN,NaN,12.63598782,NaN,NaN,NaN,NaN,NaN,NaN,3143648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.45896657,0.147126692,0.143644186,NaN,32.44162449,5.449887924,0.422523594,NaN,NaN,NaN,NaN,NaN,NaN,0.353645267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,1710000,10000000,NaN,NaN,NaN,NaN,NaN,NaN,283517213.3,8.46075128,5.940943617,6.112649802,53158199296,53078671281,57797095424,49680830521,NaN,NaN,NaN,1941299968,1938398976,265000000,154800000,NaN,NaN,NaN,13.6506467,35.90377641,NaN,NaN,271780364.8,271374228.4,37099777.4,60479637.12,NaN,NaN,NaN,5.310010436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250000,NaN,2549349,678492,NaN,NaN,NaN,NaN,921000,627340,NaN,NaN,NaN,NaN,NaN,4.189975858,272140000,7730000,NaN,NaN,NaN,-0.32441364,NaN,NaN,13.79848578,NaN,NaN,NaN,NaN,NaN,NaN,3227841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.91099476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.387944359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,19710000,6750000,NaN,NaN,NaN,NaN,NaN,NaN,292004113.5,-0.705515982,2.029977325,1.900048496,54237298688,54087191777,57517403648,51477993418,NaN,NaN,NaN,2048000000,2042301056,304999904,243900000,NaN,NaN,NaN,14.89257344,36.41112344,NaN,NaN,286718279.7,285920432.3,42699730.36,61697616.37,NaN,NaN,NaN,11.15694998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,243000,NaN,2598415,714327,NaN,NaN,NaN,NaN,926000,627340,NaN,NaN,NaN,NaN,NaN,2.968261719,274590000,35300000,NaN,NaN,NaN,3.397375366,NaN,NaN,14.73828125,NaN,NaN,NaN,NaN,NaN,NaN,3312742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.96765499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.407226563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,9960000,14229600,NaN,NaN,NaN,NaN,NaN,NaN,299978036.5,5.495847812,-1.699569717,-1.68611238,53315497984,53175220940,56809697280,50405733318,NaN,NaN,NaN,2144500992,2138800000,342900000,283000000,NaN,NaN,NaN,15.9897338,39.64092361,NaN,NaN,306357284.6,305542857.1,48985714.29,72457142.86,NaN,NaN,NaN,10.7873571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,247000,NaN,2637761,748977,NaN,NaN,NaN,NaN,931000,627340,NaN,NaN,NaN,NaN,NaN,2.734901976,295650000,51505717.2,NaN,NaN,NaN,6.522384692,2,NaN,15.26322446,NaN,NaN,NaN,NaN,NaN,NaN,3386738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.5000154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.41958042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
