,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),,,,,,Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],,,,,,,12010000.0,185058400.0,,,,,,,,,,,,,,,,,,,6355139600.0,,,,,,,,,,,1412253244.4444444,,,,,,0.5671787450580673,,,,,,,,,,,,,0.0,,,2809496.0,1277043.0,,,,,,,,,,,,,,707000000.0,,,,,,,,,,,,,,4086539.0,,,,,,,,,,,,,,,,,,,234000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1961 [YR1961],,,,,,,7000000.0,238033550.0,,,,,,,,,,,,,,,,,,,7016072200.0,,,,,,,,,,,1559127155.5555556,,,,,,-0.012186305455510605,,,,,,,,,,,,,0.0,360800.0,,2853084.0,1365769.0,,,,,1140000.0,2149690.0,,,,,,,252000000.0,1073000000.0,,,,,,,,,,,,,,4218853.0,,,,,,,,,,,,,,,,,,,261000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1962 [YR1962],,,,,,,30000.0,267921030.0,,,,,,,,,,,,,,,,,,,7745693700.0,,,,,,,,,,,1721265266.6666667,,,,,,-0.5954921765109301,,,,,,,,,,,,,0.0,360320.0,,2900467.0,1462319.0,,,,,1160000.0,2149690.0,,,,,,,344000000.0,1151000000.0,,,,,,,,,,,,,,4362786.0,,,,,,,,,,,,,,,,,,,308000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1963 [YR1963],,,,,,,10000.0,513943320.0,,,,,,,,,,,,,,,,,,,8024735200.0,,,,,,,,,,,1783274488.8888888,,,,,,-0.1418738386688942,,,,,,,,,,,,,0.0,393748.0,,2935250.0,1581283.0,,,,,1180000.0,2149690.0,,,,,,,-562000000.0,2447000000.0,,,19.9437117835331,,,,,,,,,,,4516533.0,,,,,,,,,,,,,,,,,,,320000000.0,,,,,,,,,,5.90269771731612,,,,,,,,,,,,,,
1964 [YR1964],,,,,,,20000.0,585032480.0,,,,,,,,,,,,,,,,,,,9025072100.0,,,,,,,,,,,2005571577.7777777,,,,,,-0.02144027228532065,,,,,,,,,,,,,0.0,397300.0,,2952685.0,1724613.0,,,,,1200000.0,2149690.0,,,,,,,-651000000.0,2815000000.0,,,20.5021357132725,,,,,,,,,,,4677298.0,,,,,,,,,,,80.98211994182564,,,,,,,,394000000.0,,,,,,,,,,5.966305397574851,,,,,,,,,,,,,,
1965 [YR1965],,,,,,,70000.0,726260320.0,,,,,,,,,,,,,,,,,,,10044999700.0,,,,,,,,,,,2232222155.5555553,,,,,,0.015679442709967552,,,,,,,,,,,,,0.0,419300.0,,2965806.0,1877829.0,,,,,1220000.0,2149690.0,,,,,,,-927000000.0,3402000000.0,,,20.5819105606061,,,,,,,,,,,4843635.0,,,,,,,,,,,81.67451755052424,,,,,,,,506000000.0,,,,,,,,,,7.69008939728924,,,,,,,,,,,,,,
1966 [YR1966],,,,,,,10000.0,747859490.0,,,,,,,,,,,,,,,,,,,11630000100.0,,,,,,,,,,,2584444466.6666665,,,,,,0.012381770897951184,,,,,,,,,,,,,0.0,424450.0,,2974006.0,2041351.0,,,,,1240000.0,2149690.0,,,,,,,-708000000.0,3595000000.0,,,20.9010099489432,,,,,,,,,,,5015357.0,,,,,,,,,,,80.76594064618017,,,,,,,,592000000.0,,,,,,,,,,11.3242315101767,,,,,,,,,,,,,,
1967 [YR1967],,,,,,,40000.0,761879200.0,,,,,,,,,,,,,,,,,,,12136599600.0,,,,,,,,,,,2697022133.3333335,,,,,,0.015943510505088316,,,,,,,,,,,,,0.0,424174.0,,2978631.0,2216504.0,,,,,1260000.0,2149690.0,,,,,,,-1112000000.0,4311000000.0,,,21.3397716083803,,,,,,,,,,,5195135.0,,,,,,,,,,,84.53900709219859,,,,,,,,574000000.0,,,,,,,,,,11.511831393137,,,,,,,,,,,,,,
1968 [YR1968],,,,,,,400000.0,684960000.0,,,,,,,,,,,287965000000.0,,,,227733336000.0,11878675400.0,,18844999700.0,15942500400.0,8995413000.0,11692000300.0,,,,47.73368608756199,72.44894145580697,,,4187777711.111111,3542777866.6666665,1998980666.6666667,1035019955.5555556,,,,0.014113219028051585,,,,,,,,,,,,,0.0,431700.0,,2981947.0,2405881.0,,,,,1290000.0,2149690.0,,,,,,-8.518440040091908,-219700000.0,3830299999.87625,,,21.6788147087005,,,,14.859114059842623,,,,,,,5387828.0,,,,,,,,,,,77.76406712734452,99.73878133877028,0.04003031418056162,,,,,,553000000.0,31.328749317373134,1.1374449897295555,0.6751559163045355,,,,,,,8.08745489280408,,,,,,,,,,,,,,
1969 [YR1969],,,,,,,0.0,607180000.0,,,,,,,,,6.037886548712507,,305352000000.0,,,,239161591200.0,12817804500.0,,20185999400.0,17157397500.0,9727670300.0,12336000000.0,,,,48.19018423234473,73.13276002574338,,,4485777644.444445,3812755000.0,2161704511.111111,1118868488.8888888,,,,0.035669745743041714,,,,,,,,,,,,,0.0,430000.0,,2987269.0,2612635.0,,,,,1320000.0,2149690.0,,,,,,-5.0440901132692995,594300000.0,3533599999.87625,,,22.4366757564747,1.0166723252979892,,,14.690875300432237,,,,,,,5599904.0,,,,,,,,,,,81.96253684510792,99.72468988016695,0.03325292585670831,,,,,,735000000.0,27.780759075782473,1.3580414281192519,0.5669298869299634,,,,,,,9.5705156784069,,,,,,,,,,,,,,
