NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],0,0,377999849,2238599105,5599997.762,1399999.441,NaN,272204000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.78894E+11,5.5928E+11,4.1846E+11,5.12581E+11,2.79029E+11,57899479333,2.42476E+11,5411000000,5175000000,1599000000,1945000000,2619000000,24.48715579,25.60386473,29.5509148,54.11199409,15466590176,27666502759,7575396973,7244997105,2238599105,1860599257,3666526669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9128063,7971773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.772402793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17099840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.08705613,NaN,NaN,1629000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.950977129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.26000023,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],0,0,639799744.3,2337999066,5599997.762,2799998.881,NaN,394839500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.07472649,3.844751462,3.559267131,6.01151E+11,5.79186E+11,4.29717E+11,5.25769E+11,2.92386E+11,60500592423,2.51553E+11,5695000000,5429000000,1670000000,2060000000,2746000000,24.9165935,26.1374102,29.32396839,50.62335382,14038409004,29623832159,7972996814,7600596963,2337999066,1698199321,3844323114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6696635,NaN,9324278,8200255,NaN,NaN,NaN,NaN,12000000,1213090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.809664773,1.351841331,NaN,5.408379296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17524533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.52264808,NaN,NaN,1460000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.467849136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],0,0,743399702.9,2498999001,8399996.643,9799996.084,NaN,647247500,NaN,NaN,NaN,NaN,NaN,NaN,8261266743,8.468199297,6.177883095,6.957866077,6.3829E+11,6.19485E+11,4.46172E+11,5.5119E+11,3.13797E+11,64672358447,2.66079E+11,6070000000,5839000000,1785000000,2197000000,2948000000,25.83196046,26.85391334,29.40691928,50.06589786,14215838934,32132437305,8497996604,8174596733,2498999001,1755599298,4127117458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7089341,NaN,9538726,8427007,NaN,NaN,NaN,NaN,12050000,1213090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.832218436,0.383168636,NaN,5.802929691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17965725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.34725949,NaN,NaN,1476000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.254837304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],0,0,510999795.8,2696398923,15399993.85,6999997.203,NaN,774940000,NaN,NaN,NaN,NaN,NaN,NaN,9040337532,7.624719445,7.373612785,7.699347376,6.85355E+11,6.67182E+11,4.89959E+11,5.85686E+11,3.37403E+11,73810702786,2.80335E+11,6731000000,6500000000,1926000000,2444000000,3272000000,28.10875056,29.10769231,28.6138761,51.80508097,16994891548,34582445501,9423396234,9099996364,2696398923,2185399127,4580708386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7458814,NaN,9760589,8662568,NaN,NaN,NaN,NaN,12100000,1213090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.856732931,3.274555276,NaN,2.154881924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18423161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.30713476,NaN,NaN,1771000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.064608481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],0,0,198799920.6,2846198863,15399993.85,15399993.85,NaN,706829200,NaN,NaN,NaN,NaN,NaN,NaN,9919090545,4.935126489,7.939781669,7.80329536,7.3977E+11,7.19244E+11,5.39506E+11,6.39429E+11,3.71516E+11,85470279583,2.9775E+11,7410000000,7142000000,2033000000,2756000000,3619000000,26.7611336,27.76533184,27.43589744,52.95546559,21006119215,36289132929,10373995855,9998796004,2846198863,2647398942,5066498670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5838900,NaN,9989720,8906583,NaN,NaN,NaN,NaN,12150000,1213090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.903800734,1.989880316,NaN,3.727611346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18896307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.81671548,NaN,NaN,2281000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.695608798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],0,0,-121799951.3,2913398836,26599989.37,20999991.61,NaN,600866800,NaN,NaN,NaN,NaN,NaN,NaN,10890246546,3.062330623,6.122760827,6.106690876,7.85065E+11,7.63166E+11,5.75855E+11,6.73312E+11,3.91908E+11,92625587225,3.17404E+11,8096000000,7799000000,2081000000,3082000000,3927000000,27.32213439,28.36261059,25.70405138,52.48270751,23061656559,37400426160,11334395471,10918595637,2913398836,3035198787,5497690046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5844000,NaN,10225890,9158948,NaN,NaN,NaN,NaN,12200000,1213090,NaN,NaN,NaN,NaN,NaN,11.19194664,4815700000,353892867.8,NaN,NaN,1.981266832,2.954124952,NaN,3.84884211,58.89822134,NaN,NaN,NaN,NaN,NaN,NaN,19384841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.23314904,NaN,NaN,2563000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.630828861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],0,0,264599894.3,3123398752,26599989.37,22399991.05,NaN,834478000,NaN,NaN,NaN,NaN,NaN,NaN,11827410529,1.369898034,4.438308267,4.55310814,8.19908E+11,7.97914E+11,5.87183E+11,7.06956E+11,4.0864E+11,99406454402,3.29447E+11,8825000000,8515000000,2231000000,3315000000,4301000000,27.6713881,28.67880211,25.28045326,48.41926346,20579822980,37912773862,12354995063,11920995236,3123398752,2858798858,6021279574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6183711,NaN,10468782,9419477,NaN,NaN,NaN,NaN,12230000,1213090,NaN,NaN,NaN,NaN,NaN,12.36487252,5115550000,457928585.7,NaN,NaN,2.050398178,4.372091476,NaN,2.996882097,58.83796034,NaN,NaN,NaN,NaN,NaN,NaN,19888250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.43157848,NaN,NaN,2395000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.704872973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],0,0,47599980.98,3385198647,32199987.13,26599989.37,NaN,781748000,NaN,NaN,NaN,NaN,NaN,NaN,13208300006,4.814333116,7.196575941,7.418131132,8.78914E+11,8.57104E+11,6.32885E+11,7.65855E+11,4.17489E+11,1.06968E+11,3.5195E+11,9841000000,9520000000,2418000000,3531000000,4865000000,29.72258917,30.72478992,24.57067371,48.79585408,23953723433,39738021089,13777394495,13327994674,3385198647,3337598666,6810863783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11867534,NaN,10718501,9688362,NaN,NaN,NaN,NaN,12250000,1213090,NaN,NaN,NaN,NaN,NaN,11.78538766,5510600000,470571445.7,NaN,NaN,2.12296107,4.026408397,NaN,4.0601148,56.6101006,NaN,NaN,NaN,NaN,NaN,NaN,20406864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.48844026,NaN,NaN,2780000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.78801853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],0,0,449399820.4,3760398497,37799984.9,47599980.98,NaN,1716029000,NaN,NaN,NaN,NaN,NaN,NaN,14441938859,4.150139209,4.153444814,3.957537454,9.15419E+11,8.91024E+11,6.62487E+11,8.09305E+11,4.36383E+11,1.1275E+11,3.8109E+11,10639000000,10270000000,2686000000,3825000000,5401000000,28.06654761,29.07497566,25.24673372,47.47626657,23679178277,41387204283,14894594048,14377994255,3760398497,3310998677,7561248775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7003409,NaN,10975779,9966368,NaN,NaN,NaN,NaN,12290000,1213090,NaN,NaN,NaN,NaN,NaN,10.57994172,5803500000,910971445.7,NaN,NaN,2.165125784,3.797749764,NaN,4.369635738,59.47457468,NaN,NaN,NaN,NaN,NaN,NaN,20942145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.90665902,NaN,NaN,2789000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.761175265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],0,0,89599964.2,3859798458,39199984.34,29399988.25,NaN,1404632000,NaN,NaN,NaN,NaN,NaN,NaN,15975758183,0.765006403,4.715830609,4.563967801,9.58588E+11,9.3169E+11,7.15313E+11,8.54058E+11,4.5843E+11,1.24035E+11,4.01525E+11,11986000000,11558000000,2757000000,4342000000,6024000000,27.88252962,28.9150372,23.00183547,45.46971467,26789324155,41703819046,16780393295,16181193534,3859798458,3770198493,8433431331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7050700,NaN,11241587,10254488,NaN,NaN,NaN,NaN,12330000,1213090,NaN,NaN,NaN,NaN,NaN,10.40881028,6601800000,910700043.6,NaN,NaN,2.235237605,7.587328221,NaN,0.38356913,58.97463708,NaN,NaN,NaN,NaN,NaN,NaN,21496075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.77647291,NaN,NaN,3189000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.608479274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
