NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,544061600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.70596E+11,NaN,NaN,NaN,NaN,NaN,NaN,4353296384,4332441088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12072126075,12014292255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6300,NaN,NaN,13227520,17227480,12.89889331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.858810883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30455000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.2314802,NaN,NaN,722000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.250747022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.62999916,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,887873550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.83867419,NaN,1.90793E+11,NaN,NaN,NaN,NaN,NaN,NaN,4988749312,4966054400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13834300571,13771365312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8000,7501313,NaN,13124738,17614512,18.07165437,NaN,NaN,NaN,16246000,499780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.881945963,2.466389754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30739250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.29511886,NaN,NaN,1092000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.031244826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1045887990,NaN,NaN,NaN,NaN,NaN,NaN,15590150082,NaN,9.953438103,NaN,2.09783E+11,NaN,NaN,NaN,NaN,NaN,NaN,5819676672,5794342400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16138545209,16068290740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56600,9274378,NaN,12934262,18089104,18.9565597,NaN,NaN,NaN,16296000,499780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.046403826,6.095841623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31023366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.59912795,6.066072753,6.125261281,1570000000,19.81325269,15.67363233,6.442317806,NaN,NaN,NaN,NaN,NaN,NaN,2.267745892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1148505160,NaN,NaN,NaN,NaN,NaN,NaN,17979543841,NaN,9.596498874,NaN,2.29915E+11,NaN,NaN,NaN,NaN,NaN,NaN,6878552576,6848124928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19074913948,18990535038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64200,9418967,NaN,12735859,18560792,10.13630923,NaN,NaN,NaN,16205000,499780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.312772007,7.84537469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31296651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.68206522,5.857256077,5.66925427,1955000000,22.36473025,12.63530404,5.489871998,NaN,NaN,NaN,NaN,NaN,NaN,1.96963292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1515235680,NaN,NaN,NaN,NaN,NaN,NaN,20166761185,NaN,5.308510246,NaN,2.4212E+11,NaN,NaN,NaN,NaN,NaN,NaN,7696745472,7650038272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21343844644,21214320909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65200,8306768,NaN,12549483,19059712,17.9197995,NaN,NaN,NaN,15919000,499780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.543978681,6.254319615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31609195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.79524259,4.978036669,5.625520112,2255000000,18.28370288,12.72347095,6.332819942,NaN,NaN,NaN,NaN,NaN,NaN,1.930558573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1411897520,NaN,NaN,NaN,NaN,NaN,NaN,23299386118,NaN,6.253134899,NaN,2.5726E+11,NaN,NaN,NaN,NaN,NaN,NaN,8927539200,8887838720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24756958695,24646865295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66900,8872202,NaN,12373341,19580951,19.88084731,NaN,NaN,NaN,15966000,499780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.012284817,9.164866647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31954292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.61333051,3.933895711,5.545165949,3040000000,20.28470975,10.03289873,6.778377248,NaN,NaN,NaN,NaN,NaN,NaN,1.884866825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1210578030,NaN,NaN,NaN,NaN,NaN,NaN,27029896904,NaN,7.24606031,NaN,2.75901E+11,NaN,NaN,NaN,NaN,NaN,NaN,10357023744,10269609984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28721062242,28478655147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65300,9233004,NaN,12186583,20096611,14.07680671,NaN,NaN,NaN,15509000,499780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2626658,8.17374336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32283194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.83583041,4.471527839,4.673823618,3591000000,19.740073,9.637476999,7.788275095,NaN,NaN,NaN,NaN,NaN,NaN,2.07961936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1053098400,NaN,NaN,NaN,NaN,NaN,NaN,30406405493,NaN,4.340338417,NaN,2.87877E+11,NaN,NaN,NaN,NaN,NaN,NaN,11729186816,11628505088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31647119228,31375464705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52000,10671297,NaN,12022749,20660198,23.11764416,NaN,NaN,NaN,15740000,499780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.535120141,8.537719088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32682947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.37241579,5.822913684,5.7524561,3441000000,19.61673871,12.37095292,6.035807846,NaN,NaN,NaN,NaN,NaN,NaN,1.851956944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1303543700,NaN,NaN,NaN,NaN,NaN,NaN,33422973183,NaN,6.597020138,NaN,3.06868E+11,NaN,NaN,NaN,NaN,NaN,NaN,13242030080,13121269760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31475548481,31188508104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69700,11583861,NaN,11865098,21248036,22.75217742,NaN,NaN,NaN,15692000,499780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.759806346,5.911130109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33113134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.8768855,8.645292051,5.608442128,3505000000,17.89819274,15.45892597,7.539767587,NaN,NaN,NaN,NaN,NaN,NaN,2.297672519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1285926800,NaN,NaN,NaN,NaN,NaN,NaN,36985594978,NaN,8.907015555,NaN,3.34201E+11,NaN,NaN,NaN,NaN,NaN,NaN,15161791488,14999521280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36038711600,35653004592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95800,11452764,NaN,11668253,21772801,19.60565762,NaN,NaN,NaN,16082000,499780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.862634354,5.133250642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33441054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.07278885,6.440968159,4.391130342,4233000000,16.94355621,12.60240965,8.054380465,NaN,NaN,NaN,NaN,NaN,NaN,2.434167534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
