NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,11830000,190600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3904635600,3931032968,4771638575,3974533638,NaN,NaN,NaN,392200,394200,57100,49300,NaN,NaN,NaN,14.55889852,27.56246813,1288944538,1133988003,1307333333,1314000000,190333333.3,170000000,NaN,NaN,NaN,2.099695598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6733760,810731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.69811321,-11090,60040,NaN,NaN,0.001275557,NaN,NaN,NaN,9.994900561,NaN,NaN,NaN,NaN,106.1,36299,7544491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.135388,NaN,NaN,183000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.91740413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,13030000,177100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.754270124,0.022391334,-0.707186667,3905509900,3903233227,4832237879,4004838140,NaN,NaN,NaN,425800,425700,56700,50300,NaN,NaN,NaN,13.31611085,27.66557069,1661261418,1176560976,1419333333,1419000000,189000000,203666666.7,NaN,NaN,NaN,1.013389719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6896814,872668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.508689526,2710,55870,NaN,NaN,0.001387303,8.542753453,NaN,NaN,11.092062,NaN,NaN,NaN,NaN,104.6,36900,7769482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.11659193,NaN,NaN,238000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.84496124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,10250000,170200000,NaN,NaN,NaN,NaN,NaN,NaN,1504395485,25.32893678,6.915842154,6.494948629,4175608800,4156746220,5089567842,4242940307,NaN,NaN,NaN,462500,460800,67600,53900,NaN,NaN,NaN,14.61621622,29.66486486,1891935864,1474571362,1541666667,1536000000,225333333.3,232000000,NaN,NaN,NaN,0.637369789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7064677,939444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.121081081,18280,51500,NaN,NaN,0.001410372,1.593054684,NaN,NaN,12.0972973,NaN,NaN,NaN,NaN,103.2,37551,8004121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.76699029,NaN,NaN,257000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.05952381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,9790000,101190000,NaN,NaN,NaN,NaN,NaN,NaN,1537847052,18.50393233,-2.84697168,-2.380915695,4056730400,4057777597,4969997324,4008052842,NaN,NaN,NaN,470500,470600,78600,60600,NaN,NaN,NaN,16.70563231,34.75026567,2122610311,1747425049,1568333333,1568666667,262000000,283000000,NaN,NaN,NaN,0.970250761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7237343,1011469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.450584485,62000,38944.05638,NaN,NaN,0.001476493,4.710817037,NaN,NaN,17.89373007,NaN,NaN,NaN,NaN,101.9,38275,8248812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.32846392,0,0.148901923,285000000,20.24054508,6.803203767,0.491377018,NaN,NaN,NaN,NaN,NaN,NaN,2.149122807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,10870000,71100000,NaN,NaN,NaN,NaN,NaN,NaN,1569262105,-12.29234878,-1.120449118,-1.298007626,4011276800,4005107334,5090837334,4110210793,NaN,NaN,NaN,483400,482800,75100,62700,NaN,NaN,NaN,15.53578817,33.47124535,2260205827,1532625467,1611333333,1609333333,250333333.3,289000000,NaN,NaN,NaN,1.24710023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7414802,1089192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.907323128,67830,21234.53976,NaN,NaN,0.001534827,3.905977692,NaN,NaN,14.63591229,NaN,NaN,NaN,NaN,100.6,39038,8503994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.89002037,0,0.333055812,274000000,24.26275599,6.625484635,0.502878472,NaN,NaN,NaN,NaN,NaN,NaN,3.142241379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,9760000,59700000,NaN,NaN,NaN,NaN,NaN,NaN,1724514325,-12.62627124,6.777074073,NaN,4283124000,NaN,5377787100,4398811449,467614400,NaN,1439507700,503800,503800,71700,60300,NaN,NaN,NaN,14.23183803,29.27749107,1859560361,1339112018,1679333333,1679333333,239000000,252666666.7,NaN,NaN,NaN,1.753672138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7597272,1172825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.618896387,75660,15543.33484,NaN,NaN,0.001497285,-2.394677438,NaN,NaN,14.60500198,NaN,NaN,NaN,NaN,99.5,39862,8770097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.94208098,0,0.659834601,208000000,24.3673759,4.813235191,0.671352054,NaN,NaN,NaN,NaN,NaN,NaN,4.115303983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,2940000,57200000,NaN,NaN,NaN,NaN,NaN,NaN,1717571911,18.55000058,-3.575147486,NaN,4129996000,NaN,5077741490,4163070611,582306800,NaN,1529488800,516900,516900,74000,79500,NaN,NaN,NaN,14.3161153,28.26465467,1864006727,1587517306,1723000000,1723000000,246666666.7,240333333.3,NaN,NaN,NaN,2.188624439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7784816,1262982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.380537822,92880,7981.39568,NaN,NaN,0.001522925,6.404350657,NaN,NaN,16.04952602,NaN,NaN,NaN,NaN,98.4,40733,9047798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.72619635,2.49E-06,0.846223936,222000000,22.66229478,1.67775831,0.640374399,NaN,NaN,NaN,NaN,NaN,NaN,3.525150905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,-200000,54700000,NaN,NaN,NaN,NaN,NaN,NaN,1794367906,11.55788215,1.424081282,NaN,4188810500,NaN,4955288035,3968502686,564473200,NaN,1558125600,559700,556400,84600,82400,NaN,NaN,NaN,15.11524031,30.65928176,1757295770,1771000685,1865666667,1854666667,282000000,290000000,NaN,NaN,NaN,0.797447877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7977441,1360216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.575486868,108790,3631.94876,NaN,NaN,0.001690654,6.759785432,NaN,NaN,16.69644452,NaN,NaN,NaN,NaN,97.5,41700,9337657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.29425502,0,0.530435561,214000000,23.20584491,4.023139749,0.686476791,NaN,NaN,NaN,NaN,NaN,NaN,3.654618474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,7810000,47700000,NaN,NaN,NaN,NaN,NaN,NaN,1942253799,5.129919605,1.963220824,NaN,4271046100,NaN,5003970713,3913549410,562166000,NaN,1597223000,584200,579800,88300,84000,NaN,NaN,NaN,15.11468675,31.95823348,1769927273,1861851596,1947333333,1932666667,294333333.3,328000000,NaN,NaN,NaN,1.666091795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8174874,1464966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.276275248,125880,-9273.801,NaN,NaN,0.001521015,2.367642139,NaN,NaN,16.76309483,NaN,NaN,NaN,NaN,96.7,42716,9639840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.475678,0.003038042,0.439985815,258000000,21.35924787,5.345438269,0.540265552,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,2640000,36400000,NaN,NaN,NaN,NaN,NaN,NaN,2096387950,2.875674959,1.389350492,NaN,4330385900,NaN,4859273382,3932034841,539381200,NaN,1527216800,643300,638100,101000,87300,NaN,NaN,NaN,15.70029535,31.10523861,1553574749,1915392396,2144333333,2127000000,336666666.7,330333333.3,NaN,NaN,NaN,0.417959584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8376835,1577575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.561635318,142810,-7681.37338,NaN,NaN,0.001712768,8.607460211,NaN,NaN,17.90766361,NaN,NaN,NaN,NaN,96,43819,9954410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.39485331,0.231148383,0.44624841,257000000,13.9969773,9.581685067,0.845517839,NaN,NaN,NaN,NaN,NaN,NaN,5.197255575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
