NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,3400000,17501597.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1998845695,NaN,NaN,NaN,NaN,NaN,NaN,199300,157300,NaN,83100,78200,NaN,NaN,NaN,NaN,NaN,NaN,99650000,78650000,NaN,NaN,39100000,NaN,NaN,11.21423992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,151823,136047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008153684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,287870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.11617312,NaN,NaN,54000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,4500000,16262115.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8,NaN,2094790289,NaN,NaN,NaN,NaN,NaN,NaN,215400,164900,NaN,82500,87700,NaN,NaN,NaN,NaN,NaN,NaN,107700000,82450000,NaN,NaN,43850000,NaN,NaN,12.54093408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,72787,NaN,155955,139958,NaN,NaN,NaN,NaN,28000,156000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008293064,3.128124007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,295913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.17475728,NaN,NaN,54000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,4000000,15778756.36,NaN,NaN,NaN,NaN,NaN,NaN,82434092.55,NaN,3.9,NaN,2176487110,NaN,NaN,NaN,NaN,NaN,NaN,232300,167800,NaN,83700,96500,NaN,NaN,NaN,NaN,NaN,NaN,116150000,83900000,NaN,NaN,48250000,NaN,NaN,10.67938026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,80334,NaN,160046,143848,NaN,NaN,NaN,NaN,29000,156000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008467288,3.797755681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,303894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157.8879789,55000000,18.23243738,9.746514254,1.903073352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,6700000,17869541.58,NaN,NaN,NaN,NaN,NaN,NaN,73171526.25,NaN,5.6,NaN,2298370388,NaN,NaN,NaN,NaN,NaN,NaN,251900,148400,NaN,88100,102800,NaN,NaN,NaN,NaN,NaN,NaN,125950000,74200000,NaN,NaN,51400000,NaN,NaN,18.58490561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,75608,NaN,164170,147775,NaN,NaN,NaN,NaN,29000,156000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008641512,2.686899125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,311945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.56521739,NaN,NaN,58000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,3200000,19967877.22,NaN,NaN,NaN,NaN,NaN,NaN,81617930.45,NaN,6.5,NaN,2447764463,NaN,NaN,NaN,NaN,NaN,NaN,268800,162300,NaN,97000,111800,NaN,NaN,NaN,NaN,NaN,NaN,134400000,81150000,NaN,NaN,55900000,NaN,NaN,14.35613015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,89345,NaN,168649,151618,NaN,NaN,NaN,NaN,32000,156000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009007382,0.196254941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,320267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.81999969,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,3650000,24676877.22,NaN,NaN,NaN,NaN,NaN,NaN,121881276.5,NaN,12,NaN,2741496199,NaN,NaN,NaN,NaN,NaN,NaN,308300,242100,NaN,114300,125500,NaN,NaN,NaN,NaN,NaN,NaN,154150000,121050000,NaN,NaN,62750000,NaN,NaN,13.60594739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,101325,NaN,173979,154960,NaN,NaN,NaN,NaN,32000,156000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009181606,2.406196854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,328939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.24647887,0,80.61990231,93000000,11.74727057,6.897978431,2.883422162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,40000,27048178.97,NaN,NaN,NaN,NaN,NaN,NaN,152632518,NaN,19.2,NaN,3267863469,NaN,NaN,NaN,NaN,NaN,NaN,380700,305600,NaN,166200,138600,NaN,NaN,NaN,NaN,NaN,NaN,190350000,152800000,NaN,NaN,69300000,NaN,NaN,2.375654525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,98674,NaN,179638,158517,NaN,NaN,NaN,NaN,31000,156000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009617166,3.593640814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,338155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.875,NaN,NaN,90000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,0,27143651.7,NaN,NaN,NaN,NaN,NaN,NaN,175582048.1,NaN,12.1,NaN,3663274949,NaN,NaN,NaN,NaN,NaN,NaN,441400,352100,NaN,199700,158100,NaN,NaN,NaN,NaN,NaN,NaN,220700000,176050000,NaN,NaN,79050000,NaN,NaN,2.220960003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,120005,NaN,185504,162169,NaN,NaN,NaN,NaN,30000,156000,NaN,NaN,NaN,NaN,NaN,1.005890349,58440,60730,NaN,NaN,0.010645088,3.429360488,NaN,NaN,21.4340734,NaN,NaN,NaN,NaN,NaN,NaN,347673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.69237365,NaN,NaN,103000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,13330000,31456378.01,NaN,NaN,NaN,NaN,NaN,NaN,184918807,NaN,7.6,NaN,3941683845,NaN,NaN,NaN,NaN,NaN,NaN,482700,362400,NaN,223000,176900,NaN,NaN,NaN,NaN,NaN,NaN,241350000,181200000,NaN,NaN,88450000,NaN,NaN,9.856512478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,116251,NaN,191069,165482,NaN,NaN,NaN,NaN,30000,156000,NaN,NaN,NaN,NaN,NaN,0.754091568,67230,67280,NaN,NaN,0.01066251,1.632521059,NaN,NaN,22.42179407,NaN,NaN,NaN,NaN,NaN,NaN,356551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.63621761,NaN,NaN,100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,13940000,32474000.14,NaN,NaN,NaN,NaN,NaN,NaN,193740553,NaN,4.5,NaN,4119059618,NaN,NaN,NaN,NaN,NaN,NaN,519300,378500,NaN,235700,189300,NaN,NaN,NaN,NaN,NaN,NaN,259650000,189250000,NaN,NaN,94650000,NaN,NaN,9.289299828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,113733,NaN,195676,167898,NaN,NaN,NaN,NaN,30000,156000,NaN,NaN,NaN,NaN,NaN,0.173310225,78480,74620,NaN,NaN,0.011864656,2.949616541,NaN,NaN,24.46562681,NaN,NaN,NaN,NaN,NaN,NaN,363574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.93066315,NaN,NaN,111000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
