,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),,,,,,Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],,,,,,,,505439200.0,,,,,,,,,,,1043277144600.0,,,1087776535889.0996,,,,81853557400.0,77994729472.0,17128485100.0,,,,,20.925767485335953,42.490629613124185,23211977009.95101,16233919945.297615,15822585033.576399,15076659811.018883,3310997354.2957625,3412118647.542805,,0.051,,,,,,,,,,,,,,,510.0,,,2059029.0,5425627.0,1.0762537210899932,,,,,,,,,,,13.12710203600754,40073000000.0,3368150571.26247,,,9.21091338882047,,,,54.436241276912426,,,,,16.3,1765.0,7484656.0,,,,,,,,,,,80.06090657088197,,,,,,,,2901000000.0,,,,,,,,,,3.77697093998143,,,,,,,,,,,,,,
1961 [YR1961],,,,,,,,731316450.0,,,,,,,,5.200480002108662,5.681292809565491,,1102548774000.0,,,1149230345820.2876,,,,89044845000.0,84815986688.0,18094607500.0,,,,,20.320780501105933,40.282428589774064,23258452779.572174,17078161705.611147,17212686614.5726,16395233197.006584,3497752265.29054,3435935928.6062675,,0.059,,,,,,,,,,,,,,,511.0,3891020.0,,2008215.0,5511783.0,0.1585609939954771,,,,3549000.0,410340.0,,,,,,11.763735452625022,41628000000.0,4317532553.33746,,,9.40968242291999,2.93737900542466,,,53.12267094181588,,,,,16.0,1753.0,7519998.0,,,,,,,,,,,81.89967436244558,,,,,,,,2929000000.0,,,,,,,,,,3.7206133312956897,,,,,,,,,,,,,,
1962 [YR1962],,,,,,,,801886970.0,,,,,,,17459283285.368717,8.099965201914145,4.259047228326978,,1149506847000.0,,,1194869157779.9736,,,,96569614200.0,92001345536.0,19238776700.0,,,,,19.922184487716425,39.608476658903335,24584154863.121876,18461486860.892277,18667251380.074615,17784188729.06316,3718924258.724256,3674889647.0114093,,0.12,,,,,,,,,,,,,,,828.0,3633020.0,,1945521.0,5616067.0,0.027228396742493628,,,,3484000.0,410340.0,,,,,,10.769433103937988,44571000000.0,4767934403.35246,,,9.85816644488342,4.02026654752197,,,53.730151486926005,,,,,15.6,1731.0,7561588.0,,,,,,,,,,,81.1286449399657,0.4073275756375186,8.903930422846823,,,,,,3123000000.0,12.927276859354887,13.415268319534249,5.702079876581113,,,,,,,3.8634442931593003,,,,,,,,,,,,,,
1963 [YR1963],,,,,,,,757918680.0,,,,,,,18953143232.16206,7.299705136863437,5.327933788288263,,1210751810700.0,,,1258283746905.755,,,,104524041700.0,99547652096.0,20860656000.0,,,,,19.95775867515081,39.76141710945722,26329662630.326294,19809120965.6182,20204870629.744133,19242916743.18653,4032439320.9107575,4001303566.6080227,,0.137,,,,,,,,,,,,,,,838.0,3514080.0,,1884124.0,5720204.0,0.10833435922688661,,,,3293000.0,410340.0,,,,,,9.446630497067739,49243000000.0,4645696989.14748,,,10.1412673879444,2.761901874080081,,,53.98949283071973,,,,,15.0,1692.0,7604328.0,,,,,,,,,,,82.92430653502586,0.43945025291934103,12.871216062933085,,,,,,3393000000.0,13.083454590642827,13.523364607405238,5.524892092592625,,,,,,,3.9672772424099203,,,,,,,,,,,,,,
1964 [YR1964],,,,,,,,965188000.0,,,,,,,21007859278.235977,11.99963967252664,6.821164500448035,,1293339183400.0,,,1342159513522.12,,,,116564926900.0,111095046144.0,23657838300.0,,,,,20.295846211352963,40.44166521928304,28883696281.27874,22186144103.78731,22532416750.012466,21475069260.979168,4573144651.283666,4539339896.570032,,0.176,,,,,,,,,,,,,,,649.0,4464870.0,,1827003.0,5834351.0,0.0,,,,3255000.0,410340.0,,,,,,8.282079572942278,52661000000.0,5585862803.31246,,,10.4848192810917,4.398532282754374,,,51.90669407094185,,,,,14.4,1636.0,7661354.0,,,,,,,,,,,83.89879083986133,0.510405323171012,13.237676155063225,,,,,,3856000000.0,13.1361210008931,12.584784667358939,5.977321955603653,,,,,,,3.86619773810931,,,,,,,,,,,,,,
1965 [YR1965],,,,,,,,972237520.0,,,,,,,22921710219.082596,5.600316365302888,3.8215075855096785,,1342764238400.0,,,1394832221213.9602,,,,128272330500.0,122196197376.0,25496681700.0,,,,,19.876992645736642,40.62326832052061,32147513879.16906,23428638362.861397,24795499685.774994,23620961448.420143,4928599649.015148,5144142719.751074,,0.185,,,,,,,,,,,,,,,562.0,4396560.0,,1774455.0,5959398.0,0.028519046649012017,,,,3161000.0,410340.0,,,,,,7.402999511262485,57693000000.0,5648492817.45744,,,11.0103992924977,5.993140120906588,,,50.11369151042282,,,,,13.7,1574.0,7733853.0,,,,,,,,,,,85.07813091661828,0.5546289646051794,13.324006211592875,,,,,,4377000000.0,11.993681533856881,10.934971942270211,7.313624030515728,,,,,,,3.91263074939103,,,,,,,,,48.4799995422363,,,,,
1966 [YR1966],,,,,,,,1028422000.0,,,,,,,24885564129.50821,4.900249469933698,2.0908442894974115,,1370839347800.0,,,1425845064825.5076,,,,139529167800.0,132877492224.0,27189585000.0,,,,,19.486667503796294,39.675312103452534,33529901162.962925,24576700090.050198,26971486546.284794,25685693897.06973,5255843904.105667,5445177562.073535,,0.253,,,,,,,,,,,,,,,778.0,3505090.0,,1724430.0,6083367.0,0.1224715549936789,,,,3109000.0,410340.0,,,,,,7.431421088142905,62742999999.9995,5998235077.03468,,,11.7155942551251,6.547980679076318,,,50.44608314506122,,,,,13.1,1515.0,7807797.0,,,,,,,,,,,84.8862544807066,0.6203138933643074,8.480885079058789,,,,,,4582000000.0,12.797879679737292,11.351315382439124,7.668750884106479,,,,,,,3.8580132711709703,,,,,,,,,,,,,,
1967 [YR1967],,,,,,,,841824518.78406,,,,,,,27249000814.515152,5.499718640769331,3.3653885828444032,,1416973418700.0,,,1475105592663.4897,,,,151450877800.0,144150675456.0,29079020900.0,,,,,19.2002986858885,38.518612204438476,34368141081.53388,25928349446.188656,29275995674.68876,27864840484.624245,5621078612.808041,5655628630.113504,,0.248,,,,,,,,,,,,,,,597.0,4546460.0,,1673745.0,6194186.0,0.057597265058897854,,,,3096000.0,410340.0,,,,,,7.499461320388266,70786999999.9995,5921593049.06148,,,12.2181134924112,5.010239560858778,,,52.39916806873733,,,,,12.6,1461.0,7867931.0,,,,,34.0,,,,,,83.95959506653111,0.7874293925445617,10.761185887184151,,,,,,4701000000.0,12.191766427712322,11.201952147567658,6.330781074844261,,,,,,,3.61145184983266,,,,,,,,,,,,,,
1968 [YR1968],,,,,,,,859632541.836128,,,,,,,29866017510.76176,7.600142250812155,3.6385056642276794,,1468530076800.0,,,1531081211647.738,,,,160715188000.0,152912150528.0,31523028500.0,,,,,19.6142187258618,39.477287485735324,37220686276.77664,27898940887.38666,31066819929.285286,29558464912.806763,6093514012.099641,6170823804.060027,,0.279,,,,,,,,,,,,,,,619.0,4907600.0,,1620513.0,6291760.0,0.0,,,,3027000.0,410340.0,,,,,,8.106265600734636,79518000000.0,5710423991.73561,,,12.4555268109773,2.3915184225951123,,,55.1061795105513,,,,,12.1,1410.0,7912273.0,,,,,,,,,,,84.73297919792385,1.2521120475569627,11.788499565406346,,,,,,5126000000.0,11.726752357264242,12.31629027458888,6.9540741808705615,,,,,,,3.4765468776781097,,,,,,,,,,,,,,
1969 [YR1969],,,,,,,,696993134.695452,,,,,,,32673080038.78832,11.49981607144754,5.009075214876788,,1542089852900.0,,,1613328715859.0747,,,,174534294000.0,166003572736.0,36272887300.0,,,,,20.782670539235117,41.984779105933185,42022165931.038826,31107267775.318,33738102482.15581,32089083589.33273,7011678685.055946,7153189116.610532,,0.433,,,,,,,,,,,,,,,544.0,3982330.0,,1570746.0,6397326.0,0.0,,,,3051000.0,410340.0,,,,,,8.962708497849713,85301000000.0,4063442477.79901,,,12.7908289183314,3.418210614935944,,,53.48347184995059,,,,,11.7,1357.0,7968072.0,,,,,,,,,,,82.72982949551768,0.9648934980888045,11.413176324664539,,,,,,5909000000.0,10.651452663699692,10.519644674818535,7.090492764249492,,,,,,,3.4592807325458304,,,,,,,,,,,,,,
