NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2361508000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41642496000,42629181440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9522746719,9748380541,NaN,NaN,NaN,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1549119,3778708,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.94831126,45364000000,10070000000,NaN,NaN,24.04118868,NaN,NaN,NaN,98.7596901,NaN,NaN,NaN,NaN,21.7,2075,5327827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.34578051,NaN,NaN,2206000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.341450361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.5,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2769871000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46846156800,47828955136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10712712465,10937457390,NaN,NaN,NaN,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,517800,NaN,1562740,3871554,0,NaN,NaN,NaN,396100,39528,NaN,NaN,NaN,NaN,NaN,12.79507308,51410000000,10863000000,NaN,NaN,24.48484234,NaN,NaN,NaN,96.84252263,NaN,NaN,NaN,NaN,21.2,2097,5434294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.6234897,NaN,NaN,2663000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.469077069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2924334000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51950571520,52957880320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11879982759,12110332701,NaN,NaN,NaN,0.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,697400,NaN,1586363,3987452,0,NaN,NaN,NaN,397700,39528,NaN,NaN,NaN,NaN,NaN,13.51669442,57691000000,11308000000,NaN,NaN,25.54160786,NaN,NaN,NaN,99.36368069,NaN,NaN,NaN,NaN,20.7,2104,5573815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.03416037,0.04824169,2.034637381,2970000000,16.55266878,6.700123264,3.765957569,NaN,NaN,NaN,NaN,NaN,NaN,2.567567568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3128395600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57126662144,58095706112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13063643796,13285243391,NaN,NaN,NaN,0.053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,514700,NaN,1603842,4090405,0,NaN,NaN,NaN,387900,39528,NaN,NaN,NaN,NaN,NaN,13.63636472,63443000000,12147000000,NaN,NaN,26.42029332,NaN,NaN,NaN,98.34637259,NaN,NaN,NaN,NaN,20.1,2088,5694247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.32990202,0.056254692,2.433919444,3199000000,16.46142983,8.299709326,3.500608149,NaN,NaN,NaN,NaN,NaN,NaN,2.516336682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3330443200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63322750976,64296505344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14480556572,14703233335,NaN,NaN,NaN,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632200,NaN,1613632,4175596,0,NaN,NaN,NaN,383800,39528,NaN,NaN,NaN,NaN,NaN,10.55860634,66974000000,13365000000,NaN,NaN,27.2341847,NaN,NaN,NaN,99.26606004,NaN,NaN,NaN,NaN,19.3,2041,5789228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.38467352,0.109131225,2.719116586,3554000000,16.88915253,6.463645471,3.658268643,NaN,NaN,NaN,NaN,NaN,NaN,2.535855697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3454279200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67110535168,67332104192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15346741670,15397409759,NaN,NaN,NaN,0.085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,557900,NaN,1615391,4241081,0,NaN,NaN,NaN,377700,39528,NaN,NaN,NaN,NaN,NaN,11.5376818,72446000000,14520000000,NaN,NaN,28.16409074,NaN,NaN,NaN,100.1690716,NaN,NaN,NaN,NaN,18.4,1970,5856472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.42877368,0.128804886,2.919838845,3643000000,17.1247836,6.292760791,4.172742783,NaN,NaN,NaN,NaN,NaN,NaN,2.467959251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3560372300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72066473984,72502034432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16480058705,16579662048,NaN,NaN,NaN,0.087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,566600,NaN,1615259,4302743,0,NaN,NaN,NaN,371000,39528,NaN,NaN,NaN,NaN,NaN,11.5393463,77366000000,16780000000,NaN,NaN,29.50920334,NaN,NaN,NaN,100.1894446,NaN,NaN,NaN,NaN,17.6,1886,5918002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.54279368,0.115823135,3.029869366,3888000000,16.52980766,6.083585503,4.852132344,NaN,NaN,NaN,NaN,NaN,NaN,2.530793359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3713752000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77576192000,78059479040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17740013179,17850530572,NaN,NaN,NaN,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,672800,NaN,1618201,4373584,0,NaN,NaN,NaN,363400,39528,NaN,NaN,NaN,NaN,NaN,11.98176884,83560000000,17709000000,NaN,NaN,30.69110379,NaN,NaN,NaN,100.4096721,NaN,NaN,NaN,NaN,16.9,1798,5991785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.85135559,0.139685679,2.825415236,4067000000,15.97847311,6.277618772,4.372115802,NaN,NaN,NaN,NaN,NaN,NaN,2.382373845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,4810243000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82835611648,83753271296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18942729779,19152578881,NaN,NaN,NaN,0.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,652600,NaN,1621354,4446360,0,NaN,NaN,NaN,359700,39528,NaN,NaN,NaN,NaN,NaN,12.04554394,91117000000,22936000000,NaN,NaN,31.42640969,NaN,NaN,NaN,105.2940858,NaN,NaN,NaN,NaN,16.3,1704,6067714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.55569399,0.155319346,2.900197982,4442000000,14.09827831,6.663520982,4.467783225,NaN,NaN,NaN,NaN,NaN,NaN,2.176517572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,4440248000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89754304512,90856677376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20524886616,20776975674,NaN,NaN,NaN,0.159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,640400,NaN,1622399,4513988,0,NaN,NaN,NaN,360000,39528,NaN,NaN,NaN,NaN,NaN,12.56318576,1.00655E+11,25319000000,NaN,NaN,32.20862117,NaN,NaN,NaN,111.0097176,NaN,NaN,NaN,NaN,15.6,1604,6136387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.29138002,0.165879154,2.881871091,5199000000,13.64189483,5.672834591,4.102732169,NaN,NaN,NaN,NaN,NaN,NaN,2.197923705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
