NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,13480000,28330800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0526E+11,NaN,NaN,NaN,NaN,NaN,NaN,3070581800,3169281000,655784300,NaN,NaN,NaN,NaN,21.35700472,49.15659306,NaN,NaN,857704431.7,885274041.2,183179976,238438301.2,NaN,NaN,NaN,2.077322787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2890139,1683373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.40174803,1206500000,45725000.05,NaN,NaN,1.453447332,NaN,NaN,NaN,29.89987109,NaN,NaN,NaN,NaN,115.9,24932,4573512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.92307692,NaN,NaN,239000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.51774666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.81000042,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,11240000,21086450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8330639,NaN,1.16663E+11,NaN,NaN,NaN,NaN,NaN,NaN,3383977000,3492841200,595549300,NaN,NaN,NaN,NaN,17.5990942,39.98186453,NaN,NaN,945244992.2,975653987.3,166354556.6,211572015.7,NaN,NaN,NaN,1.6604248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1142799,NaN,2955954,1765942,NaN,NaN,NaN,NaN,6146000,183780,NaN,NaN,NaN,NaN,NaN,14.82575088,1379900000,-67833199.95,NaN,NaN,1.481918779,-0.56543183,NaN,NaN,27.89321559,NaN,NaN,NaN,NaN,110.8,24429,4721896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.34841629,NaN,NaN,199000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.544917258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,13320000,33043010,NaN,NaN,NaN,NaN,NaN,NaN,1213946250,NaN,24.52129717,NaN,1.4527E+11,NaN,NaN,NaN,NaN,NaN,NaN,4097988100,4229734700,857863000,NaN,NaN,NaN,NaN,20.93376015,42.49716343,NaN,NaN,1110565864,1146269549,232483194.2,239475795.7,NaN,NaN,NaN,2.179243056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2238756,NaN,3020616,1854806,NaN,NaN,NaN,NaN,6200000,183780,NaN,NaN,NaN,NaN,NaN,13.53591046,1528800000,-37965399.93,NaN,NaN,1.424921903,-2.747750824,NaN,NaN,26.15673774,NaN,NaN,NaN,NaN,106.1,23999,4875422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.95818399,NaN,NaN,231000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.46998536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,-2340000,22048440,NaN,NaN,NaN,NaN,NaN,NaN,1145372859,NaN,-8.652746672,NaN,1.327E+11,NaN,NaN,NaN,NaN,NaN,NaN,4585709100,4733195300,890895200,NaN,NaN,NaN,NaN,19.42764315,40.59841476,NaN,NaN,1200447429,1239056383,233218642.8,254143983.5,NaN,NaN,NaN,0.218714828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2033301,NaN,3086540,1948106,NaN,NaN,NaN,NaN,6300000,183780,NaN,NaN,NaN,NaN,NaN,13.59658858,1687600000,-125090399.9,NaN,NaN,1.452232906,22.50119211,NaN,NaN,23.82619517,NaN,NaN,NaN,NaN,101.8,23624,5034646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.64864865,NaN,NaN,235000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,-440000,33070160,NaN,NaN,NaN,NaN,NaN,NaN,1303940429,NaN,9.271363802,NaN,1.45004E+11,NaN,NaN,NaN,NaN,NaN,NaN,5116868100,5272778800,854948500,NaN,NaN,NaN,NaN,16.70843343,35.9165248,NaN,NaN,1339494290,1380308611,223808511.8,257291287.2,NaN,NaN,NaN,0.340503549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1791141,NaN,3154056,2046280,NaN,NaN,NaN,NaN,6410000,183780,NaN,NaN,NaN,NaN,NaN,12.97277919,1727200000,-84426999.88,NaN,NaN,1.53060361,2.115426913,NaN,NaN,22.54504078,NaN,NaN,NaN,NaN,97.9,23304,5200336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.59227712,NaN,NaN,236000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.642972536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,-750000,45070160,NaN,NaN,NaN,NaN,NaN,NaN,1475795350,NaN,2.299373875,NaN,1.48338E+11,NaN,NaN,NaN,NaN,NaN,NaN,5079998100,5256434800,865635300,NaN,NaN,NaN,NaN,17.04007133,34.0800718,NaN,NaN,1472036551,1523162804,250836078.3,250835035.1,NaN,NaN,NaN,0.214684863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1788800,NaN,3223560,2149577,NaN,NaN,NaN,NaN,6342000,183780,NaN,NaN,NaN,NaN,NaN,15.64173813,1861500000,-58686999.91,NaN,NaN,1.471231865,-2.95205309,NaN,NaN,25.57481271,NaN,NaN,NaN,NaN,94,22988,5373137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.21280379,NaN,NaN,213000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.877952756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,-650000,53108170,NaN,NaN,NaN,NaN,NaN,NaN,1411161115,NaN,-7.65906551,NaN,1.36976E+11,NaN,NaN,NaN,NaN,NaN,NaN,5047001200,5228734000,891185200,NaN,NaN,NaN,NaN,17.65771722,40.64747597,NaN,NaN,1342287557,1390620748,237017341,308588671,NaN,NaN,NaN,1.459060707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,788948,NaN,3294907,2258339,NaN,NaN,NaN,NaN,5873000,183780,NaN,NaN,NaN,NaN,NaN,14.96730375,1964000000,-9094999.941,NaN,NaN,1.527041306,7.59091299,NaN,NaN,28.11372424,NaN,NaN,NaN,NaN,90.2,22671,5553246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.12389381,NaN,NaN,289000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.747176541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,-150000,74113600,NaN,NaN,NaN,NaN,NaN,NaN,1604442918,NaN,8.257682647,NaN,1.48288E+11,NaN,NaN,NaN,NaN,NaN,NaN,5515002000,5714827200,868701300,NaN,NaN,NaN,NaN,15.75160444,34.90472896,NaN,NaN,1580229795,1637486299,248911546.6,302663380.3,NaN,NaN,NaN,0.354812125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1691715,NaN,3367960,2372750,NaN,NaN,NaN,NaN,5876000,183780,NaN,NaN,NaN,NaN,NaN,15.78240588,2062700000,194155400.1,NaN,NaN,1.625598404,0.937731459,NaN,NaN,30.46417753,NaN,NaN,NaN,NaN,86.3,22340,5740710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.822883,NaN,NaN,265000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.213961922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,4510000,72600000,NaN,NaN,NaN,NaN,NaN,NaN,1763037403,NaN,3.729080221,NaN,1.53817E+11,NaN,NaN,NaN,NaN,NaN,NaN,5967999100,6188569400,1036309400,NaN,NaN,NaN,NaN,17.36443626,37.88266154,NaN,NaN,1753746370,1818562794,304528170.6,359837631,NaN,NaN,NaN,0.287039843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1167475,NaN,3442739,2493121,NaN,NaN,NaN,NaN,5577000,183780,NaN,NaN,NaN,NaN,NaN,18.60422533,2366100000,186715600,NaN,NaN,1.671908366,4.323595783,NaN,NaN,32.68934809,NaN,NaN,NaN,NaN,82.3,21992,5935860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.28358209,NaN,NaN,313000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.16487936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,3060000,59160000,NaN,NaN,NaN,NaN,NaN,NaN,2271559064,NaN,18.76791521,NaN,1.82686E+11,NaN,NaN,NaN,NaN,NaN,NaN,6863000200,7114377700,1174279500,NaN,NaN,NaN,NaN,17.11029383,38.80053508,NaN,NaN,2245011572,2327241702,384128076.6,486948425.9,NaN,NaN,NaN,0.472232848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,1664463,NaN,3519455,2619593,NaN,NaN,NaN,NaN,5625000,183780,NaN,NaN,NaN,NaN,NaN,20.38758501,2845800000,63910000.05,NaN,NaN,1.638660188,-3.175306831,NaN,NaN,31.8723581,NaN,NaN,NaN,NaN,78.4,21651,6139048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.80662021,NaN,NaN,370000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.82616931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
