NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,37470000,373373600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.77461E+11,3.76314E+11,4.08183E+11,4.02341E+11,77294658628,50123450598,NaN,58477600800,58328203300,9441000000,10828000300,NaN,NaN,NaN,16.1446432,33.55985836,2929207222,1844257992,2760747472,2753694365,445712828.9,480790112.3,NaN,NaN,NaN,1.589864123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31545,NaN,NaN,22007628,5389579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.969807161,9971000000,7611000000,NaN,NaN,10.21121022,NaN,NaN,NaN,23.3388508,NaN,NaN,NaN,NaN,101.3,115366,27397207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.72574085,NaN,NaN,454000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.465264913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,26500000,454901550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.8786771,5.362146302,5.382012453,3.97701E+11,3.96567E+11,4.22696E+11,4.23811E+11,85865280145,55264351862,NaN,63892103200,63739002900,11076000000,12244700200,NaN,NaN,NaN,17.33547566,34.44557136,3096612257,2229314664,3034043574,3026773302,525965885.3,519127759,NaN,NaN,NaN,0.969349113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41436,10768676,NaN,22641161,5583026,NaN,NaN,NaN,NaN,10400000,510890,NaN,NaN,NaN,NaN,NaN,4.892623413,10693000000,9252000000,NaN,NaN,10.96551131,3.69863251,NaN,NaN,24.23617196,NaN,NaN,NaN,NaN,98.1,114881,28224187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.12725451,NaN,NaN,489000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.097676785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,31010000,523663390,NaN,NaN,NaN,NaN,NaN,NaN,3282279482,-0.910026907,7.554254448,7.560004803,4.27745E+11,4.26547E+11,4.94673E+11,4.58102E+11,97384463523,61690057527,NaN,69090099200,68933304300,10838000000,14469499900,NaN,NaN,NaN,15.68676283,33.33618024,3682451074,2209027300,3308912797,3301403463,519061302.7,584003831.4,NaN,NaN,NaN,1.147693695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41893,11935829,NaN,23296739,5784199,NaN,NaN,NaN,NaN,10600000,510890,NaN,NaN,NaN,NaN,NaN,5.010848211,12258000000,10496000000,NaN,NaN,11.37080742,0.540499291,NaN,NaN,25.07739922,NaN,NaN,NaN,NaN,94.9,114289,29080938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.24954415,4.29E-05,7.801946036,551000000,7.946887788,10.78196678,1.681126288,NaN,NaN,NaN,NaN,NaN,NaN,2.628546794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,29060000,576683160,NaN,NaN,NaN,NaN,NaN,NaN,3595888780,5.505813689,7.999830787,8.017112164,4.61964E+11,4.60744E+11,5.44442E+11,4.93184E+11,1.05388E+11,67474009751,NaN,73746604000,73586597900,11161000000,15506700300,NaN,NaN,NaN,15.13425622,33.50933963,4156710615,2330652228,3540403457,3532721935,535813730.2,650552088.3,NaN,NaN,NaN,1.028385548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39525,13049143,NaN,23973492,5993373,NaN,NaN,NaN,NaN,10800000,510890,NaN,NaN,NaN,NaN,NaN,3.468634298,11816000000,11484000000,NaN,NaN,11.37080742,-1.166736812,NaN,NaN,23.97805328,NaN,NaN,NaN,NaN,91.8,113545,29966865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.74058793,1.08E-05,8.291808249,614000000,7.597585834,9.647980423,1.825101656,NaN,NaN,NaN,NaN,NaN,NaN,2.616039953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,22600000,660812240,NaN,NaN,NaN,NaN,NaN,NaN,3882772150,23.47842742,6.830996144,6.843473153,4.9352E+11,4.92275E+11,5.73895E+11,5.33527E+11,1.16806E+11,73257226105,NaN,80893902800,80728801200,14039000000,17553999900,NaN,NaN,NaN,17.35483085,36.13004069,4630970153,2877852720,3889129942,3881192365,674951923.1,730192307.7,NaN,NaN,NaN,0.820624112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40474,12555500,NaN,24670941,6210197,NaN,NaN,NaN,NaN,11000000,510890,NaN,NaN,NaN,NaN,NaN,2.48597228,12874000000,12911000000,NaN,NaN,11.28074161,2.67778346,NaN,NaN,24.62484725,NaN,NaN,NaN,NaN,88.8,112662,30881138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.32460162,0.053169463,8.6909147,685000000,7.680152675,10.30682014,2.195905958,NaN,NaN,NaN,NaN,NaN,NaN,2.430025445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,30060000,739800720,NaN,NaN,NaN,NaN,NaN,NaN,4324260578,8.450752875,8.181661538,8.358942788,5.33899E+11,5.33424E+11,6.20394E+11,5.77772E+11,1.35209E+11,85466883736,NaN,91289903100,91225702400,15387000000,20892000300,NaN,NaN,NaN,16.85509512,34.91623818,4993617580,3121052941,4388937649,4385851077,739759615.4,792692307.7,NaN,NaN,NaN,1.119281054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42112,12258668,NaN,25387800,6434860,NaN,NaN,NaN,NaN,11200000,510890,NaN,NaN,NaN,NaN,NaN,2.030892724,14660000000,15063000000,NaN,NaN,11.29950532,4.316572673,NaN,NaN,25.22403817,NaN,NaN,NaN,NaN,85.8,111446,31822660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.68832756,0.314329039,10.90119561,742000000,6.97368649,8.505844949,2.124531746,NaN,NaN,NaN,NaN,NaN,NaN,2.325919336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,3790000,923957800,NaN,NaN,NaN,NaN,NaN,NaN,5084449306,22.07830412,11.12251849,11.11980695,5.93282E+11,5.9274E+11,7.02689E+11,6.5525E+11,1.5585E+11,95106189698,NaN,1.09808E+11,1.09731E+11,19342000000,24712900600,NaN,NaN,NaN,17.61438131,35.5602503,6109508861,3810128501,5279230817,5275528663,929903846.2,947403846.2,NaN,NaN,NaN,0.839726254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51800,14757800,NaN,26122444,6666686,NaN,NaN,NaN,NaN,11400000,510890,NaN,NaN,NaN,NaN,NaN,1.948856168,17210000000,18434000000,NaN,NaN,11.75546344,8.245328725,NaN,NaN,25.64202949,NaN,NaN,NaN,NaN,82.9,109851,32789130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.55062373,0.362191038,11.83274968,890000000,12.08701266,9.13025452,1.662591205,NaN,NaN,NaN,NaN,NaN,NaN,2.165367923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,8940000,1008984000,NaN,NaN,NaN,NaN,NaN,NaN,5736755834,11.17023698,8.615982333,8.872324617,6.44399E+11,6.4533E+11,7.72998E+11,7.12648E+11,1.77706E+11,1.06673E+11,NaN,1.1728E+11,1.17414E+11,21300000000,29270100000,NaN,NaN,NaN,18.1616647,38.3731248,7392824876,4235728884,5638461442,5644903976,1024038462,1139615385,NaN,NaN,NaN,1.066625745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54769,12465400,NaN,26873061,6905738,NaN,NaN,NaN,NaN,11600000,510890,NaN,NaN,NaN,NaN,NaN,2.506821325,20611000000,19494000000,NaN,NaN,12.26208357,-1.667692625,NaN,NaN,27.3703961,NaN,NaN,NaN,NaN,79.9,107699,33778799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.69838946,0.597941023,16.41260861,1067000000,6.235610927,7.206553731,2.663680356,NaN,NaN,NaN,NaN,NaN,NaN,2.426816881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,16840000,1038538000,NaN,NaN,NaN,NaN,NaN,NaN,6392420800,0.478372175,8.122270256,8.104223867,6.96738E+11,6.97629E+11,8.62379E+11,7.75226E+11,1.89952E+11,1.14384E+11,NaN,1.26485E+11,1.26612E+11,21425000000,31502000100,NaN,NaN,NaN,16.93876797,37.62027234,8592412109,4255991432,6081009428,6087115226,1030048077,1257644231,NaN,NaN,NaN,1.068979267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63673,13804400,NaN,27639687,7151722,NaN,NaN,NaN,NaN,11800000,510890,NaN,NaN,NaN,NaN,NaN,5.748341878,29066120000,20864223999,NaN,NaN,12.48161897,-0.252985512,NaN,NaN,29.46032427,NaN,NaN,NaN,NaN,76.9,104973,34791409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.08861727,0.119088259,13.48055736,1159000000,6.758541788,8.340666078,2.525763055,NaN,NaN,NaN,NaN,NaN,NaN,2.754560247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,3860000,984984000,NaN,NaN,NaN,NaN,NaN,NaN,6884709881,1.428575627,6.550659886,6.534708646,7.42379E+11,7.43216E+11,9.45684E+11,8.31411E+11,2.07921E+11,1.29164E+11,NaN,1.39263E+11,1.39382E+11,22368000000,34727501800,NaN,NaN,NaN,16.06169615,36.12230081,9345642825,4316791489,6695336567,6701057577,1075384615,1343125000,NaN,NaN,NaN,1.01849595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72390,15193700,NaN,28422349,7404743,NaN,NaN,NaN,NaN,12000000,510890,NaN,NaN,NaN,NaN,NaN,7.276864606,35573990000,20379045399,NaN,NaN,12.78746742,3.333369938,NaN,NaN,30.03116393,NaN,NaN,NaN,NaN,74,101718,35827092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.38464594,0.287769963,14.23434516,1248000000,7.088891053,6.837897299,2.727719432,NaN,NaN,NaN,NaN,NaN,NaN,2.991366571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
