NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.564E+11,2.55102E+11,3.32388E+11,3.22336E+11,NaN,NaN,NaN,29700010000,29583452200,9245970400,4599997400,8800013400,NaN,NaN,31.13120299,62.68016004,286632535.3,137356462.4,121128073.1,120652705.5,37708626.31,38214643.77,35889842.01,NaN,NaN,0.091170769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1420913,159600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,159.1,11466,1580513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,26000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,1110000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.06354404,12.16931737,11.35194365,2.87602E+11,2.84061E+11,3.35249E+11,3.72441E+11,NaN,NaN,NaN,31000010800,30701711400,12165766100,4799996900,9100012600,NaN,NaN,39.2443931,69.47032902,292864180.8,193759893.8,126396469.7,125180212.4,49603527.44,38204515.94,37103518.26,NaN,NaN,2.340625576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,173900,NaN,1422757,174769,NaN,NaN,NaN,NaN,1800000,54390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.946829986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,156.4,11472,1597526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,26000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.265562914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,2480000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137125379,-5.137060221,3.773652832,5.188554326,2.98456E+11,2.98799E+11,3.55105E+11,3.6562E+11,NaN,NaN,NaN,32400011300,32429961200,11354694700,4599996900,10500013600,NaN,NaN,35.04534179,65.46756204,286632535.3,183806331.4,132237441.6,132359679.2,46343063.39,40229565.75,42854767.02,NaN,NaN,3.422492588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,185530,NaN,1421740,191015,NaN,NaN,NaN,NaN,1800000,54390,NaN,NaN,NaN,NaN,NaN,-5.586417805,1780000000,1890000000,NaN,NaN,NaN,0.715476635,NaN,NaN,11.35802073,NaN,NaN,NaN,NaN,153.6,11506,1612755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.28654971,0.052664336,11.81334884,27000000,28.75767733,6.212856935,1.330464103,NaN,NaN,NaN,NaN,NaN,NaN,0.546875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,3160000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145804072.5,-28.88093434,4.999694271,8.160107571,3.13377E+11,3.23182E+11,4.04581E+11,3.65878E+11,NaN,NaN,NaN,35100016600,35988127700,8921552900,6399995400,10500026800,NaN,NaN,25.41751761,55.23304311,288189734.9,130721345.5,143255784.5,146880485.1,36412064.25,42712464.96,42854383.62,NaN,NaN,4.527490557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,219642,NaN,1422719,209045,NaN,NaN,NaN,NaN,1800000,54390,NaN,NaN,NaN,NaN,NaN,-5.128202703,2170000000,2264000000,NaN,NaN,NaN,3.1749164,NaN,NaN,11.11110586,NaN,NaN,NaN,NaN,150.9,11571,1631764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.32044199,0.011349499,24.01230345,29000000,25.25418835,5.975868573,1.773320958,NaN,NaN,NaN,NaN,NaN,NaN,0.839955283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,8220000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168575683.2,50.76146299,14.28601126,13.69014942,3.58147E+11,3.67426E+11,4.87895E+11,4.49218E+11,NaN,NaN,NaN,40700014600,41477845000,14274489300,7799995400,13000029200,NaN,NaN,35.0724427,70.6521351,403466417.1,197077412.9,166104067.6,169278533.2,58256753.94,59099316.32,53055453.44,NaN,NaN,8.825690595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,227500,NaN,1431926,230147,NaN,NaN,NaN,NaN,1800000,54390,NaN,NaN,NaN,NaN,NaN,-4.877148128,2425000000,3012000000,NaN,NaN,NaN,1.459838724,NaN,NaN,11.13021714,NaN,NaN,NaN,NaN,148.1,11665,1662073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.66666667,0.018899516,26.22995982,42000000,22.24336399,4.496996859,1.052496134,NaN,NaN,NaN,NaN,NaN,NaN,2.157112748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,7690000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,187990873.7,8.679183443,15.45971271,8.020491823,4.13515E+11,3.96895E+11,5.51042E+11,5.01407E+11,50758627800,NaN,1.38855E+11,45899989000,44527652900,14679700500,9600002000,15799986200,NaN,NaN,31.98192597,63.09369704,395757825.2,214182123.1,187300336.4,181700356.5,59902254.91,58272451.87,64473713.27,NaN,NaN,7.35276469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,237487,NaN,1453190,255440,NaN,NaN,NaN,NaN,1800000,54390,NaN,NaN,NaN,NaN,NaN,-3.838780876,1378000000,4821000000,NaN,NaN,NaN,-2.324072483,NaN,NaN,11.87364119,NaN,NaN,NaN,NaN,145.3,11790,1708630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.87360595,0.016425096,33.03516365,45000000,17.70524006,3.504224805,0.833351859,NaN,NaN,NaN,NaN,NaN,NaN,1.895385748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,2020000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,215278650.1,19.37478186,9.408719101,12.96505262,4.52421E+11,4.48353E+11,5.80006E+11,5.88434E+11,61425281600,NaN,1.49318E+11,53100011500,52756062200,20648409100,11699999700,18100012100,NaN,NaN,38.88588442,70.10941758,447175664.8,255679442.2,216136263.9,214736265.8,84046497.78,67485378.04,73673599.71,NaN,NaN,5.648789724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,302968,NaN,1487967,286062,NaN,NaN,NaN,NaN,1800000,54390,NaN,NaN,NaN,NaN,NaN,-3.766477527,1690000000,5404000000,NaN,NaN,9.575043179,5.737758598,NaN,NaN,11.09227632,NaN,NaN,NaN,NaN,142.6,11954,1774029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.94444444,0.036941771,42.66385336,47000000,23.11693755,4.144569393,1.164796961,NaN,NaN,NaN,NaN,NaN,NaN,1.33747763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,4250000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,229018144.3,1.832554561,5.500371557,4.348043788,4.77306E+11,4.67847E+11,5.78079E+11,6.13093E+11,72092218200,NaN,1.51617E+11,57000001500,56163598300,21616300000,13299999700,18500000800,NaN,NaN,37.92333234,65.52438389,408222239.1,260364907.5,231706475.5,228306474.9,87870816.73,63953423.75,75202980.15,NaN,NaN,6.184669047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,247238,NaN,1533078,322364,NaN,NaN,NaN,NaN,1800000,54390,NaN,NaN,NaN,NaN,NaN,-4.303508659,1867000000,6604000000,NaN,NaN,9.353013192,1.748089377,NaN,NaN,12.22806985,NaN,NaN,NaN,NaN,139.8,12134,1855442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.89341693,0.015932553,38.53432835,45000000,23.24150637,4.537685847,0.95751208,NaN,NaN,NaN,NaN,NaN,NaN,1.339739768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,9600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,246540932.5,11.82501685,5.023691853,4.020886293,5.01285E+11,4.86659E+11,5.92622E+11,6.5336E+11,72459953400,NaN,1.59778E+11,59899990000,58612658200,25165299700,13100000300,20099990500,NaN,NaN,42.01219349,71.10535461,434709936.7,291153101.7,241956910.7,236756929.4,101651405.5,70392913.85,81190858.39,NaN,NaN,7.991318406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,245000,NaN,1581919,363861,NaN,NaN,NaN,NaN,1800000,54390,NaN,NaN,NaN,NaN,NaN,-4.397496561,3332900000,7060400000,NaN,NaN,9.380766941,0.060945426,NaN,NaN,14.29549487,NaN,NaN,NaN,NaN,137,12328,1945780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.29503916,NaN,NaN,47000000,19.34315831,4.609233266,1.156702581,NaN,NaN,NaN,NaN,NaN,NaN,1.358863496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,7660000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,276139483.2,18.85078564,10.83086834,11.11028823,5.55578E+11,5.40728E+11,6.60984E+11,7.24305E+11,77609210300,NaN,1.84349E+11,69599887400,68248096800,31940509700,14800000000,24899898400,NaN,NaN,45.89161117,78.23318519,506382596,346037748.8,267732446.4,262532463.8,122866733.3,86588887.32,95783354.86,NaN,NaN,6.654414872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,234000,NaN,1625931,408976,NaN,NaN,NaN,NaN,1800000,54390,NaN,NaN,NaN,NaN,NaN,-3.868397063,3676600000,10895400000,NaN,NaN,9.945093157,4.838560996,NaN,NaN,16.51008418,NaN,NaN,NaN,NaN,134.2,12519,2034907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.35274628,0.078817547,29.73323325,56000000,22.34675228,4.659888928,1.254154356,NaN,NaN,NaN,NaN,NaN,NaN,1.282235368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
