NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,23600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25155237044,NaN,NaN,NaN,NaN,NaN,NaN,918299300,829200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,535670127.7,483695969.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,558352,289627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.003704021,66600000,125600000,NaN,NaN,2.296992316,NaN,NaN,NaN,21.65960488,NaN,NaN,NaN,NaN,55.9,1733,847979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.89132706,NaN,NaN,294000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,210000,26300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.03707086,NaN,28686295494,NaN,NaN,NaN,NaN,NaN,NaN,1002799000,888500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,584961208.7,518287347.6,NaN,NaN,NaN,NaN,NaN,0.015435453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12560,NaN,562097,302721,NaN,NaN,NaN,NaN,57000,5130,NaN,NaN,NaN,NaN,NaN,1.775031686,108700000,107300000,NaN,NaN,2.331969943,-4.240121719,NaN,NaN,22.46711455,NaN,NaN,NaN,NaN,54.1,1689,864818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.95936139,NaN,NaN,341000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,640000,23300000,NaN,NaN,NaN,NaN,NaN,NaN,559591310.2,NaN,2.742463144,NaN,29473006576,NaN,NaN,NaN,NaN,NaN,NaN,1061698900,948100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619319197.3,553053724.6,NaN,NaN,NaN,NaN,NaN,0.099447845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13300,NaN,564038,315403,NaN,NaN,NaN,NaN,57000,5130,NaN,NaN,NaN,NaN,NaN,2.637282567,132400000,85500000,NaN,NaN,2.401540828,3.047509953,NaN,NaN,21.21128693,NaN,NaN,NaN,NaN,52.5,1634,879441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.37825333,NaN,NaN,353000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,3670000,24500000,NaN,NaN,NaN,NaN,NaN,NaN,666064436.6,NaN,5.604597247,NaN,31124849891,NaN,NaN,NaN,NaN,NaN,NaN,1162698900,1162700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,678235373,678236014.7,NaN,NaN,NaN,NaN,NaN,1.698523848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13200,NaN,564297,327647,NaN,NaN,NaN,NaN,57000,5130,NaN,NaN,NaN,NaN,NaN,2.416790796,139800000,112800000,NaN,NaN,2.491867668,3.701029906,NaN,NaN,22.5939837,NaN,NaN,NaN,NaN,51,1567,891944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.72113582,NaN,NaN,377000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,6840000,29940000,NaN,NaN,NaN,NaN,NaN,NaN,726557426.2,NaN,7.630499772,NaN,33499831491,NaN,NaN,NaN,NaN,NaN,NaN,1220398800,1220400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,711893367.6,711894067.5,NaN,NaN,NaN,NaN,NaN,1.689858124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13100,NaN,563113,339500,NaN,NaN,NaN,NaN,57000,5130,NaN,NaN,NaN,NaN,NaN,2.964136264,153374283.4,71725716.6,NaN,NaN,2.513392362,-2.478773769,NaN,NaN,20.90300318,NaN,NaN,NaN,NaN,49.6,1492,902613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.19753086,NaN,NaN,426000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,16190000,28540000,NaN,NaN,NaN,NaN,NaN,NaN,746539698.1,NaN,0.693850282,NaN,33732270166,NaN,NaN,NaN,NaN,NaN,NaN,1262700000,1262700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736568861.9,736568861.9,NaN,NaN,NaN,NaN,NaN,2.204817582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12200,NaN,560736,351001,NaN,NaN,NaN,NaN,57000,5130,NaN,NaN,NaN,NaN,NaN,1.494755952,169074283.4,70325716.6,NaN,NaN,2.558171412,2.753224892,NaN,NaN,20.87590085,NaN,NaN,NaN,NaN,48.4,1410,911737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.1483325,NaN,NaN,471000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,4970000,29690000,NaN,NaN,NaN,NaN,NaN,NaN,694893115.4,NaN,4.056821561,NaN,35100728175,NaN,NaN,NaN,NaN,NaN,NaN,1240700000,1123400000,NaN,489900000,686300000,NaN,NaN,NaN,NaN,NaN,NaN,723735635.5,655311205.7,NaN,NaN,263664469.5,NaN,NaN,1.379497235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12000,NaN,557119,362098,NaN,NaN,NaN,NaN,57000,5130,NaN,NaN,NaN,NaN,NaN,3.984155791,214931420.9,58368579.1,NaN,NaN,2.662912109,-5.573031853,NaN,NaN,23.7607802,NaN,NaN,NaN,NaN,47.3,1329,919217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.10155344,NaN,NaN,454000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,2490000,30300000,NaN,NaN,NaN,NaN,NaN,NaN,713722688.3,NaN,2.042517716,NaN,35817666766,NaN,NaN,NaN,NaN,NaN,NaN,1324400000,1205100000,NaN,548400000,708100000,NaN,NaN,NaN,NaN,NaN,NaN,761981474,693343305.9,NaN,NaN,253380127.7,NaN,NaN,0.791815501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12500,NaN,552421,372814,NaN,NaN,NaN,NaN,57000,5130,NaN,NaN,NaN,NaN,NaN,2.476593174,217800000,65800000,NaN,NaN,2.7197988,4.609523614,NaN,NaN,23.80700695,NaN,NaN,NaN,NaN,46.3,1256,925235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.86470318,NaN,NaN,417000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,7110000,49410000,NaN,NaN,NaN,NaN,NaN,NaN,738721530.8,NaN,5.215141612,NaN,37685608811,NaN,NaN,NaN,NaN,NaN,NaN,1517799900,1381100000,NaN,662100000,781000000,NaN,NaN,NaN,NaN,NaN,NaN,758899950,690550000,NaN,NaN,226050000,NaN,NaN,0.666135675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12179,NaN,547280,383515,NaN,NaN,NaN,NaN,57000,5130,NaN,NaN,NaN,NaN,NaN,2.363947975,256780000,83020000,NaN,NaN,2.943694052,8.922375349,NaN,NaN,23.84372275,NaN,NaN,NaN,NaN,45.4,1194,930795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.21131083,77.80929169,0.467844379,420000000,11.67685937,53.11391563,1.006703833,NaN,NaN,NaN,NaN,NaN,NaN,0.670378179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,200000,44720000,NaN,NaN,NaN,NaN,NaN,NaN,755158984.1,NaN,2.730684612,NaN,38714683931,NaN,NaN,NaN,NaN,NaN,NaN,1558400000,1415100000,NaN,651900000,839400000,NaN,NaN,NaN,NaN,NaN,NaN,779200000,707550000,NaN,NaN,299350000,NaN,NaN,0.925729657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11547,NaN,542490,394696,NaN,NaN,NaN,NaN,57000,5130,NaN,NaN,NaN,NaN,NaN,1.550308008,313460000,74340000,NaN,NaN,3.015378969,-0.054271628,NaN,NaN,26.63629363,NaN,NaN,NaN,NaN,44.6,1146,937186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.55580497,77.15360725,0.460722715,483000000,12.43262341,52.54340522,0.690233166,NaN,NaN,NaN,NaN,NaN,NaN,0.675372177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
