NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,49200000,84451418.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,2610938,1567298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81260000,38670000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4178236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.41841004,NaN,NaN,191000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.004787552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,90150000,73314576.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,561618,NaN,2629767,1608375,NaN,NaN,NaN,NaN,3100000,155360,NaN,NaN,NaN,NaN,NaN,NaN,102020000,30300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4238142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.7824116,NaN,NaN,211000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.215909091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,66000000,58506805.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,814367,NaN,2652564,1652917,NaN,NaN,NaN,NaN,3100000,155360,NaN,NaN,NaN,NaN,NaN,NaN,125004000,21013000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179.9,NaN,4305481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.78824546,0.019511845,22.83181299,216000000,25.08985048,7.947006015,1.008728093,NaN,NaN,NaN,NaN,NaN,NaN,1.729605074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,50840000,61708000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1193300,NaN,2679156,1700912,NaN,NaN,NaN,NaN,3100000,155360,NaN,NaN,NaN,NaN,NaN,NaN,172527000,6067000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,171.6,32875,4380068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.3030303,0.027885157,22.07573055,223000000,21.25717744,8.474877157,1.014560219,NaN,NaN,NaN,NaN,NaN,NaN,1.50801131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,44660000,32112337.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,922000,NaN,2708833,1752281,NaN,NaN,NaN,NaN,3180000,155360,NaN,NaN,NaN,NaN,NaN,NaN,195133000,-2333999.997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,163.5,31773,4461114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.31987578,0.144357616,24.03711366,248000000,18.64365473,6.567377748,1.313364929,NaN,NaN,NaN,NaN,NaN,NaN,1.744186047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,55500000,36013013.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7242653200,7053393018,7335310655,9120610233,1669542100,735231300,NaN,520300000,507500000,99100000,100000000,247600000,NaN,NaN,19.04670382,33.44224486,1751387173,1005293371,991047619,966666666.7,188761904.8,142666666.7,NaN,NaN,NaN,9.405517052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1141500,NaN,2741317,1806624,NaN,NaN,NaN,NaN,3180000,155360,NaN,NaN,NaN,NaN,NaN,14.13549875,222906000,-6673999.979,NaN,NaN,NaN,NaN,NaN,NaN,30.67960792,NaN,NaN,NaN,NaN,155.9,30664,4547941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.14095079,0.114992998,30.50003959,246000000,16.20441752,5.657173843,2.207116671,NaN,NaN,NaN,NaN,NaN,NaN,1.287718624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,23780000,27920613.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.23549575,3.454867893,3.337392818,7492877300,7288792450,7364547593,9806249812,1870788800,733369300,NaN,546500000,532500000,115000000,105300000,269500000,NaN,NaN,21.04300091,34.52881976,1765274417,1138348933,1040952381,1014285714,219047619,140380952.4,NaN,NaN,NaN,8.167323583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,813000,NaN,2773926,1867074,NaN,NaN,NaN,NaN,3180000,155360,NaN,NaN,NaN,NaN,NaN,14.53064959,258296000,-14220199.97,NaN,NaN,NaN,1.527901537,NaN,NaN,33.02964318,NaN,NaN,NaN,NaN,148.2,29489,4641000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.46912704,6.393596354,26.21205135,250000000,19.74536702,6.485756878,3.578477265,NaN,NaN,NaN,NaN,NaN,NaN,1.31747484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.720000267,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,22840000,40123433.6,NaN,NaN,NaN,NaN,NaN,NaN,1048259163,1.992902983,0.161952472,-0.794365307,7505012200,7230892811,7515675405,9772473396,1957355800,720568500,NaN,570000000,550600000,120900000,115100000,286300000,NaN,NaN,21.21052632,35.73684211,1880025919,1161035123,1085714286,1048761905,230285714.3,157714285.7,NaN,NaN,NaN,8.53577883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,683000,NaN,2795195,1945316,NaN,NaN,NaN,NaN,3180000,155360,NaN,NaN,NaN,NaN,NaN,13.66122807,276887000,-21012599.97,NaN,NaN,NaN,4.131448037,NaN,NaN,33.68596491,NaN,NaN,NaN,NaN,141.1,28323,4740511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.23076923,14.85927723,22.90653763,261000000,27.29661482,4.054278757,4.189241211,NaN,NaN,NaN,NaN,NaN,NaN,1.421052632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,19780000,36228000,NaN,NaN,NaN,NaN,NaN,NaN,1188350816,11.71181818,10.40972858,9.806396777,8286263600,7939982851,7578526012,10853544034,2427488400,693337600,NaN,637700000,611500000,133500000,129200000,319000000,NaN,NaN,20.93460875,31.78610632,1601990918,1297013445,1214666667,1164761905,254285714.3,131809523.8,NaN,NaN,NaN,6.169501279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,812600,NaN,2817592,2027627,NaN,NaN,NaN,NaN,3180000,155360,NaN,NaN,NaN,NaN,NaN,12.60702525,303504000,-11814799.97,NaN,NaN,NaN,1.329107879,NaN,NaN,33.99341383,NaN,NaN,NaN,NaN,134.2,27128,4845219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.89968652,19.88468714,20.92177192,218000000,23.69452199,2.992117417,4.738349302,NaN,NaN,NaN,NaN,NaN,NaN,1.442684648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,28130000,36924566.4,NaN,NaN,NaN,NaN,NaN,NaN,1277419097,4.367423219,4.747815409,4.582338401,8679680100,8303819734,7864846086,10835300524,2456158600,747333900,NaN,677200000,647900000,149900000,145400000,330800000,NaN,NaN,22.13526285,34.80507974,1636781822,1353659512,1289904762,1234095238,285523809.5,163428571.4,NaN,NaN,NaN,9.377720599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,632400,NaN,2840175,2113215,NaN,NaN,NaN,NaN,3186000,155360,NaN,NaN,NaN,NaN,NaN,12.76875369,321257000,-2008599.98,NaN,NaN,NaN,1.380763655,NaN,NaN,33.93989959,NaN,NaN,NaN,NaN,127.5,25916,4953390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.42916957,26.02689048,17.39273942,266000000,25.42788912,3.653683465,3.828357968,NaN,NaN,NaN,NaN,NaN,NaN,1.314235086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
