NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,109290000,205127600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.22493E+11,NaN,NaN,NaN,NaN,NaN,NaN,68100,NaN,1400,11800,17600,NaN,NaN,2.055800294,5.726872247,NaN,NaN,13995067818,NaN,287710645.3,513769009.5,3616933827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,18814435,8657910,54.6714032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.832599119,16530,2270,NaN,NaN,5.40E-05,NaN,NaN,NaN,14.6989721,NaN,NaN,NaN,NaN,171.5,206813,27472345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.30407524,NaN,NaN,468000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.531571219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,156060000,195570000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.156069385,NaN,1.23909E+11,NaN,NaN,NaN,NaN,NaN,NaN,71900,NaN,3700,12400,20800,NaN,NaN,5.146036161,11.96105702,NaN,NaN,7988888889,NaN,411111111.1,544444444.4,2311111111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,12729100,NaN,19121885,9025025,48.72135503,NaN,NaN,NaN,23013000,769630,NaN,NaN,NaN,NaN,NaN,9.290681502,16030,2130,NaN,NaN,5.57E-05,4.37340044,NaN,NaN,15.27121001,NaN,NaN,NaN,NaN,166.4,202810,28146910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.1556196,NaN,NaN,507000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.764542936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,210610000,190280000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.571428582,NaN,1.30813E+11,NaN,NaN,NaN,NaN,NaN,NaN,80300,NaN,4500,13700,22600,NaN,NaN,5.603985056,13.57409714,NaN,NaN,8922222222,NaN,500000000,711111111.1,2511111111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,14728000,NaN,19433902,9398925,59.5505618,NaN,NaN,NaN,23131000,769630,NaN,NaN,NaN,NaN,NaN,8.443337484,18470,1960,NaN,NaN,5.78E-05,5.78893779,NaN,NaN,14.94396015,NaN,NaN,NaN,NaN,161.2,198369,28832827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.24783408,1.616342574,6.580242743,619000000,12.77478379,12.38800139,1.754555469,NaN,NaN,NaN,NaN,NaN,NaN,3.711083437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,165640000,178272880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.066305552,NaN,1.42673E+11,NaN,NaN,NaN,NaN,NaN,NaN,93200,NaN,3900,15800,25900,NaN,NaN,4.184549356,11.15879828,NaN,NaN,10355555556,NaN,433333333.3,722222222.2,2877777778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,17487100,NaN,19745557,9785808,38.26261612,NaN,NaN,NaN,23895000,769630,NaN,NaN,NaN,NaN,NaN,8.100858369,21650,2060,NaN,NaN,6.15E-05,6.41669448,NaN,NaN,14.59227468,NaN,NaN,NaN,NaN,156,193802,29531365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.06605056,2.486475829,4.434424187,688000000,13.81695799,9.62656472,1.467763183,NaN,NaN,NaN,NaN,NaN,NaN,3.387339056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,38570000,142339680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.459056798,NaN,1.50461E+11,NaN,NaN,NaN,NaN,NaN,NaN,100600,NaN,4500,18000,29600,NaN,NaN,4.473161034,9.940357853,NaN,NaN,11177777778,NaN,500000000,611111111.1,3288888889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150,14454700,NaN,20057994,10186267,53.65086497,NaN,NaN,NaN,23824000,769630,NaN,NaN,NaN,NaN,NaN,7.942345924,23810,2050,NaN,NaN,6.22E-05,2.352436519,NaN,NaN,15.93439364,NaN,NaN,NaN,NaN,150.8,189230,30244261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.13677294,2.285798427,5.904162898,537000000,6.774569092,12.48720456,2.218915775,NaN,NaN,NaN,NaN,NaN,NaN,3.422465209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,21610000,141387680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.823529543,NaN,1.54709E+11,NaN,NaN,NaN,NaN,NaN,NaN,107700,NaN,4900,20800,34100,NaN,NaN,4.549675023,9.935004643,NaN,NaN,11966666667,NaN,544444444.4,644444444.4,3788888889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,14756700,NaN,20371867,10601127,44.82132041,NaN,NaN,NaN,23841000,769630,NaN,NaN,NaN,NaN,NaN,9.108635097,28080,1930,NaN,NaN,6.50E-05,4.117855661,NaN,NaN,17.68802228,NaN,NaN,NaN,NaN,146.1,185315,30972994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.21268164,1.230255509,7.601802592,572000000,5.976854064,9.981975893,2.79707948,NaN,NaN,NaN,NaN,NaN,NaN,3.554418605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.90000153,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,17180000,131543660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.21281504,NaN,1.72057E+11,NaN,NaN,NaN,NaN,NaN,NaN,126900,NaN,5200,24900,38400,NaN,NaN,4.097714736,9.771473601,NaN,NaN,14100000000,NaN,577777777.8,800000000,4266666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,220,16511200,NaN,20632555,11084952,47.12664385,NaN,NaN,NaN,24000000,769630,NaN,NaN,NaN,NaN,NaN,8.754925138,33930,1930,NaN,NaN,7.05E-05,5.947590674,NaN,NaN,18.47123719,NaN,NaN,NaN,NaN,141.8,181865,31717507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.63840196,0.682426602,14.05129173,718000000,4.263609949,9.555385615,2.416351768,NaN,NaN,NaN,NaN,NaN,NaN,3.143981117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,-1860000,119539200,NaN,NaN,NaN,NaN,NaN,NaN,15172478428,NaN,4.732510244,NaN,1.80199E+11,NaN,NaN,NaN,NaN,NaN,NaN,140800,140200,5800,28800,45200,NaN,NaN,4.119318182,9.090909091,NaN,NaN,15644444444,15577777778,644444444.4,777777777.8,5022222222,NaN,NaN,1.269308104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,16962300,NaN,20864187,11613805,34.16519079,NaN,NaN,NaN,23836000,769630,NaN,NaN,NaN,NaN,NaN,8.323863636,38220,1980,NaN,NaN,8.04E-05,5.939890527,NaN,NaN,19.25426136,NaN,NaN,NaN,NaN,137.7,178940,32477992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.55502392,0.085612772,6.743267057,685000000,1.453015896,7.844375999,3.234542527,NaN,NaN,NaN,NaN,NaN,NaN,3.259574468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,15610000,142104900,NaN,NaN,NaN,NaN,NaN,NaN,17274899264,NaN,6.77799601,NaN,1.92413E+11,NaN,NaN,NaN,31109955400,18264780700,83518419600,157500,156700,5800,33800,53600,NaN,NaN,3.682539683,8.761904762,NaN,NaN,17500000000,17411111111,644444444.4,888888888.9,5955555556,NaN,NaN,1.002980245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,310,15963700,NaN,21092247,12164217,32.19434833,NaN,NaN,NaN,24092000,769630,NaN,NaN,NaN,NaN,NaN,5.682174193,40179.42435,2200,NaN,NaN,8.53E-05,4.760156244,NaN,NaN,19.82857143,NaN,NaN,NaN,NaN,133.9,176464,33256464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.55958863,0.268669887,7.738967239,764000000,0.872249452,8.416031208,3.380827037,NaN,NaN,NaN,NaN,NaN,NaN,3.275555556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,34440000,245673600,NaN,NaN,NaN,NaN,NaN,NaN,19146842008,NaN,4.081145621,NaN,2.00266E+11,NaN,NaN,NaN,34007939000,20401760000,88198535700,175200,174300,6300,38700,60300,NaN,NaN,3.595890411,8.333333333,NaN,NaN,19466666667,19366666667,700000000,922222222.2,6700000000,NaN,NaN,0.888898419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,350,17185300,NaN,21318334,12737056,30.60729778,NaN,NaN,NaN,25231000,769630,NaN,NaN,NaN,NaN,NaN,5.847558972,48067.92332,3420,NaN,NaN,8.95E-05,6.876317103,NaN,NaN,20.86187215,NaN,NaN,NaN,NaN,130.3,174235,34055390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.52667846,0.739954865,6.901905445,801000000,3.16723781,8.103238225,3.522525485,NaN,NaN,NaN,NaN,NaN,NaN,3.0793379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
