NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,3560000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40355000,40238300,11028800,5171900,13601600,NaN,NaN,27.32945112,49.14583075,NaN,NaN,423008385.7,421785115.3,115605870,92285115.3,142574423.5,NaN,NaN,4.884003639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6468192,298903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131.4,42370,6767095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.36802664,NaN,NaN,91000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,10320000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42121400,42016700,10285300,5403600,14210800,NaN,NaN,24.41822921,46.0620967,NaN,NaN,441524109,440426624.7,107812369,95562893.08,148960167.7,NaN,NaN,4.8203261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,895200,NaN,6661375,322443,NaN,NaN,NaN,NaN,3150000,199810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,129.2,42883,6983818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.86956522,NaN,NaN,95000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,15570000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42835800,42416500,10326600,5190300,14913500,NaN,NaN,24.10740549,45.55511978,NaN,NaN,449012578.6,444617400.4,108245283,96302935.01,156325995.8,NaN,NaN,6.470732012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,902000,NaN,6867562,348234,NaN,NaN,NaN,NaN,3200000,199810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.1,43468,7215796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.35915493,NaN,NaN,95000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11328976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,13800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49240500,48876100,13930600,6594200,16135400,NaN,NaN,28.29093937,52.17148485,NaN,NaN,516147798.7,512328092.2,146023060.8,123258909.9,169134171.9,NaN,NaN,3.823721644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,912650,NaN,7085195,376439,NaN,NaN,NaN,NaN,3269000,199810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125,44116,7461634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.86684073,NaN,NaN,114000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.369318182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,11790000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56196000,55918900,16801400,6788200,17685100,NaN,NaN,29.8978575,52.99398534,NaN,NaN,589056603.8,586151991.6,176115304,136049266.2,185378406.7,NaN,NaN,3.836888741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,923300,NaN,7312076,407028,NaN,NaN,NaN,NaN,3785000,199810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,123,44808,7719104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.3189887,NaN,NaN,130000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.651162791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,12340000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63180000,61840000,16160000,8000000,20300000,NaN,NaN,25.57771447,49.93668883,NaN,NaN,884873949.6,866106442.6,226330532.2,215546218.5,284313725.5,NaN,NaN,2.3230402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1057750,NaN,7546114,439952,NaN,NaN,NaN,NaN,3768000,199810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121.2,45591,7986066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.44568869,NaN,NaN,161000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.132939439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,710000,40910000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66100000,64860000,16900000,7720000,21720000,NaN,NaN,25.56732224,50.89258699,NaN,NaN,925770308.1,908403361.3,236694677.9,234453781.5,304201680.7,NaN,NaN,2.595763174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1071083,NaN,7787713,475726,NaN,NaN,NaN,NaN,3776000,199810,NaN,NaN,NaN,NaN,NaN,2.057488654,7640000,2160000,NaN,NaN,NaN,NaN,NaN,NaN,15.27987897,NaN,NaN,NaN,NaN,119.3,46336,8263439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.54981353,NaN,NaN,166000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.437235543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,830000,34930000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69090000,67740000,17480000,7960000,22680000,NaN,NaN,25.3003329,49.68881169,NaN,NaN,967647058.8,948739495.8,244817927.2,235994397.8,317647058.8,NaN,NaN,2.27459698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1082153,NaN,8036219,514224,NaN,NaN,NaN,NaN,3772000,199810,NaN,NaN,NaN,NaN,NaN,1.253437545,7470000,2657049.9,NaN,NaN,NaN,NaN,NaN,NaN,15.09046172,NaN,NaN,NaN,NaN,117.5,47091,8550443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.78735005,NaN,NaN,159000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.623481781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,2510000,49030000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74100000,72900000,17740000,9170000,24170000,NaN,NaN,23.94062078,46.55870445,NaN,NaN,1037815126,1021008403,248459383.8,234733893.6,338515406.2,NaN,NaN,2.176279768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1292642,NaN,8285663,555490,NaN,NaN,NaN,NaN,3780000,199810,NaN,NaN,NaN,NaN,NaN,3.250404858,9699490,3483982.9,NaN,NaN,NaN,NaN,NaN,NaN,16.88398111,NaN,NaN,NaN,NaN,115.9,47937,8841153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.35096491,NaN,NaN,165000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.794080605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,200000,52270000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83470000,82212800,17970000,10690000,26230000,NaN,NaN,21.52869294,41.87133102,NaN,NaN,1169047619,1151439776,251680672.3,237815126.1,367366946.8,NaN,NaN,2.388314228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1624151,NaN,8528887,598970,NaN,NaN,NaN,NaN,3780000,199810,NaN,NaN,NaN,NaN,NaN,3.955564874,12171370,4279186.1,NaN,NaN,NaN,NaN,NaN,NaN,16.72576974,NaN,NaN,NaN,NaN,114.8,48909,9127857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.8799659,NaN,NaN,175000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.824581006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
