NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3767016801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.11553E+11,NaN,NaN,NaN,NaN,NaN,NaN,26155000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73233967692,NaN,NaN,NaN,NaN,0.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,NaN,NaN,11295344,41104656,81.08585349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.64251577,11528000000,-760000000,NaN,NaN,6.273283799,NaN,3.375,NaN,39.84324221,NaN,NaN,NaN,NaN,22.9,20698,52400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.72445338,NaN,NaN,13034000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.343041412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3327714600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.677118943,NaN,5.25248E+11,NaN,NaN,NaN,NaN,NaN,NaN,27765000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77741965703,NaN,NaN,NaN,NaN,0.592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135,9721851,NaN,11418528,41381472,80.20728265,NaN,NaN,NaN,7175000,241930,NaN,NaN,NaN,NaN,NaN,28.30181884,11886000000,-721000000,NaN,NaN,6.489555021,3.387796497,4.041666667,NaN,38.55573564,NaN,NaN,NaN,NaN,22.5,20911,52800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.44747201,NaN,NaN,12729000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.190022143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.13999939,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3313161731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.102909649,NaN,5.31041E+11,NaN,NaN,NaN,NaN,NaN,NaN,29017000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81247564157,NaN,NaN,NaN,NaN,0.519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,11790944,NaN,11588798,41661202,80.0142186,NaN,NaN,NaN,7236000,241930,NaN,NaN,NaN,NaN,NaN,43.58824138,15782000000,-3971000000,NaN,NaN,6.761889125,3.369205326,2.791666667,NaN,36.12709791,NaN,NaN,NaN,NaN,22,20928,53250000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.61357363,3.855973099,4.39731694,12958000000,37.10801602,11.88860028,9.326395689,NaN,NaN,NaN,NaN,NaN,NaN,6.210393713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3153679121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.874383998,NaN,5.56926E+11,NaN,NaN,NaN,NaN,NaN,NaN,30915000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86561961812,NaN,NaN,NaN,NaN,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,11364849,NaN,11749886,41900114,79.91393407,NaN,NaN,NaN,7275000,241930,NaN,NaN,NaN,NaN,NaN,42.37425198,16946000000,-4138000000,NaN,NaN,6.898380803,1.589148036,2,NaN,36.88500728,NaN,NaN,NaN,NaN,21.4,20690,53650000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.46871884,4.035642723,3.885491326,13969000000,36.80715865,11.66724628,8.658248976,NaN,NaN,NaN,NaN,NaN,NaN,6.082126186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2322326240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.533659386,NaN,5.87745E+11,NaN,NaN,NaN,NaN,NaN,NaN,33717000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94407558351,NaN,NaN,NaN,NaN,0.527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,12799102,NaN,11901600,42098400,78.64149253,NaN,NaN,NaN,7354000,241930,NaN,NaN,NaN,NaN,NaN,41.70299849,18395000000,-4860000000,NaN,NaN,7.124757167,3.344811516,3.25,NaN,35.66450159,NaN,NaN,NaN,NaN,20.8,20234,54000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.1762374,3.261581002,4.036544584,15966000000,34.00080789,10.60986618,10.13358605,NaN,NaN,NaN,NaN,NaN,NaN,5.899067585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3011764240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.142176544,NaN,6.00335E+11,NaN,NaN,NaN,NaN,NaN,NaN,36366000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.01825E+11,NaN,NaN,NaN,NaN,0.469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300,13716688,NaN,12053854,42294196,74.49733017,NaN,NaN,NaN,7339000,241930,NaN,NaN,NaN,NaN,NaN,41.57179783,19616000000,-5039000000,NaN,NaN,7.464877011,5.594549205,4.416666667,NaN,35.5661882,NaN,NaN,NaN,NaN,20.1,19612,54348050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.41201902,2.824367692,4.299911102,16128000000,31.65482594,10.70221151,10.74933891,NaN,NaN,NaN,NaN,NaN,NaN,5.756799452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3109538540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.573100414,NaN,6.09779E+11,NaN,NaN,NaN,NaN,NaN,NaN,38776000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.08573E+11,NaN,NaN,NaN,NaN,0.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,13439265,NaN,12196452,42452048,72.18463613,NaN,NaN,NaN,7324000,241930,NaN,NaN,NaN,NaN,NaN,40.80358985,20095000000,-4922000000,NaN,NaN,7.756725171,4.97569613,4.5,NaN,34.55230039,NaN,NaN,NaN,NaN,19.6,18868,54648500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.5936273,2.661076418,4.531381938,16663000000,30.61284367,10.53089429,11.17909621,NaN,NaN,NaN,NaN,NaN,NaN,5.588717004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.04000092,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2702371600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.786474642,NaN,6.2677E+11,NaN,NaN,NaN,NaN,NaN,NaN,40960000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.13117E+11,NaN,NaN,NaN,NaN,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,14649718,NaN,12339783,42603817,70.78988957,NaN,NaN,NaN,7309000,241930,NaN,NaN,NaN,NaN,NaN,46.45263672,22308000000,-5658000000,NaN,NaN,7.949256057,2.768725433,4.208333333,2.657690416,36.23046875,NaN,NaN,NaN,NaN,19.1,18068,54943600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.91203078,2.55815537,4.999155321,17800000000,28.94963929,11.35280926,9.864065647,NaN,NaN,NaN,NaN,NaN,NaN,5.576792793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2712427900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.441083438,NaN,6.60873E+11,NaN,NaN,NaN,NaN,NaN,NaN,44900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0776E+11,NaN,NaN,NaN,NaN,0.401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,13142810,NaN,12477844,42733856,71.75058509,NaN,NaN,NaN,7277000,241930,NaN,NaN,NaN,NaN,NaN,47.04454343,24517000000,-6807000000,NaN,NaN,8.322666636,3.962456617,5.416666667,2.080119549,35.42316258,NaN,NaN,NaN,NaN,18.7,17249,55211700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.17515413,2.695065593,5.230998663,18960000000,25.48337982,11.46056744,11.38258473,NaN,NaN,NaN,NaN,NaN,NaN,5.313323755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2535411000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.924096835,NaN,6.73589E+11,NaN,NaN,NaN,NaN,NaN,NaN,48527000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.16465E+11,NaN,NaN,NaN,NaN,0.428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,13580196,NaN,12608008,42833742,71.92361529,NaN,NaN,NaN,7163000,241930,NaN,NaN,NaN,NaN,NaN,26.40179694,24334000000,-6111000000,NaN,NaN,8.775974293,6.037683294,5.916666667,0.55387546,33.79561893,NaN,NaN,NaN,NaN,18.4,16405,55441750,NaN,NaN,NaN,NaN,33.7,NaN,NaN,NaN,NaN,NaN,72.418794,2.435390777,5.212514853,19961000000,24.6017075,10.94709568,11.58372889,NaN,NaN,NaN,NaN,NaN,NaN,4.920792648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
