NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,20050000,191463600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.95871E+11,NaN,NaN,2.01031E+11,NaN,NaN,NaN,14500,14400,2000,NaN,NaN,NaN,NaN,13.79310345,32.4137931,1350882433,830005236.9,1242289239,1233721727,171350239.9,231322823.9,NaN,NaN,NaN,1.539244981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,501610,2037033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.082758621,4749,-68,NaN,NaN,3.75E-06,NaN,NaN,NaN,27.29655172,NaN,NaN,NaN,NaN,56.6,3122,2538643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.09266409,NaN,NaN,218000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,0,191754650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.89009891,2.493037918,NaN,2.00754E+11,NaN,NaN,2.07203E+11,NaN,NaN,NaN,17600,17500,2500,NaN,NaN,NaN,NaN,14.20454545,28.97727273,1284875741,1019994257,1547388781,1538596800,219799542.8,228591524.5,NaN,NaN,NaN,0.142987432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,750924,NaN,502455,2069226,NaN,NaN,NaN,NaN,2454000,175020,NaN,NaN,NaN,NaN,NaN,0.988636364,5439,-41,NaN,NaN,4.60E-06,18.42688324,NaN,NaN,27.43181818,NaN,NaN,NaN,NaN,55.5,3093,2571681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.87837063,NaN,NaN,211000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,1010000,202874030,NaN,NaN,NaN,NaN,NaN,NaN,1499462493,-14.15024183,-1.57454885,NaN,1.97593E+11,NaN,NaN,2.0471E+11,NaN,NaN,NaN,19400,19400,2200,NaN,NaN,NaN,NaN,11.34020619,25.77319588,1457239287,875662602.7,1710004407,1710004407,193918025.6,246804759.8,NaN,NaN,NaN,0.208186595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,764645,NaN,503044,2100838,NaN,NaN,NaN,NaN,2396000,175020,NaN,NaN,NaN,NaN,NaN,3.927835052,6859,-1961,NaN,NaN,5.11E-06,11.99061974,NaN,NaN,26.37628866,NaN,NaN,NaN,NaN,54.1,3038,2603882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.69015003,NaN,NaN,230000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,1200000,186186760,NaN,NaN,NaN,NaN,NaN,NaN,1600512988,4.374938496,0.170458855,NaN,1.9793E+11,NaN,NaN,2.0392E+11,NaN,NaN,NaN,23300,23100,2800,NaN,NaN,NaN,NaN,12.01716738,24.03433476,1118322004,913972303,1539681491,1526465341,185026101.9,185026101.9,NaN,NaN,NaN,0.570599267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,596786,NaN,503335,2131791,NaN,NaN,NaN,NaN,2338000,175020,NaN,NaN,NaN,NaN,NaN,5.429184549,8744,-2190,NaN,NaN,6.19E-06,19.89871481,NaN,NaN,33.61802575,NaN,NaN,NaN,NaN,52.8,2980,2635126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.79068361,NaN,NaN,177000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.56999969,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,1080000,186682640,NaN,NaN,NaN,NaN,NaN,NaN,1767504572,3.852243896,2.44052078,NaN,2.02761E+11,NaN,NaN,2.11355E+11,NaN,NaN,NaN,33500,33200,4000,NaN,NaN,NaN,NaN,11.94029851,23.28358209,1223656603,949180745.2,1975701816,1958008964,235904694.5,224109459.8,NaN,NaN,NaN,0.113891206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,914783,NaN,503385,2162003,NaN,NaN,NaN,NaN,2281000,175020,NaN,NaN,NaN,NaN,NaN,4.549253731,13754,-4288,NaN,NaN,8.81E-06,40.35151612,NaN,NaN,32.46567164,NaN,NaN,NaN,NaN,51.9,2933,2665388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.09313999,NaN,NaN,198000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,3080000,179141120,NaN,NaN,NaN,NaN,NaN,NaN,1834596411,28.00704873,1.045604053,NaN,2.04881E+11,2.0252E+11,2.00626E+11,2.13034E+11,NaN,NaN,NaN,54900,54300,10100,NaN,NaN,NaN,NaN,18.39708561,29.87249545,933647154.2,1215018259,1890769326,1870105181,347846451.6,216973529.2,NaN,NaN,NaN,0.160418785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,878083,NaN,503124,2191412,NaN,NaN,NaN,NaN,2223000,175020,NaN,NaN,NaN,NaN,NaN,6.078324226,21931,-10460,NaN,NaN,1.38E-05,62.18478632,NaN,NaN,33.78870674,NaN,NaN,NaN,NaN,51.4,2898,2694536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.59958181,NaN,NaN,151000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,1830000,177305340,NaN,NaN,NaN,NaN,NaN,NaN,1965081605,-11.33768708,3.062855935,2.907952973,2.11156E+11,2.0841E+11,2.1055E+11,2.22431E+11,NaN,NaN,NaN,97500,96300,16700,NaN,NaN,NaN,NaN,17.12820513,28.61538462,1034878053,1077263291,1809183975,1786917095,309880742.3,207824210.4,NaN,NaN,NaN,0.26134397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,710836,NaN,502670,2220205,NaN,NaN,NaN,NaN,2166000,175020,NaN,NaN,NaN,NaN,NaN,4.662564103,23299,-3663,NaN,NaN,2.39E-05,72.31778297,NaN,NaN,23.14769231,NaN,NaN,NaN,NaN,51.1,2876,2722875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.08807734,NaN,NaN,164000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,2560000,162627200,NaN,NaN,NaN,NaN,NaN,NaN,1751870240,-6.681372704,-3.656834112,-4.225299955,2.03434E+11,1.99604E+11,2.11195E+11,2.11008E+11,NaN,NaN,NaN,167700,164700,24500,NaN,NaN,NaN,NaN,14.60942159,27.78771616,1156967660,1005287315,1597721080,1569139308,233417808.3,210552390.4,NaN,NaN,NaN,0.354334374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,450920,NaN,501918,2248168,NaN,NaN,NaN,0.89154013,2093000,175020,NaN,NaN,NaN,NaN,NaN,6.91234347,43111,-8821,NaN,NaN,4.53E-05,78.52849075,NaN,NaN,26.37090042,NaN,NaN,NaN,NaN,50.7,2856,2750086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.64713296,NaN,NaN,171000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,1660000,193197100,NaN,NaN,NaN,NaN,NaN,NaN,1704307242,14.51122711,1.888911744,2.181526163,2.07277E+11,2.03958E+11,2.08683E+11,2.13386E+11,NaN,NaN,NaN,369500,363800,56100,NaN,NaN,NaN,NaN,15.1826793,27.38836265,1070785932,1151166841,1593675330,1569090893,241962614.4,194518964.5,NaN,NaN,NaN,1.563962994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,796010,NaN,500622,2274137,NaN,NaN,NaN,NaN,2020000,175020,NaN,NaN,NaN,NaN,NaN,2.357510149,58359,-5245,NaN,NaN,0.00010208,116.2491736,NaN,NaN,18.54993234,NaN,NaN,NaN,NaN,50,2825,2774759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.21052632,NaN,NaN,157000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,200000,185037200,NaN,NaN,NaN,NaN,NaN,NaN,1865259360,-0.133956009,5.864740633,6.30080287,2.19433E+11,2.16809E+11,2.29943E+11,2.27859E+11,NaN,NaN,NaN,497100,491500,66600,NaN,NaN,NaN,NaN,13.3977067,25.52806276,1316680192,1149624784,2004435484,1981854839,268548387.1,243145161.3,NaN,NaN,NaN,0.981403904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,838631,NaN,498524,2296518,NaN,NaN,NaN,NaN,1946000,175020,NaN,NaN,NaN,NaN,NaN,4.436531885,83649,-1895,NaN,NaN,0.000123483,27.08022719,NaN,NaN,19.74451821,NaN,NaN,NaN,NaN,48.9,2778,2795042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.07408517,NaN,NaN,197000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
