NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,615486000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14395636700,NaN,NaN,NaN,NaN,1575845500,NaN,25671000,23910900,7812600,NaN,NaN,NaN,NaN,30.43356316,48.58205757,NaN,NaN,7779090909,7245727273,2367454545,1411787879,NaN,NaN,NaN,0.01104099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,3125409,5016432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.627166842,4370000,1890000,NaN,NaN,NaN,NaN,NaN,NaN,20.50952437,NaN,NaN,NaN,NaN,58.7,20907,8141841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.27844574,NaN,NaN,1188000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.05804441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,10000,581329000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.192519439,NaN,14855220200,14057540277,10632933998,NaN,NaN,1674427800,NaN,27024000,25066600,8570800,NaN,NaN,NaN,NaN,31.71551214,48.65563943,NaN,NaN,8189090909,7595939394,2597212121,1387242424,NaN,NaN,NaN,0.114798181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,501394,NaN,3133076,5306185,NaN,NaN,NaN,NaN,2900000,882050,NaN,NaN,NaN,NaN,NaN,0.085109532,4602000,1828000,NaN,NaN,NaN,2.013730562,NaN,NaN,19.71210776,NaN,NaN,NaN,NaN,57.1,20833,8439261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.63339156,NaN,NaN,1197000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.422222222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.65999985,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,6020000,583412200,NaN,NaN,NaN,NaN,NaN,NaN,8356748001,NaN,8.532933763,8.788735108,16122806300,15293020255,11169866642,NaN,NaN,1832605300,NaN,29525000,27398100,9647400,NaN,NaN,NaN,NaN,32.67535986,49.57933954,NaN,NaN,8946969697,8302454545,2923454545,1512393939,NaN,NaN,NaN,0.962847818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,644230,NaN,3153257,5589520,NaN,NaN,NaN,NaN,2900000,882050,NaN,NaN,NaN,NaN,NaN,-1.175275191,4426000,1810000,NaN,NaN,NaN,0.665054138,NaN,NaN,18.3234547,NaN,NaN,NaN,NaN,55.7,20793,8742777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.54885558,92.36292794,0.180690479,1304000000,16.11373551,0.947047758,1.619410678,NaN,NaN,NaN,NaN,NaN,NaN,2.312902133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,26180000,745526800,NaN,NaN,NaN,NaN,NaN,NaN,8968416565,NaN,3.900951164,4.487768769,16751749100,15979335642,11505692667,NaN,NaN,1937439100,NaN,32186000,30136700,10313000,NaN,NaN,NaN,NaN,32.04188156,47.22456969,NaN,NaN,9753333333,9132333333,3125151515,1480818182,NaN,NaN,NaN,0.480928549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,562385,NaN,3170504,5882131,NaN,NaN,NaN,NaN,2903000,882050,NaN,NaN,NaN,NaN,NaN,-0.90691605,4753820,2130400,NaN,NaN,NaN,4.91982978,NaN,NaN,19.53924066,NaN,NaN,NaN,NaN,54.5,20785,9052635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.31639501,92.91118954,3.766721192,1238000000,14.89788575,0.693175028,1.730683445,NaN,NaN,NaN,NaN,NaN,NaN,2.553588071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,17600000,832985200,NaN,NaN,NaN,NaN,NaN,NaN,8906715624,NaN,11.12934529,9.232825565,18616109100,17454679828,13736085517,NaN,NaN,2170284500,NaN,35637000,32591700,10752800,NaN,NaN,NaN,NaN,30.17313466,48.1611808,NaN,NaN,8099318182,7407204545,2443818182,1456909091,NaN,NaN,NaN,-0.724429837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,644148,NaN,3184649,6184447,NaN,NaN,NaN,NaN,2907000,882050,NaN,NaN,NaN,NaN,NaN,-2.493756489,4882680,2778000,NaN,NaN,NaN,-0.366502858,NaN,NaN,20.51238881,NaN,NaN,NaN,NaN,53.4,20795,9369096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.68769067,91.09954481,5.871649704,1249000000,14.32433124,0.858534507,1.663981009,NaN,NaN,NaN,NaN,NaN,NaN,2.446689113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,12620000,819985200,NaN,NaN,NaN,NaN,NaN,NaN,8630851627,NaN,4.162866665,4.51974867,19391072900,18243587488,14270018412,NaN,NaN,2323824100,NaN,37925000,34792200,11031600,NaN,NaN,NaN,NaN,29.08793672,48.2249176,NaN,NaN,8427777778,7731600000,2451466667,1612822222,NaN,NaN,NaN,0.182497797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,725873,NaN,3196319,6495959,NaN,NaN,NaN,NaN,2911000,882050,NaN,NaN,NaN,NaN,NaN,-1.97653263,5759880,2677800,NaN,NaN,NaN,2.167208836,NaN,NaN,20.84588003,NaN,NaN,NaN,NaN,52.5,20826,9692278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.48633761,92.51855672,4.659653179,1421000000,12.24277559,0.694561934,1.759407129,NaN,NaN,NaN,NaN,NaN,NaN,2.636435539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,12820000,778787400,NaN,NaN,NaN,NaN,NaN,NaN,8223639066,NaN,1.510250111,2.281182634,19683926600,18659757037,13941721480,NaN,NaN,2350928200,NaN,39516000,36521100,10934900,NaN,NaN,NaN,NaN,27.67208219,44.81399939,NaN,NaN,8781333333,8115800000,2429977778,1505288889,NaN,NaN,NaN,0.353015102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,764411,NaN,3205024,6817568,NaN,NaN,NaN,NaN,2913000,882050,NaN,NaN,NaN,NaN,NaN,-2.106741573,5822100,2718469.5,NaN,NaN,NaN,2.64492683,NaN,NaN,20,NaN,NaN,NaN,NaN,51.6,20814,10022592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.06668647,93.40115763,4.964471578,1307000000,11.85478952,0.776188643,2.336601929,NaN,NaN,NaN,NaN,NaN,NaN,2.656882591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,13200000,873902000,NaN,NaN,NaN,NaN,NaN,NaN,8664289553,NaN,2.833869031,3.199820997,20241743300,19256835861,14440466155,NaN,NaN,2439831800,NaN,41625000,38723600,11322000,NaN,NaN,NaN,NaN,27.2,44.63591592,NaN,NaN,9250000000,8605244444,2516000000,1612822222,NaN,NaN,NaN,0.296447131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,873747,NaN,3211003,7148742,NaN,NaN,NaN,NaN,2922000,882050,NaN,NaN,NaN,NaN,NaN,-2.214054054,6244900,3186569.5,NaN,NaN,NaN,2.434226821,NaN,NaN,21.55867868,NaN,NaN,NaN,NaN,50.8,20752,10359745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.94482928,93.42134401,4.351396002,1445000000,12.6609816,0.649664771,2.600026334,NaN,NaN,NaN,NaN,NaN,NaN,2.858515494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,2970000,1000929000,NaN,NaN,NaN,NaN,NaN,NaN,9588468135,NaN,7.337232658,7.11579701,21726927100,20627113211,16835355915,NaN,11881723400,2605582500,7990009500,45155000,41991000,11418700,20155800,25703300,NaN,NaN,25.28778651,44.78950282,NaN,NaN,10034444444,9331333333,2537488889,1956888889,5711844444,NaN,NaN,0.197292275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,928029,NaN,3213577,7488714,NaN,NaN,NaN,NaN,2919000,882050,NaN,NaN,NaN,NaN,NaN,-1.941756173,7149900,3407637,NaN,NaN,NaN,1.065099029,NaN,NaN,21.76746761,NaN,NaN,NaN,NaN,49.9,20622,10702291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.49910075,93.46165311,4.127013478,1665000000,11.95908524,0.84321788,2.186346907,NaN,NaN,NaN,NaN,NaN,NaN,2.677376171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,1040000,935072000,NaN,NaN,NaN,NaN,NaN,NaN,9999309732,NaN,0.706036796,1.525544044,21880327200,20941788908,17471976713,NaN,11417049200,2676183000,8487893400,46283000,43546200,11322000,19413700,28011400,NaN,NaN,24.46254564,44.32513018,NaN,NaN,10285111111,9676933333,2516000000,2042888889,6224755556,NaN,NaN,0.121216083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,920157,NaN,3212835,7835427,NaN,NaN,NaN,NaN,2924000,882050,NaN,NaN,NaN,NaN,NaN,-0.884774107,8162000,3355294,NaN,NaN,NaN,1.779461779,NaN,NaN,23.5449301,NaN,NaN,NaN,NaN,48.9,20410,11048262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.72526745,92.35925258,5.035540426,1720000000,11.30159311,0.769390086,1.841263355,NaN,NaN,NaN,NaN,NaN,NaN,2.498922878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
