NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4007774296,NaN,NaN,NaN,NaN,NaN,NaN,1052990400,1023337700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1052990400,1023337700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3300517,476164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.8,16363,3776681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,252000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.316157269,NaN,4260911624,NaN,NaN,NaN,NaN,NaN,NaN,1096646600,1060135700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1096646600,1060135700,NaN,NaN,NaN,NaN,NaN,0.000943275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1266453,NaN,3404370,500664,NaN,NaN,NaN,NaN,1885000,386850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.041299825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.5,16500,3905034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,257000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1098911779,NaN,1.434470887,NaN,4322033161,NaN,NaN,NaN,NaN,NaN,NaN,1117601600,1075906600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1117601600,1075906600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1225137,NaN,3510793,528408,NaN,NaN,NaN,NaN,1935000,386850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.469617819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.2,16619,4039201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,244000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1145054318,NaN,6.244344507,NaN,4591915801,NaN,NaN,NaN,NaN,NaN,NaN,1159511700,1110952500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1159511700,1110952500,NaN,NaN,NaN,NaN,NaN,0.977539513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1030933,NaN,3611339,567387,NaN,NaN,NaN,NaN,1985000,386850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.347739957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.8,16692,4178726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,6560000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1129423231,NaN,-1.106171859,NaN,4541121321,NaN,NaN,NaN,NaN,NaN,NaN,1217138000,1147750500,NaN,NaN,1156483900,NaN,NaN,NaN,NaN,NaN,NaN,1217138000,1147750500,NaN,NaN,1156483900,NaN,NaN,0.398170175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1028799,NaN,3713683,609178,NaN,NaN,NaN,NaN,2035000,386850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.144011731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.2,16716,4322861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.06413731,NaN,NaN,349000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,6030000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1253864918,NaN,4.910570587,NaN,4764116288,NaN,NaN,NaN,NaN,NaN,NaN,1311435800,1272163200,NaN,364420100,612219100,NaN,NaN,NaN,NaN,NaN,NaN,1311435800,1272163200,NaN,NaN,612219100,NaN,NaN,0.292415315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1134571,NaN,3817491,653686,NaN,NaN,NaN,NaN,2065000,386850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.704143296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.7,16728,4471177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.02640643,NaN,NaN,386000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1895684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,20000,87074890,NaN,NaN,NaN,NaN,NaN,NaN,1312212005,NaN,1.523130026,NaN,4836679974,NaN,NaN,NaN,NaN,NaN,NaN,1281749500,1252888000,NaN,346253000,616418700,NaN,NaN,NaN,NaN,NaN,NaN,1281749500,1252888000,NaN,NaN,616418700,NaN,NaN,0.031926238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1212978,NaN,3922220,701131,NaN,NaN,NaN,NaN,2135000,386850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.729966529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.5,16787,4623351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.37362749,NaN,NaN,273000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.322462355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,-20000,89052800,NaN,NaN,NaN,NaN,NaN,NaN,1432954048,NaN,8.36700893,NaN,5241365420,NaN,NaN,NaN,NaN,NaN,NaN,1397002000,1377300600,NaN,391670800,636701300,NaN,NaN,NaN,NaN,NaN,NaN,1397002000,1377300600,NaN,NaN,636701300,NaN,NaN,0.0275902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1901352,NaN,4028104,751723,NaN,NaN,NaN,NaN,2185000,386850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.576561685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.5,16892,4779827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,301000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.360057266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,90000,37213800,NaN,NaN,NaN,NaN,NaN,NaN,1481922799,NaN,1.97013497,NaN,5344627393,NaN,NaN,NaN,NaN,NaN,NaN,1479599900,1459657900,NaN,417689800,738608600,NaN,NaN,NaN,NaN,NaN,NaN,1479599900,1459657900,NaN,NaN,738608600,NaN,NaN,0.143869321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1245153,NaN,4136079,805827,NaN,NaN,NaN,NaN,2235000,386850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.866206759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.9,17083,4941906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,333000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.068126521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,10000,56120400,NaN,NaN,NaN,NaN,NaN,NaN,1729021719,NaN,12.42823583,NaN,6008870289,NaN,NaN,NaN,NaN,946057656.9,1090732357,1747998800,1724254100,NaN,495746900,833027700,NaN,NaN,NaN,NaN,NaN,NaN,1747998800,1724254100,NaN,NaN,833027700,NaN,NaN,0.037697459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1934407,NaN,4248543,862794,NaN,NaN,NaN,NaN,2285000,386850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.080333114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.7,17378,5111337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,321000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.422768879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
